,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,808000.0,1023000.0,1019000.0,362000.0,301000.0,336000.0,304000.0,412000.0,437000.0,440000.0,441000.0,541000.0,564000.0,1501000.0,1991000.0,9608000.0,,,808000.0,1019000.0,301000.0,304000.0,437000.0,441000.0,564000.0,1991000.0,,1023000.0,301000.0,412000.0,441000.0,1501000.0,,808000.0,301000.0,437000.0,564000.0,,1023000.0,304000.0,541000.0,,304000.0,1023000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,1102000.0,927000.0,1441000.0,521000.0,555000.0,357000.0,334000.0,,,,,,0.0,2067000.0,2887000.0,7298000.0,,,1102000.0,1441000.0,555000.0,334000.0,,,0.0,2887000.0,,927000.0,555000.0,,,2067000.0,,1102000.0,555000.0,,0.0,,927000.0,334000.0,,,334000.0,927000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,-10081000.0,-11049000.0,-11234000.0,-13068000.0,-13972000.0,-10359000.0,-14009000.0,-9210000.0,-12640000.0,-11220000.0,-11989000.0,-11754000.0,-17512000.0,-16562000.0,-20940000.0,-23249000.0,,,-10081000.0,-11234000.0,-13972000.0,-14009000.0,-12640000.0,-11989000.0,-17512000.0,-20940000.0,,-11049000.0,-13972000.0,-9210000.0,-11989000.0,-16562000.0,,-10081000.0,-13972000.0,-12640000.0,-17512000.0,,-11049000.0,-14009000.0,-11754000.0,,-14009000.0,-11049000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,17770000.0,15270000.0,17072000.0,11526000.0,11386000.0,8263000.0,4944000.0,7880000.0,,,,,,,17770000.0,17072000.0,11386000.0,4944000.0,,,,,17072000.0,8263000.0,,,,17770000.0,11386000.0,,,,11526000.0,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,11000.0,11000.0,,,,,,,,,,11000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,-24013000.0,-26339000.0,-33864000.0,-26273000.0,-29528000.0,-37817000.0,-31249000.0,-24792000.0,-31446000.0,-31140000.0,,,,,,-24013000.0,-33864000.0,-29528000.0,-31249000.0,-31446000.0,,,,-26339000.0,-29528000.0,-24792000.0,,,,-33864000.0,-31249000.0,,,-24013000.0,-37817000.0,,-24013000.0,,,CommonMetricExtracted
Cash,,,,2014000.0,8878000.0,5911000.0,11370000.0,1685000.0,11887000.0,16206000.0,2690000.0,12172000.0,13030000.0,12558000.0,15682000.0,,10965000.0,9997000.0,4502000.0,17292000.0,,2014000.0,5911000.0,1685000.0,16206000.0,12172000.0,12558000.0,,9997000.0,17292000.0,8878000.0,1685000.0,2690000.0,12558000.0,10965000.0,17292000.0,2014000.0,1685000.0,12172000.0,,17292000.0,8878000.0,16206000.0,15682000.0,17292000.0,16206000.0,17292000.0,17292000.0,17292000.0,CommonMetricExtracted
CurrentReceivables,,,,,,277000.0,139000.0,260000.0,291000.0,239000.0,187000.0,39000.0,36000.0,38000.0,49000.0,,270000.0,454000.0,904000.0,4586000.0,,,277000.0,260000.0,239000.0,39000.0,38000.0,,454000.0,4586000.0,,260000.0,187000.0,38000.0,270000.0,4586000.0,,260000.0,39000.0,,4586000.0,,239000.0,49000.0,4586000.0,239000.0,4586000.0,4586000.0,4586000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,299000.0,604000.0,404000.0,350000.0,346000.0,309000.0,3391000.0,411000.0,408000.0,386000.0,,691000.0,696000.0,508000.0,888000.0,,,299000.0,404000.0,346000.0,3391000.0,408000.0,,696000.0,888000.0,,404000.0,309000.0,408000.0,691000.0,888000.0,,404000.0,3391000.0,,888000.0,,346000.0,386000.0,888000.0,346000.0,888000.0,888000.0,888000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,316000.0,2106000.0,3020000.0,,,,,,,,,316000.0,3020000.0,,,,,,3020000.0,,,,,3020000.0,,,,3020000.0,,3020000.0,3020000.0,3020000.0,CommonMetricExtracted
CurrentAssets,,,,,,6487000.0,12113000.0,2349000.0,12528000.0,16791000.0,3186000.0,15602000.0,13477000.0,13004000.0,16117000.0,,13214000.0,12435000.0,8020000.0,25786000.0,,,6487000.0,2349000.0,16791000.0,15602000.0,13004000.0,,12435000.0,25786000.0,,2349000.0,3186000.0,13004000.0,13214000.0,25786000.0,,2349000.0,15602000.0,,25786000.0,,16791000.0,16117000.0,25786000.0,16791000.0,25786000.0,25786000.0,25786000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,38315000.0,41886000.0,44074000.0,43820000.0,43640000.0,44474000.0,44182000.0,45269000.0,46619000.0,49947000.0,,78890000.0,84138000.0,87217000.0,88362000.0,,,38315000.0,44074000.0,43640000.0,44182000.0,46619000.0,,84138000.0,88362000.0,,44074000.0,44474000.0,46619000.0,78890000.0,88362000.0,,44074000.0,44182000.0,,88362000.0,,43640000.0,49947000.0,88362000.0,43640000.0,88362000.0,88362000.0,88362000.0,CommonMetricExtracted
Goodwill,,,,,,3813000.0,3813000.0,3813000.0,3813000.0,3813000.0,3813000.0,3813000.0,3813000.0,3813000.0,3813000.0,,3813000.0,5714000.0,5714000.0,5700000.0,,,3813000.0,3813000.0,3813000.0,3813000.0,3813000.0,,5714000.0,5700000.0,,3813000.0,3813000.0,3813000.0,3813000.0,5700000.0,,3813000.0,3813000.0,,5700000.0,,3813000.0,3813000.0,5700000.0,3813000.0,5700000.0,5700000.0,5700000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
