,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,653604000.0,1318014000.0,1355630000.0,,,,,,,,,,1318014000.0,,,,,,653604000.0,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,382735000.0,684875000.0,675423000.0,,,,,,,,,,684875000.0,,,,,,382735000.0,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,428670000.0,366773000.0,524479000.0,,,,,,,,,,366773000.0,,,,,,428670000.0,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,8640000.0,-4059000.0,-152664000.0,291749000.0,195050000.0,,,,,,,,,-4059000.0,291749000.0,,,,,,-152664000.0,,,,,-4059000.0,,,,8640000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,-11407400.0,9910680.0,9075000.0,4754000.0,-201303000.0,183171000.0,104908000.0,,,,,,,,9910680.0,4754000.0,183171000.0,,,,,9910680.0,-201303000.0,,,,,4754000.0,,,,9075000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,8524000.0,3937000.0,-187282000.0,226801000.0,145074000.0,,,,,,,,,3937000.0,226801000.0,,,,,,-187282000.0,,,,,3937000.0,,,,8524000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,43248021.0,16255000.0,614159000.0,755981000.0,890190000.0,,,,,,,,43248021.0,614159000.0,890190000.0,,,,,16255000.0,890190000.0,,,,43248021.0,890190000.0,,,,890190000.0,,890190000.0,890190000.0,890190000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,2127060.0,2787732.0,6375658.0,12980396.0,,16872100.0,41329049.0,66290000.0,186021000.0,270342000.0,,,,,,2787732.0,12980396.0,16872100.0,66290000.0,270342000.0,,,2127060.0,12980396.0,41329049.0,270342000.0,,,2787732.0,16872100.0,270342000.0,,,,270342000.0,,270342000.0,270342000.0,270342000.0,CommonMetricExtracted
