,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,3493100000.0,3776200000.0,4145900000.0,4357700000.0,4895800000.0,5190100000.0,5375600000.0,5867900000.0,6107100000.0,,,,,,,3776200000.0,4357700000.0,5190100000.0,5867900000.0,,,,3493100000.0,4357700000.0,5375600000.0,,,,3776200000.0,5190100000.0,,,,4895800000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,1902500000.0,2046600000.0,2305100000.0,2373700000.0,2681600000.0,2926600000.0,3125600000.0,3279400000.0,3317000000.0,,,,,,,2046600000.0,2373700000.0,2926600000.0,3279400000.0,,,,1902500000.0,2373700000.0,3125600000.0,,,,2046600000.0,2926600000.0,,,,2681600000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,337256000.0,354510000.0,374834000.0,367800000.0,389000000.0,416000000.0,394800000.0,420100000.0,439200000.0,542700000.0,565900000.0,628800000.0,593300000.0,606700000.0,1117000000.0,889800000.0,927800000.0,,,354510000.0,367800000.0,416000000.0,420100000.0,542700000.0,628800000.0,606700000.0,889800000.0,,374834000.0,416000000.0,439200000.0,628800000.0,1117000000.0,,354510000.0,416000000.0,542700000.0,606700000.0,,374834000.0,420100000.0,593300000.0,,420100000.0,374834000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,340332000.0,412900000.0,445000000.0,492600000.0,545100000.0,622200000.0,641200000.0,674200000.0,724200000.0,732700000.0,791700000.0,840200000.0,1029700000.0,1079100000.0,597800000.0,1057400000.0,807100000.0,,,412900000.0,492600000.0,622200000.0,674200000.0,732700000.0,840200000.0,1079100000.0,1057400000.0,,445000000.0,622200000.0,724200000.0,840200000.0,597800000.0,,412900000.0,622200000.0,732700000.0,1079100000.0,,445000000.0,674200000.0,1029700000.0,,674200000.0,445000000.0,,CommonMetricExtracted
Interest,,,,46945000.0,35600000.0,27800000.0,8700000.0,14000000.0,27700000.0,27400000.0,30500000.0,27700000.0,52600000.0,79400000.0,73600000.0,61000000.0,54500000.0,89600000.0,110900000.0,95000000.0,,,35600000.0,8700000.0,27700000.0,30500000.0,52600000.0,73600000.0,54500000.0,110900000.0,,27800000.0,27700000.0,27700000.0,73600000.0,89600000.0,,35600000.0,27700000.0,52600000.0,54500000.0,,27800000.0,30500000.0,61000000.0,,30500000.0,27800000.0,,CommonMetricExtracted
Taxes,,,,113078000.0,148715000.0,147600000.0,185000000.0,192700000.0,203400000.0,211000000.0,225000000.0,246900000.0,-50700000.0,150900000.0,157800000.0,187900000.0,204200000.0,109400000.0,211800000.0,171000000.0,,,148715000.0,185000000.0,203400000.0,225000000.0,-50700000.0,157800000.0,204200000.0,211800000.0,,147600000.0,203400000.0,246900000.0,157800000.0,109400000.0,,148715000.0,203400000.0,-50700000.0,204200000.0,,147600000.0,225000000.0,187900000.0,,225000000.0,147600000.0,,CommonMetricExtracted
NetIncome,,,,195174000.0,243533000.0,270717000.0,309600000.0,,,,,,743400000.0,568600000.0,615900000.0,785900000.0,827500000.0,413900000.0,755600000.0,585300000.0,,,243533000.0,309600000.0,,,743400000.0,615900000.0,827500000.0,755600000.0,,270717000.0,,,615900000.0,413900000.0,,243533000.0,,743400000.0,827500000.0,,270717000.0,,785900000.0,,,270717000.0,,CommonMetricExtracted
Cash,,,249809000.0,198000000.0,447143000.0,189202000.0,251400000.0,343000000.0,496900000.0,423000000.0,330000000.0,187800000.0,278900000.0,316700000.0,,183100000.0,240600000.0,270300000.0,344500000.0,964100000.0,,198000000.0,189202000.0,343000000.0,423000000.0,187800000.0,316700000.0,183100000.0,270300000.0,964100000.0,447143000.0,343000000.0,330000000.0,316700000.0,240600000.0,964100000.0,198000000.0,343000000.0,187800000.0,183100000.0,964100000.0,447143000.0,423000000.0,,964100000.0,423000000.0,964100000.0,964100000.0,964100000.0,CommonMetricExtracted
CurrentReceivables,,,,,222158000.0,231100000.0,264600000.0,303100000.0,330200000.0,322900000.0,276200000.0,287000000.0,345900000.0,345300000.0,,398800000.0,405500000.0,422000000.0,526900000.0,600800000.0,,,231100000.0,303100000.0,322900000.0,287000000.0,345300000.0,398800000.0,422000000.0,600800000.0,222158000.0,303100000.0,276200000.0,345300000.0,405500000.0,600800000.0,,303100000.0,287000000.0,398800000.0,600800000.0,222158000.0,322900000.0,,600800000.0,322900000.0,600800000.0,600800000.0,600800000.0,CommonMetricExtracted
