,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,644338000.0,776265000.0,766897000.0,716295000.0,617574000.0,,,,,,,,,776265000.0,716295000.0,,,,,,766897000.0,,,,,776265000.0,,,,644338000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,145669000.0,175060000.0,210985000.0,189849000.0,119601000.0,80175000.0,79996000.0,92182000.0,205417000.0,254904000.0,197396000.0,225941000.0,180927000.0,,,,,175060000.0,189849000.0,80175000.0,92182000.0,254904000.0,225941000.0,,,175060000.0,119601000.0,92182000.0,197396000.0,,,175060000.0,80175000.0,254904000.0,,,189849000.0,205417000.0,,189849000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,51082000.0,50302000.0,72315000.0,64082000.0,53949000.0,51240000.0,54714000.0,63569000.0,81914000.0,105414000.0,147660000.0,126591000.0,108329000.0,,,,,50302000.0,64082000.0,51240000.0,63569000.0,105414000.0,126591000.0,,,50302000.0,53949000.0,63569000.0,147660000.0,,,50302000.0,51240000.0,105414000.0,,,64082000.0,81914000.0,,64082000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,39315000.0,41944000.0,49386000.0,59391000.0,66331000.0,81926000.0,114291000.0,139772000.0,170905000.0,178821000.0,196637000.0,191705000.0,170431000.0,,,,,41944000.0,59391000.0,81926000.0,139772000.0,178821000.0,191705000.0,,,41944000.0,66331000.0,139772000.0,196637000.0,,,41944000.0,81926000.0,178821000.0,,,59391000.0,170905000.0,,59391000.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,,634000.0,-359000.0,879000.0,216000.0,-297000.0,560000.0,3987000.0,20063000.0,8683000.0,-65472000.0,101029000.0,121810000.0,51332000.0,,,,,-359000.0,216000.0,560000.0,20063000.0,-65472000.0,121810000.0,,,-359000.0,-297000.0,20063000.0,101029000.0,,,-359000.0,560000.0,-65472000.0,,,216000.0,8683000.0,,216000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,6040000.0,3773000.0,2590000.0,,,,,,,,,,3773000.0,,,,,,6040000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,29000.0,642000.0,186000.0,1479000.0,1707000.0,1802000.0,1430000.0,2634000.0,5360000.0,7197000.0,-162692000.0,32132000.0,148702000.0,,,,,642000.0,1479000.0,1802000.0,2634000.0,7197000.0,32132000.0,,,642000.0,1707000.0,2634000.0,-162692000.0,,,642000.0,1802000.0,7197000.0,,,1479000.0,5360000.0,,1479000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,-49043000.0,-55850000.0,-64758000.0,-59210000.0,-42245000.0,-20283000.0,-14888000.0,-9605000.0,-6221000.0,-1458000.0,266638000.0,18180000.0,-837068000.0,,,,,-55850000.0,-59210000.0,-20283000.0,-9605000.0,-1458000.0,18180000.0,,,-55850000.0,-42245000.0,-9605000.0,266638000.0,,,-55850000.0,-20283000.0,-1458000.0,,,-59210000.0,-6221000.0,,-59210000.0,,,CommonMetricExtracted
Cash,,,,,,,34607000.0,21030000.0,76864000.0,56117000.0,67029000.0,77329000.0,126457000.0,374664000.0,387520000.0,479853000.0,854078000.0,473677000.0,135757000.0,161475000.0,,,,21030000.0,56117000.0,77329000.0,374664000.0,479853000.0,473677000.0,161475000.0,,21030000.0,67029000.0,374664000.0,854078000.0,161475000.0,,21030000.0,77329000.0,479853000.0,161475000.0,,56117000.0,387520000.0,161475000.0,56117000.0,161475000.0,161475000.0,161475000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,7091000.0,14396000.0,13157000.0,10451000.0,10855000.0,12733000.0,11529000.0,12913000.0,17850000.0,23515000.0,31404000.0,23641000.0,,,,,14396000.0,10451000.0,12733000.0,12913000.0,23515000.0,23641000.0,,,13157000.0,12733000.0,17850000.0,23641000.0,,,10451000.0,12913000.0,23641000.0,,14396000.0,11529000.0,23641000.0,14396000.0,23641000.0,23641000.0,23641000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,2134000.0,3091000.0,3117000.0,2579000.0,2043000.0,4673000.0,10538000.0,12776000.0,35093000.0,28481000.0,20980000.0,17100000.0,,,,,3091000.0,2579000.0,4673000.0,12776000.0,28481000.0,17100000.0,,,3117000.0,4673000.0,35093000.0,17100000.0,,,2579000.0,12776000.0,17100000.0,,3091000.0,10538000.0,17100000.0,3091000.0,17100000.0,17100000.0,17100000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,124309000.0,110814000.0,132835000.0,111373000.0,228942000.0,494925000.0,807267000.0,1182955000.0,1622648000.0,1144400000.0,414835000.0,437559000.0,,,,,110814000.0,111373000.0,494925000.0,1182955000.0,1144400000.0,437559000.0,,,132835000.0,494925000.0,1622648000.0,437559000.0,,,111373000.0,1182955000.0,437559000.0,,110814000.0,807267000.0,437559000.0,110814000.0,437559000.0,437559000.0,437559000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,18964000.0,18369000.0,19971000.0,35305000.0,47493000.0,59904000.0,87359000.0,125807000.0,169938000.0,204383000.0,183073000.0,170648000.0,,,,,18369000.0,35305000.0,59904000.0,125807000.0,204383000.0,170648000.0,,,19971000.0,59904000.0,169938000.0,170648000.0,,,35305000.0,125807000.0,170648000.0,,18369000.0,87359000.0,170648000.0,18369000.0,170648000.0,170648000.0,170648000.0,CommonMetricExtracted
Goodwill,,,,,,,,,49545000.0,91301000.0,91301000.0,116239000.0,125272000.0,149524000.0,214513000.0,285214000.0,289763000.0,615093000.0,631995000.0,0.0,,,,,91301000.0,116239000.0,149524000.0,285214000.0,615093000.0,0.0,,,91301000.0,149524000.0,289763000.0,0.0,,,116239000.0,285214000.0,0.0,,91301000.0,214513000.0,0.0,91301000.0,0.0,0.0,0.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,3311000.0,13626000.0,8865000.0,20748000.0,21153000.0,25915000.0,34667000.0,51249000.0,40566000.0,78333000.0,52430000.0,10347000.0,,,,,13626000.0,20748000.0,25915000.0,51249000.0,78333000.0,10347000.0,,,8865000.0,25915000.0,40566000.0,10347000.0,,,20748000.0,51249000.0,10347000.0,,13626000.0,34667000.0,10347000.0,13626000.0,10347000.0,10347000.0,10347000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,327371000.0,318127000.0,291356000.0,290652000.0,446930000.0,760938000.0,1488998000.0,2251258000.0,2919246000.0,2465416000.0,1727235000.0,868951000.0,,,,,318127000.0,290652000.0,760938000.0,2251258000.0,2465416000.0,868951000.0,,,291356000.0,760938000.0,2919246000.0,868951000.0,,,290652000.0,2251258000.0,868951000.0,,318127000.0,1488998000.0,868951000.0,318127000.0,868951000.0,868951000.0,868951000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,25348000.0,42128000.0,41140000.0,49494000.0,38123000.0,42254000.0,47326000.0,77112000.0,79201000.0,82601000.0,106047000.0,130519000.0,,,,,42128000.0,49494000.0,42254000.0,77112000.0,82601000.0,130519000.0,,,41140000.0,42254000.0,79201000.0,130519000.0,,,49494000.0,77112000.0,130519000.0,,42128000.0,47326000.0,130519000.0,42128000.0,130519000.0,130519000.0,130519000.0,CommonMetricExtracted
