,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,189476000.0,1556000.0,0.0,356071000.0,475824000.0,326551000.0,211042000.0,257244000.0,266960000.0,,,,,,,1556000.0,356071000.0,326551000.0,257244000.0,,,,189476000.0,356071000.0,211042000.0,,,,1556000.0,326551000.0,,,,475824000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,17078000.0,37667000.0,57591000.0,70083000.0,158992000.0,117553000.0,,,,,,,,17078000.0,57591000.0,158992000.0,,,,,17078000.0,70083000.0,,,,,57591000.0,,,,37667000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,690095000.0,582941000.0,599130000.0,577520000.0,,,,51597000.0,71303000.0,94177000.0,137037000.0,139079000.0,169713000.0,198481000.0,192015000.0,167738000.0,,,690095000.0,599130000.0,,,71303000.0,137037000.0,169713000.0,192015000.0,,582941000.0,,51597000.0,137037000.0,198481000.0,,690095000.0,,71303000.0,169713000.0,,582941000.0,,139079000.0,,,582941000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,31279000.0,78224000.0,213062000.0,254440000.0,162389000.0,110239000.0,94188000.0,142759000.0,363105000.0,199358000.0,109436000.0,93336000.0,,,,,31279000.0,213062000.0,162389000.0,94188000.0,363105000.0,109436000.0,,,31279000.0,254440000.0,94188000.0,199358000.0,,,31279000.0,162389000.0,363105000.0,,,213062000.0,142759000.0,,213062000.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,-238286000.0,-209409000.0,92775000.0,135707000.0,-287100000.0,-291754000.0,-238272000.0,28507000.0,,,,,,,-238286000.0,92775000.0,-287100000.0,-238272000.0,,,,,92775000.0,-291754000.0,,,,-238286000.0,-287100000.0,,,,135707000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,176589000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,-255273000.0,-77962000.0,-53982000.0,-2017000.0,-53635000.0,-87133000.0,-223260000.0,-127337000.0,-238170000.0,-209339000.0,89833000.0,132244000.0,-287100000.0,-291754000.0,-237892000.0,28507000.0,,,-255273000.0,-53982000.0,-53635000.0,-223260000.0,-238170000.0,89833000.0,-287100000.0,-237892000.0,,-77962000.0,-53635000.0,-127337000.0,89833000.0,-291754000.0,,-255273000.0,-53635000.0,-238170000.0,-287100000.0,,-77962000.0,-223260000.0,132244000.0,,-223260000.0,-77962000.0,,CommonMetricExtracted
Cash,,,,61842000.0,93759000.0,186580000.0,117482000.0,168607000.0,39554000.0,150392000.0,158226000.0,124947000.0,126911000.0,72356000.0,,541158000.0,417195000.0,63547000.0,102891000.0,125987000.0,,61842000.0,186580000.0,168607000.0,150392000.0,124947000.0,72356000.0,541158000.0,63547000.0,125987000.0,93759000.0,168607000.0,158226000.0,72356000.0,417195000.0,125987000.0,61842000.0,168607000.0,124947000.0,541158000.0,125987000.0,93759000.0,150392000.0,,125987000.0,150392000.0,125987000.0,125987000.0,125987000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,0.0,,157046000.0,123022000.0,109964000.0,260522000.0,122334000.0,,,,,,,0.0,157046000.0,109964000.0,122334000.0,,,,0.0,123022000.0,122334000.0,,,,157046000.0,122334000.0,,,,122334000.0,,122334000.0,122334000.0,122334000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,14969000.0,7906000.0,,19429000.0,13666000.0,17880000.0,23657000.0,11636000.0,,,,,,,7906000.0,19429000.0,17880000.0,11636000.0,,,,7906000.0,13666000.0,11636000.0,,,,19429000.0,11636000.0,,,,11636000.0,,11636000.0,11636000.0,11636000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,1659000.0,,44233000.0,37642000.0,38791000.0,62605000.0,70094000.0,,,,,,,1659000.0,44233000.0,38791000.0,70094000.0,,,,1659000.0,37642000.0,70094000.0,,,,44233000.0,70094000.0,,,,70094000.0,,70094000.0,70094000.0,70094000.0,CommonMetricExtracted
CurrentAssets,,,,,,617734000.0,537909000.0,559319000.0,45677000.0,179136000.0,197386000.0,161486000.0,145477000.0,84433000.0,,767479000.0,602323000.0,381234000.0,475631000.0,341583000.0,,,617734000.0,559319000.0,179136000.0,161486000.0,84433000.0,767479000.0,381234000.0,341583000.0,,559319000.0,197386000.0,84433000.0,602323000.0,341583000.0,,559319000.0,161486000.0,767479000.0,341583000.0,,179136000.0,,341583000.0,179136000.0,341583000.0,341583000.0,341583000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,305083000.0,255948000.0,229365000.0,1743000.0,4472000.0,10504000.0,10772000.0,12773000.0,6660000.0,,10108000.0,7813000.0,8754000.0,5119000.0,2837000.0,,,305083000.0,229365000.0,4472000.0,10772000.0,6660000.0,10108000.0,8754000.0,2837000.0,,229365000.0,10504000.0,6660000.0,7813000.0,2837000.0,,229365000.0,10772000.0,10108000.0,2837000.0,,4472000.0,,2837000.0,4472000.0,2837000.0,2837000.0,2837000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,71673000.0,53646000.0,,,,,,,,,,53646000.0,,,,,,53646000.0,,,,,53646000.0,,,,53646000.0,,53646000.0,53646000.0,53646000.0,CommonMetricExtracted
TotalAssets,,,,,,1157489000.0,1022658000.0,1017926000.0,47447000.0,187221000.0,212384000.0,178485000.0,162611000.0,99467000.0,,841649000.0,679334000.0,480847000.0,629604000.0,448533000.0,,,1157489000.0,1017926000.0,187221000.0,178485000.0,99467000.0,841649000.0,480847000.0,448533000.0,,1017926000.0,212384000.0,99467000.0,679334000.0,448533000.0,,1017926000.0,178485000.0,841649000.0,448533000.0,,187221000.0,,448533000.0,187221000.0,448533000.0,448533000.0,448533000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,280042000.0,249884000.0,257297000.0,10560000.0,20009000.0,50081000.0,47728000.0,24531000.0,22302000.0,,123409000.0,143313000.0,116084000.0,310250000.0,264637000.0,,,280042000.0,257297000.0,20009000.0,47728000.0,22302000.0,123409000.0,116084000.0,264637000.0,,257297000.0,50081000.0,22302000.0,143313000.0,264637000.0,,257297000.0,47728000.0,123409000.0,264637000.0,,20009000.0,,264637000.0,20009000.0,264637000.0,264637000.0,264637000.0,CommonMetricExtracted
