,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,13144413000.0,14869380000.0,16631172000.0,15309508000.0,16207106000.0,23102138000.0,24696625000.0,17596443000.0,17724956000.0,,,,,,,14869380000.0,15309508000.0,23102138000.0,17596443000.0,,,,13144413000.0,15309508000.0,24696625000.0,,,,14869380000.0,23102138000.0,,,,16207106000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,213054000.0,243695000.0,276245000.0,326784000.0,320213000.0,358760000.0,375061000.0,413404000.0,449610000.0,497806000.0,496122000.0,526371000.0,603415000.0,624266000.0,639624000.0,,,,243695000.0,326784000.0,358760000.0,413404000.0,497806000.0,526371000.0,624266000.0,,213054000.0,326784000.0,375061000.0,497806000.0,603415000.0,,,326784000.0,413404000.0,526371000.0,,213054000.0,358760000.0,496122000.0,,358760000.0,213054000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,622860000.0,692730000.0,675320000.0,682650000.0,748418000.0,858310000.0,837531000.0,775119000.0,912083000.0,789976000.0,673268000.0,1082108000.0,1266782000.0,514607000.0,669141000.0,,,,692730000.0,682650000.0,858310000.0,775119000.0,789976000.0,1082108000.0,514607000.0,,622860000.0,682650000.0,837531000.0,789976000.0,1266782000.0,,,682650000.0,775119000.0,1082108000.0,,622860000.0,858310000.0,673268000.0,,858310000.0,622860000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,361079000.0,357029000.0,382237000.0,428922000.0,593574000.0,414629000.0,431721000.0,500363000.0,489888000.0,547875000.0,611030000.0,572754000.0,536572000.0,829109000.0,912798000.0,333043000.0,436234000.0,,,357029000.0,428922000.0,414629000.0,500363000.0,547875000.0,572754000.0,829109000.0,333043000.0,,382237000.0,414629000.0,489888000.0,572754000.0,912798000.0,,357029000.0,414629000.0,547875000.0,829109000.0,,382237000.0,500363000.0,536572000.0,,500363000.0,382237000.0,,CommonMetricExtracted
NetIncome,,,,359177000.0,360830000.0,387026000.0,431612000.0,593804000.0,415904000.0,449711000.0,509699000.0,513384000.0,504893000.0,664505000.0,576968000.0,506421000.0,844245000.0,940524000.0,325129000.0,465690000.0,,,360830000.0,431612000.0,415904000.0,509699000.0,504893000.0,576968000.0,844245000.0,325129000.0,,387026000.0,415904000.0,513384000.0,576968000.0,940524000.0,,360830000.0,415904000.0,504893000.0,844245000.0,,387026000.0,509699000.0,506421000.0,,509699000.0,387026000.0,,CommonMetricExtracted
Cash,,,338885000.0,494743000.0,337308000.0,398607000.0,373669000.0,210019000.0,162047000.0,128940000.0,168229000.0,247666000.0,333890000.0,,447858000.0,243796000.0,257413000.0,217482000.0,145524000.0,145762000.0,,494743000.0,398607000.0,210019000.0,128940000.0,247666000.0,,243796000.0,217482000.0,145762000.0,337308000.0,210019000.0,168229000.0,,257413000.0,145762000.0,494743000.0,210019000.0,247666000.0,243796000.0,145762000.0,337308000.0,128940000.0,447858000.0,145762000.0,128940000.0,145762000.0,145762000.0,145762000.0,CommonMetricExtracted
CurrentReceivables,,,,,885543000.0,1036070000.0,1189637000.0,1412136000.0,1449581000.0,1571591000.0,1505620000.0,1711191000.0,2113930000.0,2012212000.0,1974381000.0,2449577000.0,3963487000.0,2991753000.0,2381963000.0,2383709000.0,,,1036070000.0,1412136000.0,1571591000.0,1711191000.0,2012212000.0,2449577000.0,2991753000.0,2383709000.0,885543000.0,1412136000.0,1505620000.0,2012212000.0,3963487000.0,2383709000.0,,1412136000.0,1711191000.0,2449577000.0,2383709000.0,885543000.0,1571591000.0,1974381000.0,2383709000.0,1571591000.0,2383709000.0,2383709000.0,2383709000.0,CommonMetricExtracted
