,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,2600573000.0,2801687000.0,3094286000.0,3572131000.0,3532157000.0,3620684000.0,3632661000.0,4386549000.0,4014955000.0,,,,,,,2801687000.0,3572131000.0,3620684000.0,4386549000.0,,,,2600573000.0,3572131000.0,3632661000.0,,,,2801687000.0,3620684000.0,,,,3532157000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,367799000.0,739135000.0,1032824000.0,1109699000.0,1217371000.0,1339937000.0,1370106000.0,1438997000.0,1555901000.0,1779596000.0,2030065000.0,1879266000.0,1898705000.0,2072317000.0,2507698000.0,2295365000.0,,,367799000.0,1032824000.0,1217371000.0,1370106000.0,1555901000.0,2030065000.0,1898705000.0,2507698000.0,,739135000.0,1217371000.0,1438997000.0,2030065000.0,2072317000.0,,367799000.0,1217371000.0,1555901000.0,1898705000.0,,739135000.0,1370106000.0,1879266000.0,,1370106000.0,739135000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,134527000.0,193515000.0,251990000.0,266338000.0,304170000.0,328325000.0,333836000.0,349731000.0,356169000.0,394060000.0,423046000.0,416425000.0,452214000.0,466565000.0,490804000.0,510668000.0,,,134527000.0,251990000.0,304170000.0,333836000.0,356169000.0,423046000.0,452214000.0,490804000.0,,193515000.0,304170000.0,349731000.0,423046000.0,466565000.0,,134527000.0,304170000.0,356169000.0,452214000.0,,193515000.0,333836000.0,416425000.0,,333836000.0,193515000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,190319000.0,327626000.0,379862000.0,364179000.0,383408000.0,401180000.0,414201000.0,451794000.0,475329000.0,491564000.0,548139000.0,529888000.0,536666000.0,624656000.0,750559000.0,767497000.0,,,190319000.0,379862000.0,383408000.0,414201000.0,475329000.0,548139000.0,536666000.0,750559000.0,,327626000.0,383408000.0,451794000.0,548139000.0,624656000.0,,190319000.0,383408000.0,475329000.0,536666000.0,,327626000.0,414201000.0,529888000.0,,414201000.0,327626000.0,,CommonMetricExtracted
OperatingMargin,,,,,-579231000.0,-321819000.0,-163193000.0,-79846000.0,-1775000.0,45704000.0,100448000.0,156169000.0,214722000.0,229946000.0,346766000.0,486964000.0,495356000.0,222808000.0,357545000.0,166617000.0,,,-579231000.0,-163193000.0,-1775000.0,100448000.0,214722000.0,346766000.0,495356000.0,357545000.0,,-321819000.0,-1775000.0,156169000.0,346766000.0,222808000.0,,-579231000.0,-1775000.0,214722000.0,495356000.0,,-321819000.0,100448000.0,486964000.0,,100448000.0,-321819000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,47050000.0,88026000.0,97028000.0,,,,,,,,,,88026000.0,,,,,,47050000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,-1324000.0,1941000.0,7673000.0,9322000.0,5240000.0,13964000.0,12097000.0,14134000.0,-1105827000.0,493471000.0,59756000.0,94670000.0,-37445000.0,29603000.0,68826000.0,35894000.0,,,-1324000.0,7673000.0,5240000.0,12097000.0,-1105827000.0,59756000.0,-37445000.0,68826000.0,,1941000.0,5240000.0,14134000.0,59756000.0,29603000.0,,-1324000.0,5240000.0,-1105827000.0,-37445000.0,,1941000.0,12097000.0,94670000.0,,12097000.0,1941000.0,,CommonMetricExtracted
NetIncome,,,,,-581154000.0,-333514000.0,-195521000.0,-144021000.0,-85431000.0,-40637000.0,11667000.0,72584000.0,1261953000.0,-344690000.0,253434000.0,361291000.0,500196000.0,152902000.0,254827000.0,83956000.0,,,-581154000.0,-195521000.0,-85431000.0,11667000.0,1261953000.0,253434000.0,500196000.0,254827000.0,,-333514000.0,-85431000.0,72584000.0,253434000.0,152902000.0,,-581154000.0,-85431000.0,1261953000.0,500196000.0,,-333514000.0,11667000.0,361291000.0,,11667000.0,-333514000.0,,CommonMetricExtracted
Cash,,,,550669000.0,485705000.0,688687000.0,541896000.0,642444000.0,346487000.0,586720000.0,790971000.0,777615000.0,640513000.0,,904045000.0,1088624000.0,1422546000.0,994352000.0,1010618000.0,934863000.0,,550669000.0,688687000.0,642444000.0,586720000.0,777615000.0,,1088624000.0,994352000.0,934863000.0,485705000.0,642444000.0,790971000.0,,1422546000.0,934863000.0,550669000.0,642444000.0,777615000.0,1088624000.0,934863000.0,485705000.0,586720000.0,904045000.0,934863000.0,586720000.0,934863000.0,934863000.0,934863000.0,CommonMetricExtracted
CurrentReceivables,,,,,,343582000.0,417509000.0,345496000.0,488578000.0,518981000.0,550792000.0,576235000.0,622183000.0,,724854000.0,719405000.0,884958000.0,920772000.0,1003876000.0,908597000.0,,,343582000.0,345496000.0,518981000.0,576235000.0,,719405000.0,920772000.0,908597000.0,,345496000.0,550792000.0,,884958000.0,908597000.0,,345496000.0,576235000.0,719405000.0,908597000.0,,518981000.0,724854000.0,908597000.0,518981000.0,908597000.0,908597000.0,908597000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,147680000.0,143357000.0,117595000.0,186655000.0,192624000.0,196178000.0,172843000.0,197339000.0,,297914000.0,308084000.0,325654000.0,370053000.0,405694000.0,564183000.0,,,147680000.0,117595000.0,192624000.0,172843000.0,,308084000.0,370053000.0,564183000.0,,117595000.0,196178000.0,,325654000.0,564183000.0,,117595000.0,172843000.0,308084000.0,564183000.0,,192624000.0,297914000.0,564183000.0,192624000.0,564183000.0,564183000.0,564183000.0,CommonMetricExtracted
Inventory,,,,,,261619000.0,230076000.0,260098000.0,249103000.0,254660000.0,191162000.0,211251000.0,267143000.0,,345049000.0,344379000.0,374265000.0,946730000.0,1050838000.0,820430000.0,,,261619000.0,260098000.0,254660000.0,211251000.0,,344379000.0,946730000.0,820430000.0,,260098000.0,191162000.0,,374265000.0,820430000.0,,260098000.0,211251000.0,344379000.0,820430000.0,,254660000.0,345049000.0,820430000.0,254660000.0,820430000.0,820430000.0,820430000.0,CommonMetricExtracted
CurrentAssets,,,,,,1441568000.0,1332838000.0,1415690000.0,1395802000.0,1693190000.0,1864210000.0,2013192000.0,2006311000.0,,2381802000.0,2611159000.0,3188906000.0,3385896000.0,3575779000.0,3544416000.0,,,1441568000.0,1415690000.0,1693190000.0,2013192000.0,,2611159000.0,3385896000.0,3544416000.0,,1415690000.0,1864210000.0,,3188906000.0,3544416000.0,,1415690000.0,2013192000.0,2611159000.0,3544416000.0,,1693190000.0,2381802000.0,3544416000.0,1693190000.0,3544416000.0,3544416000.0,3544416000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,0.0,256434000.0,266974000.0,267458000.0,,297937000.0,310847000.0,311645000.0,328322000.0,444765000.0,444707000.0,,,,,0.0,266974000.0,,310847000.0,328322000.0,444707000.0,,,256434000.0,,311645000.0,444707000.0,,,266974000.0,310847000.0,444707000.0,,0.0,297937000.0,444707000.0,0.0,444707000.0,444707000.0,444707000.0,CommonMetricExtracted
IntangibleAssets,,,,,,426412000.0,331635000.0,257137000.0,185828000.0,128677000.0,202673000.0,146711000.0,100997000.0,,112781000.0,96647000.0,65314000.0,69517000.0,205627000.0,165020000.0,,,426412000.0,257137000.0,128677000.0,146711000.0,,96647000.0,69517000.0,165020000.0,,257137000.0,202673000.0,,65314000.0,165020000.0,,257137000.0,146711000.0,96647000.0,165020000.0,,128677000.0,112781000.0,165020000.0,128677000.0,165020000.0,165020000.0,165020000.0,CommonMetricExtracted
TotalAssets,,,,,,2118093000.0,1951418000.0,1881143000.0,1802770000.0,2072632000.0,2695051000.0,2882442000.0,3951711000.0,,3893346000.0,4180917000.0,4865227000.0,5069632000.0,5601495000.0,5641337000.0,,,2118093000.0,1881143000.0,2072632000.0,2882442000.0,,4180917000.0,5069632000.0,5641337000.0,,1881143000.0,2695051000.0,,4865227000.0,5641337000.0,,1881143000.0,2882442000.0,4180917000.0,5641337000.0,,2072632000.0,3893346000.0,5641337000.0,2072632000.0,5641337000.0,5641337000.0,5641337000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,6930000.0,6930000.0,6930000.0,11700000.0,11700000.0,,,,,,,,6930000.0,6930000.0,11700000.0,,,,,6930000.0,11700000.0,,,,6930000.0,11700000.0,,,,11700000.0,,11700000.0,11700000.0,11700000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,394611000.0,354120000.0,389244000.0,526505000.0,486385000.0,538423000.0,546295000.0,583032000.0,,727559000.0,626036000.0,765461000.0,876829000.0,749247000.0,817306000.0,,,394611000.0,389244000.0,486385000.0,546295000.0,,626036000.0,876829000.0,817306000.0,,389244000.0,538423000.0,,765461000.0,817306000.0,,389244000.0,546295000.0,626036000.0,817306000.0,,486385000.0,727559000.0,817306000.0,486385000.0,817306000.0,817306000.0,817306000.0,CommonMetricExtracted
CurrentLiability,,,,,,663939000.0,650497000.0,894510000.0,886711000.0,1057744000.0,983317000.0,1202215000.0,1360677000.0,,1340061000.0,1222568000.0,1454954000.0,1558189000.0,1534514000.0,1564579000.0,,,663939000.0,894510000.0,1057744000.0,1202215000.0,,1222568000.0,1558189000.0,1564579000.0,,894510000.0,983317000.0,,1454954000.0,1564579000.0,,894510000.0,1202215000.0,1222568000.0,1564579000.0,,1057744000.0,1340061000.0,1564579000.0,1057744000.0,1564579000.0,1564579000.0,1564579000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
