,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1407587000.0,1474510000.0,1602202000.0,313220000.0,218090000.0,930614000.0,3791398000.0,3479240000.0,5206808000.0,,,,,,,1474510000.0,313220000.0,930614000.0,3479240000.0,,,,1407587000.0,313220000.0,3791398000.0,,,,1474510000.0,930614000.0,,,,218090000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,0.0,6676000.0,43555000.0,24683000.0,84328000.0,31419000.0,,,,,,,,0.0,43555000.0,84328000.0,,,,,0.0,24683000.0,,,,,43555000.0,,,,6676000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,-243490.0,27499185.0,74562000.0,112508283.0,28007000.0,6761000.0,22747000.0,8195000.0,14282000.0,67067000.0,42981000.0,251779000.0,1653778000.0,999454000.0,1082695000.0,,,,27499185.0,112508283.0,6761000.0,8195000.0,67067000.0,251779000.0,999454000.0,,-243490.0,112508283.0,22747000.0,67067000.0,1653778000.0,,,112508283.0,8195000.0,251779000.0,,-243490.0,6761000.0,42981000.0,,6761000.0,-243490.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,32199000.0,182740000.0,456303000.0,,,,,,,,,,182740000.0,,,,,,32199000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,66460.0,5918566.0,13674000.0,27203000.0,50430000.0,,,,,25598000.0,3787000.0,65113000.0,305701000.0,276535000.0,377388000.0,,,,5918566.0,27203000.0,,,25598000.0,65113000.0,276535000.0,,66460.0,27203000.0,,25598000.0,305701000.0,,,27203000.0,,65113000.0,,66460.0,,3787000.0,,,66460.0,,CommonMetricExtracted
NetIncome,,,,,,-161726.0,12691181.0,46523000.0,69184000.0,20283000.0,,,,,67067000.0,103528000.0,178921000.0,1248080000.0,784288000.0,838723000.0,,,,12691181.0,69184000.0,,,67067000.0,178921000.0,784288000.0,,-161726.0,69184000.0,,67067000.0,1248080000.0,,,69184000.0,,178921000.0,,-161726.0,,103528000.0,,,-161726.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,0.0,478749000.0,,,,,,,,,,478749000.0,,,,,,478749000.0,,,,,478749000.0,,,,478749000.0,,478749000.0,478749000.0,478749000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,17850719.0,44085056.0,70400777.0,91776000.0,145395000.0,155767000.0,172850000.0,186311000.0,,47421000.0,428652000.0,479316000.0,753189000.0,771337000.0,,,,44085056.0,91776000.0,155767000.0,186311000.0,47421000.0,479316000.0,771337000.0,,44085056.0,145395000.0,186311000.0,428652000.0,771337000.0,,44085056.0,155767000.0,47421000.0,771337000.0,,91776000.0,,771337000.0,91776000.0,771337000.0,771337000.0,771337000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,1868016.0,3031815.0,1638000.0,12522000.0,14049000.0,20841000.0,12998000.0,18439000.0,,3574000.0,33438000.0,48988000.0,68070000.0,74638000.0,,,,3031815.0,12522000.0,20841000.0,18439000.0,3574000.0,48988000.0,74638000.0,,3031815.0,14049000.0,18439000.0,33438000.0,74638000.0,,3031815.0,20841000.0,3574000.0,74638000.0,,12522000.0,,74638000.0,12522000.0,74638000.0,74638000.0,74638000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
