,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,590232000.0,647819000.0,700846000.0,668210000.0,487267000.0,470252000.0,489735000.0,509790000.0,523848000.0,,,,,,,647819000.0,668210000.0,470252000.0,509790000.0,,,,590232000.0,668210000.0,489735000.0,,,,647819000.0,470252000.0,,,,487267000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,109968000.0,118622000.0,96684000.0,-76805000.0,45262000.0,41524000.0,54640000.0,58556000.0,,,,,,,109968000.0,96684000.0,45262000.0,54640000.0,,,,,96684000.0,41524000.0,,,,109968000.0,45262000.0,,,,-76805000.0,,,,,CommonMetricExtracted
Interest,,,,21610000.0,15523000.0,15839000.0,10900000.0,8820000.0,9317000.0,10600000.0,12380000.0,11572000.0,10734000.0,13328000.0,14690000.0,14372000.0,9152000.0,11570000.0,13430000.0,12369000.0,,,15523000.0,10900000.0,9317000.0,12380000.0,10734000.0,14690000.0,9152000.0,13430000.0,,15839000.0,9317000.0,11572000.0,14690000.0,11570000.0,,15523000.0,9317000.0,10734000.0,9152000.0,,15839000.0,12380000.0,14372000.0,,12380000.0,15839000.0,,CommonMetricExtracted
Taxes,,,,56766000.0,57164000.0,63747000.0,54198000.0,71848000.0,80908000.0,77305000.0,33758000.0,10855000.0,18610000.0,25447000.0,-12290000.0,5896000.0,15891000.0,10296000.0,4185000.0,14034000.0,,,57164000.0,54198000.0,80908000.0,33758000.0,18610000.0,-12290000.0,15891000.0,4185000.0,,63747000.0,80908000.0,10855000.0,-12290000.0,10296000.0,,57164000.0,80908000.0,18610000.0,15891000.0,,63747000.0,33758000.0,5896000.0,,33758000.0,63747000.0,,CommonMetricExtracted
NetIncome,,,,131508000.0,114095000.0,145401000.0,184644000.0,216612000.0,243194000.0,258626000.0,114932000.0,63859000.0,83096000.0,79789000.0,102117000.0,-97497000.0,20219000.0,19658000.0,37025000.0,32153000.0,,,114095000.0,184644000.0,243194000.0,114932000.0,83096000.0,102117000.0,20219000.0,37025000.0,,145401000.0,243194000.0,63859000.0,102117000.0,19658000.0,,114095000.0,243194000.0,83096000.0,20219000.0,,145401000.0,114932000.0,-97497000.0,,114932000.0,145401000.0,,CommonMetricExtracted
Cash,,,25617000.0,36138000.0,181045000.0,133880000.0,29332000.0,19226000.0,25088000.0,23350000.0,22494000.0,14764000.0,14400000.0,13116000.0,,13806000.0,17703000.0,15428000.0,15120000.0,19157000.0,,36138000.0,133880000.0,19226000.0,23350000.0,14764000.0,13116000.0,13806000.0,15428000.0,19157000.0,181045000.0,19226000.0,22494000.0,13116000.0,17703000.0,19157000.0,36138000.0,19226000.0,14764000.0,13806000.0,19157000.0,181045000.0,23350000.0,,19157000.0,23350000.0,19157000.0,19157000.0,19157000.0,CommonMetricExtracted
CurrentReceivables,,,,,133758000.0,154726000.0,177953000.0,202717000.0,206616000.0,208143000.0,152898000.0,120755000.0,140605000.0,143150000.0,,92867000.0,106741000.0,115103000.0,123068000.0,127355000.0,,,154726000.0,202717000.0,208143000.0,120755000.0,143150000.0,92867000.0,115103000.0,127355000.0,133758000.0,202717000.0,152898000.0,143150000.0,106741000.0,127355000.0,,202717000.0,120755000.0,92867000.0,127355000.0,133758000.0,208143000.0,,127355000.0,208143000.0,127355000.0,127355000.0,127355000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,14020000.0,14959000.0,13128000.0,14246000.0,12053000.0,10711000.0,12592000.0,15351000.0,,14797000.0,14059000.0,15665000.0,8153000.0,10176000.0,,,,14959000.0,14246000.0,10711000.0,15351000.0,14797000.0,15665000.0,10176000.0,,14959000.0,12053000.0,15351000.0,14059000.0,10176000.0,,14959000.0,10711000.0,14797000.0,10176000.0,,14246000.0,,10176000.0,14246000.0,10176000.0,10176000.0,10176000.0,CommonMetricExtracted
