,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,7250000000.0,7961000000.0,9646000000.0,,,,,,,,,,7961000000.0,,,,,,7250000000.0,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,6600300000.0,7206900000.0,8612300000.0,,,,,,,,,,7206900000.0,,,,,,6600300000.0,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,267300000.0,303200000.0,293500000.0,,,,,,,,,,303200000.0,,,,,,267300000.0,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,46300000.0,60900000.0,78000000.0,,,,,,,,,,60900000.0,,,,,,46300000.0,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,289300000.0,338300000.0,599300000.0,,,,,,,,,,338300000.0,,,,,,289300000.0,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,51700000.0,78900000.0,52100000.0,,,,,,,,,,78900000.0,,,,,,51700000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,86900000.0,65200000.0,136100000.0,,,,,,,,,,65200000.0,,,,,,86900000.0,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,180100000.0,244400000.0,428000000.0,,,,,,,,,,244400000.0,,,,,,180100000.0,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,370400000.0,423300000.0,,,,,,,,,,423300000.0,,,,,,423300000.0,,,,,423300000.0,,,,423300000.0,,423300000.0,423300000.0,423300000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,1807600000.0,2077500000.0,,,,,,,,,,2077500000.0,,,,,,2077500000.0,,,,,2077500000.0,,,,2077500000.0,,2077500000.0,2077500000.0,2077500000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,2104300000.0,1760600000.0,,,,,,,,,,1760600000.0,,,,,,1760600000.0,,,,,1760600000.0,,,,1760600000.0,,1760600000.0,1760600000.0,1760600000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,4510600000.0,4512200000.0,,,,,,,,,,4512200000.0,,,,,,4512200000.0,,,,,4512200000.0,,,,4512200000.0,,4512200000.0,4512200000.0,4512200000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,321800000.0,321700000.0,340500000.0,,,,,,,,,321800000.0,340500000.0,,,,,,340500000.0,,,,,340500000.0,,,,340500000.0,,340500000.0,340500000.0,340500000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,318300000.0,308000000.0,,,,,,,,,,308000000.0,,,,,,308000000.0,,,,,308000000.0,,,,308000000.0,,308000000.0,308000000.0,308000000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,,5890500000.0,5988200000.0,,,,,,,,,,5988200000.0,,,,,,5988200000.0,,,,,5988200000.0,,,,5988200000.0,,5988200000.0,5988200000.0,5988200000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,27000000.0,26500000.0,,,,,,,,,,26500000.0,,,,,,26500000.0,,,,,26500000.0,,,,26500000.0,,26500000.0,26500000.0,26500000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,,3173100000.0,2975000000.0,,,,,,,,,,2975000000.0,,,,,,2975000000.0,,,,,2975000000.0,,,,2975000000.0,,2975000000.0,2975000000.0,2975000000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,,5031100000.0,4608100000.0,,,,,,,,,,4608100000.0,,,,,,4608100000.0,,,,,4608100000.0,,,,4608100000.0,,4608100000.0,4608100000.0,4608100000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,648300000.0,770200000.0,,,,,,,,,,770200000.0,,,,,,770200000.0,,,,,770200000.0,,,,770200000.0,,770200000.0,770200000.0,770200000.0,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,,,208500000.0,251200000.0,,,,,,,,,,251200000.0,,,,,,251200000.0,,,,,251200000.0,,,,251200000.0,,251200000.0,251200000.0,251200000.0,CommonMetricExtracted
