,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,3596068000.0,3844069000.0,4643723000.0,5829002000.0,5476486000.0,6729760000.0,8913481000.0,8799533000.0,7925972000.0,,,,,,,3844069000.0,5829002000.0,6729760000.0,8799533000.0,,,,3596068000.0,5829002000.0,8913481000.0,,,,3844069000.0,6729760000.0,,,,5476486000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,3021862000.0,3322711000.0,4021558000.0,5025514000.0,4531688000.0,5623903000.0,7057085000.0,6987618000.0,6567287000.0,,,,,,,3322711000.0,5025514000.0,5623903000.0,6987618000.0,,,,3021862000.0,5025514000.0,7057085000.0,,,,3322711000.0,5623903000.0,,,,4531688000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,612563000.0,520369000.0,537113000.0,486606000.0,468611000.0,469934000.0,443275000.0,437084000.0,426523000.0,401452000.0,463271000.0,507007000.0,505117000.0,544984000.0,643535000.0,665081000.0,,,612563000.0,537113000.0,468611000.0,443275000.0,426523000.0,463271000.0,505117000.0,643535000.0,,520369000.0,468611000.0,437084000.0,463271000.0,544984000.0,,612563000.0,468611000.0,426523000.0,505117000.0,,520369000.0,443275000.0,507007000.0,,443275000.0,520369000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,268460000.0,370778000.0,534018000.0,1515147000.0,1121967000.0,635671000.0,,,,,,,,268460000.0,534018000.0,1121967000.0,,,,,268460000.0,1515147000.0,,,,,534018000.0,,,,370778000.0,,,,,CommonMetricExtracted
Interest,,,,,76964000.0,75508000.0,70806000.0,69496000.0,69608000.0,77741000.0,77760000.0,62973000.0,44151000.0,40957000.0,71373000.0,61837000.0,51904000.0,50709000.0,40127000.0,47893000.0,,,76964000.0,70806000.0,69608000.0,77760000.0,44151000.0,71373000.0,51904000.0,40127000.0,,75508000.0,69608000.0,62973000.0,71373000.0,50709000.0,,76964000.0,69608000.0,44151000.0,51904000.0,,75508000.0,77760000.0,61837000.0,,77760000.0,75508000.0,,CommonMetricExtracted
Taxes,,,,,747000.0,-38118000.0,19328000.0,-45762000.0,57979000.0,47351000.0,83206000.0,13976000.0,15276000.0,30147000.0,69681000.0,92476000.0,121153000.0,297885000.0,262207000.0,150180000.0,,,747000.0,19328000.0,57979000.0,83206000.0,15276000.0,69681000.0,121153000.0,262207000.0,,-38118000.0,57979000.0,13976000.0,69681000.0,297885000.0,,747000.0,57979000.0,15276000.0,121153000.0,,-38118000.0,83206000.0,92476000.0,,83206000.0,-38118000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,219026000.0,405603000.0,399313000.0,222390000.0,262422000.0,378770000.0,434925000.0,485323000.0,517544000.0,252595000.0,622473000.0,192461000.0,542103000.0,497745000.0,672596000.0,592332000.0,857922000.0,,219026000.0,399313000.0,262422000.0,434925000.0,517544000.0,622473000.0,542103000.0,672596000.0,857922000.0,405603000.0,262422000.0,485323000.0,622473000.0,497745000.0,857922000.0,219026000.0,262422000.0,517544000.0,542103000.0,857922000.0,405603000.0,434925000.0,192461000.0,857922000.0,434925000.0,857922000.0,857922000.0,857922000.0,CommonMetricExtracted
CurrentReceivables,,,,,,824339000.0,956852000.0,958364000.0,989694000.0,1028425000.0,900619000.0,765784000.0,706595000.0,749484000.0,1016088000.0,880728000.0,1105580000.0,1358907000.0,1240217000.0,1158946000.0,,,824339000.0,958364000.0,1028425000.0,765784000.0,749484000.0,880728000.0,1358907000.0,1158946000.0,,958364000.0,900619000.0,749484000.0,1105580000.0,1158946000.0,,958364000.0,765784000.0,880728000.0,1158946000.0,,1028425000.0,1016088000.0,1158946000.0,1028425000.0,1158946000.0,1158946000.0,1158946000.0,CommonMetricExtracted
