,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,2561000000.0,2612800000.0,3003700000.0,3280600000.0,2914600000.0,2936300000.0,3112500000.0,3326800000.0,3595200000.0,3644700000.0,4309400000.0,4868000000.0,4883600000.0,4689700000.0,5019400000.0,5578900000.0,6130100000.0,,,2612800000.0,3280600000.0,2936300000.0,3326800000.0,3644700000.0,4868000000.0,4689700000.0,5578900000.0,,3003700000.0,2936300000.0,3595200000.0,4868000000.0,5019400000.0,,2612800000.0,2936300000.0,3644700000.0,4689700000.0,,3003700000.0,3326800000.0,4883600000.0,,3326800000.0,3003700000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,45500000.0,28500000.0,42300000.0,36700000.0,38700000.0,44900000.0,35800000.0,30100000.0,141800000.0,531700000.0,745100000.0,637900000.0,182700000.0,306900000.0,2198400000.0,5275300000.0,4079100000.0,,,28500000.0,36700000.0,44900000.0,30100000.0,531700000.0,637900000.0,306900000.0,5275300000.0,,42300000.0,44900000.0,141800000.0,637900000.0,2198400000.0,,28500000.0,44900000.0,531700000.0,306900000.0,,42300000.0,30100000.0,182700000.0,,30100000.0,42300000.0,,CommonMetricExtracted
Interest,,,,56500000.0,133900000.0,140300000.0,116900000.0,132200000.0,151400000.0,119400000.0,117400000.0,123500000.0,117000000.0,157700000.0,178000000.0,166200000.0,166900000.0,162700000.0,159400000.0,160900000.0,,,133900000.0,116900000.0,151400000.0,117400000.0,117000000.0,178000000.0,166900000.0,159400000.0,,140300000.0,151400000.0,123500000.0,178000000.0,162700000.0,,133900000.0,151400000.0,117000000.0,166900000.0,,140300000.0,117400000.0,166200000.0,,117400000.0,140300000.0,,CommonMetricExtracted
Taxes,,,,532500000.0,611700000.0,769800000.0,122100000.0,786700000.0,622900000.0,644500000.0,709800000.0,753500000.0,-1537100000.0,814100000.0,573800000.0,615700000.0,736700000.0,799300000.0,927400000.0,1015600000.0,,,611700000.0,122100000.0,622900000.0,709800000.0,-1537100000.0,573800000.0,736700000.0,927400000.0,,769800000.0,622900000.0,753500000.0,573800000.0,799300000.0,,611700000.0,622900000.0,-1537100000.0,736700000.0,,769800000.0,709800000.0,615700000.0,,709800000.0,769800000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,1534100000.0,4063400000.0,1963700000.0,2115800000.0,2106400000.0,2636900000.0,2691000000.0,3226200000.0,3525800000.0,,,,,,,4063400000.0,2115800000.0,2636900000.0,3226200000.0,,,,1534100000.0,2115800000.0,2691000000.0,,,,4063400000.0,2636900000.0,,,,2106400000.0,,,,,CommonMetricExtracted
Cash,,,845300000.0,297900000.0,260600000.0,855200000.0,1042300000.0,1604700000.0,2469700000.0,1366100000.0,1692600000.0,1868600000.0,1903600000.0,1374500000.0,1551400000.0,1633200000.0,2834900000.0,2720100000.0,2912000000.0,2892400000.0,,297900000.0,855200000.0,1604700000.0,1366100000.0,1868600000.0,1374500000.0,1633200000.0,2720100000.0,2892400000.0,260600000.0,1604700000.0,1692600000.0,1374500000.0,2834900000.0,2892400000.0,297900000.0,1604700000.0,1868600000.0,1633200000.0,2892400000.0,260600000.0,1366100000.0,1551400000.0,2892400000.0,1366100000.0,2892400000.0,2892400000.0,2892400000.0,CommonMetricExtracted
CurrentReceivables,,,,,248300000.0,297500000.0,289400000.0,267500000.0,302700000.0,341200000.0,357800000.0,364400000.0,359700000.0,553300000.0,491800000.0,461300000.0,434500000.0,483200000.0,535600000.0,573100000.0,,,297500000.0,267500000.0,341200000.0,364400000.0,553300000.0,461300000.0,483200000.0,573100000.0,248300000.0,267500000.0,357800000.0,553300000.0,434500000.0,573100000.0,,267500000.0,364400000.0,461300000.0,573100000.0,248300000.0,341200000.0,491800000.0,573100000.0,341200000.0,573100000.0,573100000.0,573100000.0,CommonMetricExtracted
