,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,2377045000.0,2466105000.0,2802326000.0,3042478000.0,2501554000.0,3126402000.0,3464152000.0,3487203000.0,3368582000.0,,,,,,,2466105000.0,3042478000.0,3126402000.0,3487203000.0,,,,2377045000.0,3042478000.0,3464152000.0,,,,2466105000.0,3126402000.0,,,,2501554000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,1266697000.0,1306143000.0,1415978000.0,1526808000.0,1277665000.0,1513947000.0,1753074000.0,1757271000.0,1677497000.0,,,,,,,1306143000.0,1526808000.0,1513947000.0,1757271000.0,,,,1266697000.0,1526808000.0,1753074000.0,,,,1306143000.0,1513947000.0,,,,1277665000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,444715000.0,534068000.0,614658000.0,596635000.0,625656000.0,763063000.0,831971000.0,864084000.0,910894000.0,1051152000.0,1136186000.0,1098948000.0,1180323000.0,1304394000.0,1416313000.0,1443906000.0,,,444715000.0,614658000.0,625656000.0,831971000.0,910894000.0,1136186000.0,1180323000.0,1416313000.0,,534068000.0,625656000.0,864084000.0,1136186000.0,1304394000.0,,444715000.0,625656000.0,910894000.0,1180323000.0,,534068000.0,831971000.0,1098948000.0,,831971000.0,534068000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,405429000.0,139523000.0,451511000.0,397410000.0,326192000.0,298187000.0,,,,,,,,405429000.0,451511000.0,326192000.0,,,,,405429000.0,397410000.0,,,,,451511000.0,,,,139523000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,22829000.0,27854000.0,34201000.0,34048000.0,37823000.0,56662000.0,67468000.0,58459000.0,154419000.0,85769000.0,74940000.0,31510000.0,97403000.0,85970000.0,74792000.0,74914000.0,,,22829000.0,34201000.0,37823000.0,67468000.0,154419000.0,74940000.0,97403000.0,74792000.0,,27854000.0,37823000.0,58459000.0,74940000.0,85970000.0,,22829000.0,37823000.0,154419000.0,97403000.0,,27854000.0,67468000.0,31510000.0,,67468000.0,27854000.0,,CommonMetricExtracted
NetIncome,,,,,,,103479000.0,99859000.0,93603000.0,141859000.0,179851000.0,198439000.0,112315000.0,274948000.0,330489000.0,108013000.0,354108000.0,311440000.0,251400000.0,223273000.0,,,,103479000.0,93603000.0,179851000.0,112315000.0,330489000.0,354108000.0,251400000.0,,,93603000.0,198439000.0,330489000.0,311440000.0,,,93603000.0,112315000.0,354108000.0,,,179851000.0,108013000.0,,179851000.0,,,CommonMetricExtracted
Cash,,,,,386664000.0,234257000.0,241034000.0,290781000.0,437489000.0,413558000.0,369770000.0,551389000.0,,,,790725000.0,763404000.0,430241000.0,350319000.0,531869000.0,,,234257000.0,290781000.0,413558000.0,551389000.0,,790725000.0,430241000.0,531869000.0,386664000.0,290781000.0,369770000.0,,763404000.0,531869000.0,,290781000.0,551389000.0,790725000.0,531869000.0,386664000.0,413558000.0,,531869000.0,413558000.0,531869000.0,531869000.0,531869000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,351538000.0,334324000.0,306878000.0,344390000.0,371953000.0,333678000.0,,429381000.0,352679000.0,452945000.0,487803000.0,547561000.0,423079000.0,417539000.0,,,,334324000.0,344390000.0,333678000.0,429381000.0,452945000.0,547561000.0,417539000.0,,334324000.0,371953000.0,429381000.0,487803000.0,417539000.0,,334324000.0,333678000.0,452945000.0,417539000.0,,344390000.0,352679000.0,417539000.0,344390000.0,417539000.0,417539000.0,417539000.0,CommonMetricExtracted
