,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,2139000000.0,2532800000.0,2653400000.0,2430900000.0,2922500000.0,3308400000.0,3593200000.0,3895400000.0,,,,,,,2139000000.0,2653400000.0,2922500000.0,3593200000.0,,,,,2653400000.0,3308400000.0,,,,2139000000.0,2922500000.0,,,,2430900000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,483927000.0,481794000.0,526031000.0,521126000.0,560917000.0,626206000.0,726800000.0,793735000.0,773200000.0,900500000.0,896600000.0,896100000.0,966700000.0,1168800000.0,1235300000.0,1299700000.0,,,483927000.0,526031000.0,560917000.0,726800000.0,773200000.0,896600000.0,966700000.0,1235300000.0,,481794000.0,560917000.0,793735000.0,896600000.0,1168800000.0,,483927000.0,560917000.0,773200000.0,966700000.0,,481794000.0,726800000.0,896100000.0,,726800000.0,481794000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,391593000.0,433057000.0,513138000.0,564903000.0,610735000.0,683115000.0,712543000.0,722800000.0,799100000.0,973300000.0,996200000.0,992500000.0,1211200000.0,1342200000.0,1501200000.0,1533700000.0,,,391593000.0,513138000.0,610735000.0,712543000.0,799100000.0,996200000.0,1211200000.0,1501200000.0,,433057000.0,610735000.0,722800000.0,996200000.0,1342200000.0,,391593000.0,610735000.0,799100000.0,1211200000.0,,433057000.0,712543000.0,992500000.0,,712543000.0,433057000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,33298000.0,35274000.0,43581000.0,51730000.0,58827000.0,66259000.0,69600000.0,65411000.0,69200000.0,84800000.0,86700000.0,93300000.0,92700000.0,110300000.0,137400000.0,155100000.0,,,33298000.0,43581000.0,58827000.0,69600000.0,69200000.0,86700000.0,92700000.0,137400000.0,,35274000.0,58827000.0,65411000.0,86700000.0,110300000.0,,33298000.0,58827000.0,69200000.0,92700000.0,,35274000.0,69600000.0,93300000.0,,69600000.0,35274000.0,,CommonMetricExtracted
OperatingMargin,,,,,149856000.0,189912000.0,227556000.0,283398000.0,305945000.0,306500000.0,236700000.0,324100000.0,429100000.0,403100000.0,546700000.0,311800000.0,505800000.0,507600000.0,533100000.0,705700000.0,,,149856000.0,227556000.0,305945000.0,236700000.0,429100000.0,546700000.0,505800000.0,533100000.0,,189912000.0,305945000.0,324100000.0,546700000.0,507600000.0,,149856000.0,305945000.0,429100000.0,505800000.0,,189912000.0,236700000.0,311800000.0,,236700000.0,189912000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,57300000.0,105300000.0,114300000.0,,,,,,,,,,105300000.0,,,,,,57300000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,14280000.0,11623000.0,17334000.0,26808000.0,15400000.0,24705000.0,10400000.0,20700000.0,21100000.0,192000000.0,10700000.0,28100000.0,-2453200000.0,89500000.0,118700000.0,190000000.0,,,14280000.0,17334000.0,15400000.0,10400000.0,21100000.0,10700000.0,-2453200000.0,118700000.0,,11623000.0,15400000.0,20700000.0,10700000.0,89500000.0,,14280000.0,15400000.0,21100000.0,-2453200000.0,,11623000.0,10400000.0,28100000.0,,10400000.0,11623000.0,,CommonMetricExtracted
NetIncome,,,,,100548000.0,112803000.0,175430000.0,248339000.0,296151000.0,269856000.0,203523000.0,273917000.0,372900000.0,139900000.0,466700000.0,238400000.0,2944700000.0,385800000.0,294200000.0,392300000.0,,,100548000.0,175430000.0,296151000.0,203523000.0,372900000.0,466700000.0,2944700000.0,294200000.0,,112803000.0,296151000.0,273917000.0,466700000.0,385800000.0,,100548000.0,296151000.0,372900000.0,2944700000.0,,112803000.0,203523000.0,238400000.0,,203523000.0,112803000.0,,CommonMetricExtracted
Cash,,,,1944000.0,3932000.0,3573000.0,5175000.0,12840000.0,77393000.0,25222000.0,16426000.0,100817000.0,88800000.0,77700000.0,89000000.0,115900000.0,95900000.0,138200000.0,120800000.0,107600000.0,,1944000.0,3573000.0,12840000.0,25222000.0,100817000.0,77700000.0,115900000.0,138200000.0,107600000.0,3932000.0,12840000.0,16426000.0,77700000.0,95900000.0,107600000.0,1944000.0,12840000.0,100817000.0,115900000.0,107600000.0,3932000.0,25222000.0,89000000.0,107600000.0,25222000.0,107600000.0,107600000.0,107600000.0,CommonMetricExtracted
CurrentReceivables,,,,,,197490000.0,214779000.0,234297000.0,229537000.0,276280000.0,282918000.0,291400000.0,316600000.0,374700000.0,435300000.0,435400000.0,515300000.0,557800000.0,609700000.0,717000000.0,,,197490000.0,234297000.0,276280000.0,291400000.0,374700000.0,435400000.0,557800000.0,717000000.0,,234297000.0,282918000.0,374700000.0,515300000.0,717000000.0,,234297000.0,291400000.0,435400000.0,717000000.0,,276280000.0,435300000.0,717000000.0,276280000.0,717000000.0,717000000.0,717000000.0,CommonMetricExtracted
