,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,268785000.0,427546000.0,418027000.0,392502000.0,444306000.0,498834000.0,459244000.0,498860000.0,617583000.0,717489000.0,479605000.0,488198000.0,569968000.0,680704000.0,670604000.0,787200000.0,,,268785000.0,418027000.0,444306000.0,459244000.0,617583000.0,479605000.0,569968000.0,670604000.0,,427546000.0,444306000.0,498860000.0,479605000.0,680704000.0,,268785000.0,444306000.0,617583000.0,569968000.0,,427546000.0,459244000.0,488198000.0,,459244000.0,427546000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,64803000.0,145207000.0,128111000.0,111402000.0,118818000.0,134560000.0,122814000.0,109609000.0,118769000.0,121828000.0,102803000.0,91994000.0,100737000.0,127200000.0,140008000.0,144200000.0,,,64803000.0,128111000.0,118818000.0,122814000.0,118769000.0,102803000.0,100737000.0,140008000.0,,145207000.0,118818000.0,109609000.0,102803000.0,127200000.0,,64803000.0,118818000.0,118769000.0,100737000.0,,145207000.0,122814000.0,91994000.0,,122814000.0,145207000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,33736000.0,51930000.0,53705000.0,56635000.0,62734000.0,62279000.0,77758000.0,85983000.0,89730000.0,94844000.0,106287000.0,112723000.0,131112000.0,142933000.0,150803000.0,228200000.0,,,33736000.0,53705000.0,62734000.0,77758000.0,89730000.0,106287000.0,131112000.0,150803000.0,,51930000.0,62734000.0,85983000.0,106287000.0,142933000.0,,33736000.0,62734000.0,89730000.0,131112000.0,,51930000.0,77758000.0,112723000.0,,77758000.0,51930000.0,,CommonMetricExtracted
Interest,,,,,7086000.0,9146000.0,9000000.0,8747000.0,8234000.0,9482000.0,10006000.0,10639000.0,12645000.0,16431000.0,22224000.0,21765000.0,20135000.0,24400000.0,36951000.0,68400000.0,,,7086000.0,9000000.0,8234000.0,10006000.0,12645000.0,22224000.0,20135000.0,36951000.0,,9146000.0,8234000.0,10639000.0,22224000.0,24400000.0,,7086000.0,8234000.0,12645000.0,20135000.0,,9146000.0,10006000.0,21765000.0,,10006000.0,9146000.0,,CommonMetricExtracted
Taxes,,,,,10918000.0,16923000.0,17989000.0,19296000.0,22085000.0,23945000.0,26905000.0,28341000.0,14670000.0,21232000.0,21114000.0,23538000.0,29231000.0,33832000.0,28100000.0,43200000.0,,,10918000.0,17989000.0,22085000.0,26905000.0,14670000.0,21114000.0,29231000.0,28100000.0,,16923000.0,22085000.0,28341000.0,21114000.0,33832000.0,,10918000.0,22085000.0,14670000.0,29231000.0,,16923000.0,26905000.0,23538000.0,,26905000.0,16923000.0,,CommonMetricExtracted
NetIncome,,,,,15897000.0,26056000.0,27622000.0,28863000.0,32787000.0,36092000.0,41140000.0,44675000.0,58124000.0,56580000.0,65153000.0,71498000.0,83466000.0,89800000.0,87212000.0,118600000.0,,,15897000.0,27622000.0,32787000.0,41140000.0,58124000.0,65153000.0,83466000.0,87212000.0,,26056000.0,32787000.0,44675000.0,65153000.0,89800000.0,,15897000.0,32787000.0,58124000.0,83466000.0,,26056000.0,41140000.0,71498000.0,,41140000.0,26056000.0,,CommonMetricExtracted
Cash,,,,1611000.0,2818000.0,1643000.0,3361000.0,3361000.0,3356000.0,4574000.0,2855000.0,4178000.0,5614000.0,6089000.0,6985000.0,3499000.0,4976000.0,6204000.0,4904000.0,7900000.0,,1611000.0,1643000.0,3361000.0,4574000.0,4178000.0,6089000.0,3499000.0,6204000.0,7900000.0,2818000.0,3361000.0,2855000.0,6089000.0,4976000.0,7900000.0,1611000.0,3361000.0,4178000.0,3499000.0,7900000.0,2818000.0,4574000.0,6985000.0,7900000.0,4574000.0,7900000.0,7900000.0,7900000.0,CommonMetricExtracted
CurrentReceivables,,,,,,94822000.0,86814000.0,61394000.0,80758000.0,75270000.0,69122000.0,88477000.0,95700000.0,137105000.0,171427000.0,148314000.0,153255000.0,146380000.0,169277000.0,178500000.0,,,94822000.0,61394000.0,75270000.0,88477000.0,137105000.0,148314000.0,146380000.0,178500000.0,,61394000.0,69122000.0,137105000.0,153255000.0,178500000.0,,61394000.0,88477000.0,148314000.0,178500000.0,,75270000.0,171427000.0,178500000.0,75270000.0,178500000.0,178500000.0,178500000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,4613000.0,5072000.0,6020000.0,6910000.0,6652000.0,7146000.0,6792000.0,13621000.0,10079000.0,13928000.0,13239000.0,17121000.0,15865000.0,15407000.0,17300000.0,,,4613000.0,6020000.0,6652000.0,6792000.0,10079000.0,13239000.0,15865000.0,17300000.0,,6020000.0,7146000.0,10079000.0,17121000.0,17300000.0,,6020000.0,6792000.0,13239000.0,17300000.0,,6652000.0,13928000.0,17300000.0,6652000.0,17300000.0,17300000.0,17300000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,137273000.0,127760000.0,100597000.0,126409000.0,122373000.0,112538000.0,141151000.0,178587000.0,191537000.0,134826000.0,136431000.0,173135000.0,193976000.0,185700000.0,204300000.0,,,137273000.0,100597000.0,122373000.0,141151000.0,191537000.0,136431000.0,193976000.0,204300000.0,,100597000.0,112538000.0,191537000.0,173135000.0,204300000.0,,100597000.0,141151000.0,136431000.0,204300000.0,,122373000.0,134826000.0,204300000.0,122373000.0,204300000.0,204300000.0,204300000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,462757000.0,487704000.0,541781000.0,631246000.0,689762000.0,854950000.0,986664000.0,1126027000.0,1383972000.0,1463797000.0,1601178000.0,1744878000.0,1810473000.0,2456400000.0,2735900000.0,,,462757000.0,541781000.0,689762000.0,986664000.0,1383972000.0,1601178000.0,1810473000.0,2735900000.0,,541781000.0,854950000.0,1383972000.0,1744878000.0,2735900000.0,,541781000.0,986664000.0,1601178000.0,2735900000.0,,689762000.0,1463797000.0,2735900000.0,689762000.0,2735900000.0,2735900000.0,2735900000.0,CommonMetricExtracted
Goodwill,,,,,,35613000.0,4090000.0,4090000.0,4354000.0,4952000.0,14548000.0,15070000.0,22104000.0,25837000.0,32668000.0,38731000.0,44708000.0,46213000.0,508200000.0,507700000.0,,,35613000.0,4090000.0,4952000.0,15070000.0,25837000.0,38731000.0,46213000.0,507700000.0,,4090000.0,14548000.0,25837000.0,44708000.0,507700000.0,,4090000.0,15070000.0,38731000.0,507700000.0,,4952000.0,32668000.0,507700000.0,4952000.0,507700000.0,507700000.0,507700000.0,CommonMetricExtracted
IntangibleAssets,,,,,,3459000.0,3127000.0,2798000.0,2975000.0,2404000.0,2222000.0,1843000.0,4686000.0,6207000.0,8129000.0,8292000.0,13192000.0,17859000.0,16900000.0,15000000.0,,,3459000.0,2798000.0,2404000.0,1843000.0,6207000.0,8292000.0,17859000.0,15000000.0,,2798000.0,2222000.0,6207000.0,13192000.0,15000000.0,,2798000.0,1843000.0,8292000.0,15000000.0,,2404000.0,8129000.0,15000000.0,2404000.0,15000000.0,15000000.0,15000000.0,CommonMetricExtracted
TotalAssets,,,,,,670993000.0,709066000.0,733746000.0,837522000.0,904469000.0,1068586000.0,1229219000.0,1417434000.0,1693671000.0,1783198000.0,1932487000.0,2114869000.0,2215037000.0,3304704000.0,3577000000.0,,,670993000.0,733746000.0,904469000.0,1229219000.0,1693671000.0,1932487000.0,2215037000.0,3577000000.0,,733746000.0,1068586000.0,1693671000.0,2114869000.0,3577000000.0,,733746000.0,1229219000.0,1932487000.0,3577000000.0,,904469000.0,1783198000.0,3577000000.0,904469000.0,3577000000.0,3577000000.0,3577000000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,101907000.0,117592000.0,158486000.0,149340000.0,136954000.0,197395000.0,316020000.0,440168000.0,508499000.0,549903000.0,578388000.0,1187100000.0,1261700000.0,,,,101907000.0,158486000.0,136954000.0,316020000.0,508499000.0,578388000.0,1261700000.0,,101907000.0,149340000.0,316020000.0,549903000.0,1261700000.0,,101907000.0,136954000.0,508499000.0,1261700000.0,,158486000.0,440168000.0,1261700000.0,158486000.0,1261700000.0,1261700000.0,1261700000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,80866000.0,68597000.0,54157000.0,66105000.0,56504000.0,52060000.0,70283000.0,92015000.0,151009000.0,75343000.0,86081000.0,81789000.0,87955000.0,111039000.0,111700000.0,,,80866000.0,54157000.0,56504000.0,70283000.0,151009000.0,86081000.0,87955000.0,111700000.0,,54157000.0,52060000.0,151009000.0,81789000.0,111700000.0,,54157000.0,70283000.0,86081000.0,111700000.0,,56504000.0,75343000.0,111700000.0,56504000.0,111700000.0,111700000.0,111700000.0,CommonMetricExtracted
CurrentLiability,,,,,,225320000.0,180659000.0,178735000.0,242298000.0,215200000.0,304464000.0,353674000.0,449117000.0,577739000.0,490411000.0,397979000.0,449401000.0,440069000.0,476890000.0,519000000.0,,,225320000.0,178735000.0,215200000.0,353674000.0,577739000.0,397979000.0,440069000.0,519000000.0,,178735000.0,304464000.0,577739000.0,449401000.0,519000000.0,,178735000.0,353674000.0,397979000.0,519000000.0,,215200000.0,490411000.0,519000000.0,215200000.0,519000000.0,519000000.0,519000000.0,CommonMetricExtracted
LongtermDebt,,,,,,315881000.0,351065000.0,358505000.0,396365000.0,458808000.0,507478000.0,583040000.0,683689000.0,834459000.0,1001745000.0,1205584000.0,1324033000.0,1411189000.0,2433200000.0,2651900000.0,,,315881000.0,358505000.0,458808000.0,583040000.0,834459000.0,1205584000.0,1411189000.0,2651900000.0,,358505000.0,507478000.0,834459000.0,1324033000.0,2651900000.0,,358505000.0,583040000.0,1205584000.0,2651900000.0,,458808000.0,1001745000.0,2651900000.0,458808000.0,2651900000.0,2651900000.0,2651900000.0,CommonMetricExtracted
LongtermLiability,,,,,,27783000.0,45621000.0,40547000.0,67463000.0,82271000.0,79142000.0,80642000.0,176632000.0,166520000.0,171005000.0,188184000.0,177354000.0,175386000.0,223523000.0,207400000.0,,,27783000.0,40547000.0,82271000.0,80642000.0,166520000.0,188184000.0,175386000.0,207400000.0,,40547000.0,79142000.0,166520000.0,177354000.0,207400000.0,,40547000.0,80642000.0,188184000.0,207400000.0,,82271000.0,171005000.0,207400000.0,82271000.0,207400000.0,207400000.0,207400000.0,CommonMetricExtracted
TotalLiability,,,,,,157470000.0,200502000.0,213075000.0,219215000.0,251426000.0,281515000.0,312128000.0,320745000.0,330978000.0,358129000.0,397871000.0,414442000.0,434825000.0,485141000.0,505700000.0,,,157470000.0,213075000.0,251426000.0,312128000.0,330978000.0,397871000.0,434825000.0,505700000.0,,213075000.0,281515000.0,330978000.0,414442000.0,505700000.0,,213075000.0,312128000.0,397871000.0,505700000.0,,251426000.0,358129000.0,505700000.0,251426000.0,505700000.0,505700000.0,505700000.0,CommonMetricExtracted
