,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,2006000000.0,3064000000.0,2634000000.0,,1889000000.0,2707000000.0,2801000000.0,3198000000.0,,,,,,,2006000000.0,2634000000.0,1889000000.0,2801000000.0,,,,,2634000000.0,2707000000.0,,,,2006000000.0,1889000000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,876000000.0,912000000.0,895000000.0,,705000000.0,785000000.0,822000000.0,966000000.0,,,,,,,876000000.0,895000000.0,705000000.0,822000000.0,,,,,895000000.0,785000000.0,,,,876000000.0,705000000.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,249000000.0,299000000.0,290000000.0,,200000000.0,222000000.0,267000000.0,321000000.0,,,,,,,249000000.0,290000000.0,200000000.0,267000000.0,,,,,290000000.0,222000000.0,,,,249000000.0,200000000.0,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,73000000.0,769000000.0,429000000.0,,293000000.0,812000000.0,808000000.0,620000000.0,,,,,,,73000000.0,429000000.0,293000000.0,808000000.0,,,,,429000000.0,812000000.0,,,,73000000.0,293000000.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,379000000.0,383000000.0,,54000000.0,53000000.0,56000000.0,87000000.0,,,,,,,,383000000.0,54000000.0,56000000.0,,,,,383000000.0,53000000.0,,,,,54000000.0,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,136000000.0,149000000.0,157000000.0,,145000000.0,162000000.0,165000000.0,242000000.0,,,,,,,136000000.0,157000000.0,145000000.0,165000000.0,,,,,157000000.0,162000000.0,,,,136000000.0,145000000.0,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,699000000.0,869000000.0,-1434000000.0,,,-266000000.0,328000000.0,-28000000.0,,612000000.0,524000000.0,564000000.0,376000000.0,,,,,869000000.0,,-266000000.0,-28000000.0,612000000.0,564000000.0,,,869000000.0,,-28000000.0,524000000.0,,,869000000.0,-266000000.0,612000000.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,3636000.0,4179000.0,0.0,,,,,,,,,203000000.0,305000000.0,307000000.0,496000000.0,372000000.0,,,4179000.0,,,,,203000000.0,307000000.0,372000000.0,3636000.0,,,,305000000.0,372000000.0,,,,203000000.0,372000000.0,3636000.0,,,372000000.0,,372000000.0,372000000.0,372000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,7552000.0,8581000.0,,,,,,277000000.0,299000000.0,277000000.0,,245000000.0,359000000.0,235000000.0,376000000.0,,,7552000.0,,,,299000000.0,,359000000.0,376000000.0,,,,299000000.0,245000000.0,376000000.0,,,,,376000000.0,,,277000000.0,376000000.0,,376000000.0,376000000.0,376000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,14191000.0,14194000.0,,,,,,56000000.0,69000000.0,67000000.0,61000000.0,60000000.0,60000000.0,72000000.0,90000000.0,,,14191000.0,,,,69000000.0,61000000.0,60000000.0,90000000.0,,,,69000000.0,60000000.0,90000000.0,,,,61000000.0,90000000.0,,,67000000.0,90000000.0,,90000000.0,90000000.0,90000000.0,CommonMetricExtracted
