,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,53835000.0,58697000.0,106477000.0,184194000.0,192970000.0,,,,,,,,,58697000.0,184194000.0,,,,,,106477000.0,,,,,58697000.0,,,,53835000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,7729000.0,20419000.0,42462000.0,78000000.0,73539000.0,,,,,,,,,20419000.0,78000000.0,,,,,,42462000.0,,,,,20419000.0,,,,7729000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,16471000.0,28667000.0,34900000.0,48248000.0,60193000.0,,,,,,,,,28667000.0,48248000.0,,,,,,34900000.0,,,,,28667000.0,,,,16471000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,27564000.0,34845000.0,47949000.0,76774000.0,95531000.0,,,,,,,,,34845000.0,76774000.0,,,,,,47949000.0,,,,,34845000.0,,,,27564000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,24000.0,-62000.0,-245000.0,3321000.0,14313000.0,,,,,,,,,-62000.0,3321000.0,,,,,,-245000.0,,,,,-62000.0,,,,24000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,766000.0,2215000.0,-37000.0,-1367000.0,5624000.0,,,,,,,,,2215000.0,-1367000.0,,,,,,-37000.0,,,,,2215000.0,,,,766000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,1329000.0,-27511000.0,-22176000.0,-16547000.0,-28369000.0,,,,,,,,,-27511000.0,-16547000.0,,,,,,-22176000.0,,,,,-27511000.0,,,,1329000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,103757000.0,259322000.0,108583000.0,66942000.0,,,,,,,,,259322000.0,66942000.0,,,,,103757000.0,66942000.0,,,,,66942000.0,,,,66942000.0,,66942000.0,66942000.0,66942000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,13645000.0,29524000.0,49541000.0,59662000.0,,,,,,,,,29524000.0,59662000.0,,,,,13645000.0,59662000.0,,,,,59662000.0,,,,59662000.0,,59662000.0,59662000.0,59662000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,8731000.0,5923000.0,5412000.0,13131000.0,,,,,,,,,5923000.0,13131000.0,,,,,8731000.0,13131000.0,,,,,13131000.0,,,,13131000.0,,13131000.0,13131000.0,13131000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,7104000.0,27337000.0,46023000.0,25907000.0,,,,,,,,,27337000.0,25907000.0,,,,,7104000.0,25907000.0,,,,,25907000.0,,,,25907000.0,,25907000.0,25907000.0,25907000.0,CommonMetricExtracted
