,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,1476977000.0,3057065000.0,2382602000.0,2930919000.0,,,,,,,,,1476977000.0,2382602000.0,,,,,,3057065000.0,,,,,1476977000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,483739000.0,1284165000.0,324740000.0,218462000.0,,,,,,,,,483739000.0,324740000.0,,,,,,1284165000.0,,,,,483739000.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,95937000.0,145807000.0,216263000.0,,,,,,,,,,145807000.0,,,,,,95937000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,108992000.0,238381000.0,162963000.0,162634000.0,,,,,,,,,108992000.0,162963000.0,,,,,,238381000.0,,,,,108992000.0,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,-14922000.0,2669000.0,472000.0,-1215000.0,,,,,,,,,-14922000.0,472000.0,,,,,,2669000.0,,,,,-14922000.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,111821000.0,,457071000.0,,,,,,,,,,111821000.0,457071000.0,,,,,,,,,,,111821000.0,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,80688000.0,,524690000.0,,,,,,,,,,80688000.0,524690000.0,,,,,,,,,,,80688000.0,,,,,,,,,,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,232323000.0,,1759846000.0,834364000.0,,,,,,,,,232323000.0,1759846000.0,,,,,,,,,,,232323000.0,,,,,,,,,,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,36060000.0,,85332000.0,42085000.0,,,,,,,,,36060000.0,85332000.0,,,,,,,,,,,36060000.0,,,,,,,,,,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,0.0,,147348000.0,262581000.0,58700000.0,,,,,,,,0.0,147348000.0,58700000.0,,,,,,58700000.0,,,,0.0,58700000.0,,,,58700000.0,,58700000.0,58700000.0,58700000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,485515000.0,411028000.0,233147000.0,1012372000.0,935769000.0,1223086000.0,,,,,,,,485515000.0,233147000.0,935769000.0,,,,,485515000.0,1012372000.0,,,,,233147000.0,,,,411028000.0,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,0.0,0.0,115076000.0,626620000.0,849254000.0,558600000.0,,,,,,,,0.0,115076000.0,849254000.0,,,,,0.0,626620000.0,,,,,115076000.0,,,,0.0,,,,,CommonMetricExtracted
