,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,14287000000.0,13846000000.0,14217000000.0,15655000000.0,17455000000.0,17226000000.0,16908000000.0,,,,,,,,13846000000.0,15655000000.0,17226000000.0,,,,,13846000000.0,17455000000.0,,,,,15655000000.0,,,,14217000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,9948000000.0,8575000000.0,8507000000.0,9220000000.0,10436000000.0,9920000000.0,9529000000.0,,,,,,,,8575000000.0,9220000000.0,9920000000.0,,,,,8575000000.0,10436000000.0,,,,,9220000000.0,,,,8507000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,3593000000.0,3440000000.0,3669000000.0,4170000000.0,5886000000.0,5833000000.0,5344000000.0,4615000000.0,4319000000.0,,3041000000.0,3065000000.0,3043000000.0,3209000000.0,3173000000.0,3176000000.0,3196000000.0,,,3440000000.0,4170000000.0,5833000000.0,4615000000.0,,3065000000.0,3209000000.0,3176000000.0,,3669000000.0,5833000000.0,4319000000.0,3065000000.0,3173000000.0,,3440000000.0,5833000000.0,,3209000000.0,,3669000000.0,4615000000.0,3043000000.0,,4615000000.0,3669000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,1393000000.0,1378000000.0,1651000000.0,1960000000.0,2123000000.0,2153000000.0,2067000000.0,1898000000.0,1641000000.0,,1355000000.0,1147000000.0,1142000000.0,1187000000.0,1216000000.0,1337000000.0,1402000000.0,,,1378000000.0,1960000000.0,2153000000.0,1898000000.0,,1147000000.0,1187000000.0,1337000000.0,,1651000000.0,2153000000.0,1641000000.0,1147000000.0,1216000000.0,,1378000000.0,2153000000.0,,1187000000.0,,1651000000.0,1898000000.0,1142000000.0,,1898000000.0,1651000000.0,,CommonMetricExtracted
OperatingMargin,,,,,,,3879000000.0,3088000000.0,3489000000.0,4991000000.0,2591000000.0,3265000000.0,,-6806000000.0,-316000000.0,675000000.0,2346000000.0,1426000000.0,1093000000.0,1275000000.0,,,,3879000000.0,3489000000.0,2591000000.0,,-316000000.0,2346000000.0,1093000000.0,,,3489000000.0,3265000000.0,-316000000.0,1426000000.0,,,3489000000.0,,2346000000.0,,,2591000000.0,675000000.0,,2591000000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,337000000.0,136000000.0,45000000.0,30000000.0,79000000.0,233000000.0,233000000.0,,,,,,,,136000000.0,30000000.0,233000000.0,,,,,136000000.0,79000000.0,,,,,30000000.0,,,,45000000.0,,,,,CommonMetricExtracted
Taxes,,,,381000000.0,415000000.0,659000000.0,772000000.0,622000000.0,626000000.0,1370000000.0,696000000.0,744000000.0,,-31000000.0,-46000000.0,-81000000.0,524000000.0,210000000.0,152000000.0,412000000.0,,,415000000.0,772000000.0,626000000.0,696000000.0,,-46000000.0,524000000.0,152000000.0,,659000000.0,626000000.0,744000000.0,-46000000.0,210000000.0,,415000000.0,626000000.0,,524000000.0,,659000000.0,696000000.0,-81000000.0,,696000000.0,659000000.0,,CommonMetricExtracted
NetIncome,,,,2010000000.0,1769000000.0,3052000000.0,3599000000.0,2813000000.0,4862000000.0,3636000000.0,1959000000.0,2525000000.0,,-5027000000.0,-941000000.0,701000000.0,1769000000.0,1158000000.0,747000000.0,919000000.0,,,1769000000.0,3599000000.0,4862000000.0,1959000000.0,,-941000000.0,1769000000.0,747000000.0,,3052000000.0,4862000000.0,2525000000.0,-941000000.0,1158000000.0,,1769000000.0,4862000000.0,,1769000000.0,,3052000000.0,1959000000.0,701000000.0,,1959000000.0,3052000000.0,,CommonMetricExtracted
Cash,,,1305000000.0,3645000000.0,4021000000.0,4263000000.0,3586000000.0,4284000000.0,8941000000.0,6910000000.0,5300000000.0,4605000000.0,7250000000.0,4466000000.0,,3526000000.0,4459000000.0,3191000000.0,2644000000.0,3106000000.0,,3645000000.0,4263000000.0,4284000000.0,6910000000.0,4605000000.0,4466000000.0,3526000000.0,3191000000.0,3106000000.0,4021000000.0,4284000000.0,5300000000.0,4466000000.0,4459000000.0,3106000000.0,3645000000.0,4284000000.0,4605000000.0,3526000000.0,3106000000.0,4021000000.0,6910000000.0,,3106000000.0,6910000000.0,3106000000.0,3106000000.0,3106000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,5635000000.0,6022000000.0,5452000000.0,6047000000.0,6005000000.0,4643000000.0,4971000000.0,5239000000.0,5534000000.0,,4926000000.0,4811000000.0,5701000000.0,5488000000.0,5676000000.0,,,5635000000.0,5452000000.0,6005000000.0,4971000000.0,5534000000.0,4926000000.0,5701000000.0,5676000000.0,,5452000000.0,4643000000.0,5534000000.0,4811000000.0,5676000000.0,,5452000000.0,4971000000.0,4926000000.0,5676000000.0,,6005000000.0,,5676000000.0,6005000000.0,5676000000.0,5676000000.0,5676000000.0,CommonMetricExtracted
