,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,396679000.0,422993000.0,470483000.0,468999000.0,424066000.0,512925000.0,586869000.0,550422000.0,515771000.0,,,,,,,422993000.0,468999000.0,512925000.0,550422000.0,,,,396679000.0,468999000.0,586869000.0,,,,422993000.0,512925000.0,,,,424066000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,256251000.0,282562000.0,305510000.0,311424000.0,285003000.0,328306000.0,376331000.0,359563000.0,326621000.0,,,,,,,282562000.0,311424000.0,328306000.0,359563000.0,,,,256251000.0,311424000.0,376331000.0,,,,282562000.0,328306000.0,,,,285003000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,67119000.0,72310000.0,71890000.0,80386000.0,69989000.0,61051000.0,59586000.0,61624000.0,71943000.0,73569000.0,70408000.0,67787000.0,82597000.0,91520000.0,83816000.0,88285000.0,,,67119000.0,71890000.0,69989000.0,59586000.0,71943000.0,70408000.0,82597000.0,83816000.0,,72310000.0,69989000.0,61624000.0,70408000.0,91520000.0,,67119000.0,69989000.0,71943000.0,82597000.0,,72310000.0,59586000.0,67787000.0,,59586000.0,72310000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,14154000.0,18313000.0,19990000.0,20918000.0,23222000.0,22563000.0,22461000.0,24040000.0,25146000.0,25304000.0,25967000.0,24317000.0,23856000.0,24100000.0,24918000.0,23388000.0,,,14154000.0,19990000.0,23222000.0,22461000.0,25146000.0,25967000.0,23856000.0,24918000.0,,18313000.0,23222000.0,24040000.0,25967000.0,24100000.0,,14154000.0,23222000.0,25146000.0,23856000.0,,18313000.0,22461000.0,24317000.0,,22461000.0,18313000.0,,CommonMetricExtracted
OperatingMargin,,,,,-17829000.0,27843000.0,25240000.0,26688000.0,17687000.0,42323000.0,18113000.0,63166000.0,38495000.0,61038000.0,53815000.0,45129000.0,76479000.0,93006000.0,75051000.0,72780000.0,,,-17829000.0,25240000.0,17687000.0,18113000.0,38495000.0,53815000.0,76479000.0,75051000.0,,27843000.0,17687000.0,63166000.0,53815000.0,93006000.0,,-17829000.0,17687000.0,38495000.0,76479000.0,,27843000.0,18113000.0,45129000.0,,18113000.0,27843000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,2192000.0,3331000.0,4236000.0,,,,,,,,,,3331000.0,,,,,,2192000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,13636000.0,5988000.0,5370000.0,6609000.0,16066000.0,12826000.0,5307000.0,22865000.0,25805000.0,11571000.0,14120000.0,10793000.0,-19014000.0,21162000.0,14621000.0,13109000.0,,,13636000.0,5370000.0,16066000.0,5307000.0,25805000.0,14120000.0,-19014000.0,14621000.0,,5988000.0,16066000.0,22865000.0,14120000.0,21162000.0,,13636000.0,16066000.0,25805000.0,-19014000.0,,5988000.0,5307000.0,10793000.0,,5307000.0,5988000.0,,CommonMetricExtracted
NetIncome,,,,,-34050000.0,22038000.0,20967000.0,20333000.0,-3929000.0,26522000.0,6954000.0,34380000.0,14448000.0,46532000.0,36146000.0,34686000.0,-41866000.0,59575000.0,60532000.0,58114000.0,,,-34050000.0,20967000.0,-3929000.0,6954000.0,14448000.0,36146000.0,-41866000.0,60532000.0,,22038000.0,-3929000.0,34380000.0,36146000.0,59575000.0,,-34050000.0,-3929000.0,14448000.0,-41866000.0,,22038000.0,6954000.0,34686000.0,,6954000.0,22038000.0,,CommonMetricExtracted
Cash,,,,44628000.0,51167000.0,73315000.0,76412000.0,109571000.0,124368000.0,134508000.0,156928000.0,113805000.0,113572000.0,100933000.0,,91773000.0,141465000.0,156910000.0,163876000.0,94334000.0,,44628000.0,73315000.0,109571000.0,134508000.0,113805000.0,100933000.0,91773000.0,156910000.0,94334000.0,51167000.0,109571000.0,156928000.0,100933000.0,141465000.0,94334000.0,44628000.0,109571000.0,113805000.0,91773000.0,94334000.0,51167000.0,134508000.0,,94334000.0,134508000.0,94334000.0,94334000.0,94334000.0,CommonMetricExtracted
CurrentReceivables,,,,,,95930000.0,88345000.0,89602000.0,62667000.0,56894000.0,54563000.0,62612000.0,70584000.0,79518000.0,,80981000.0,82191000.0,90935000.0,78569000.0,77649000.0,,,95930000.0,89602000.0,56894000.0,62612000.0,79518000.0,80981000.0,90935000.0,77649000.0,,89602000.0,54563000.0,79518000.0,82191000.0,77649000.0,,89602000.0,62612000.0,80981000.0,77649000.0,,56894000.0,,77649000.0,56894000.0,77649000.0,77649000.0,77649000.0,CommonMetricExtracted
