,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,670651000.0,705007000.0,885455000.0,894528000.0,838561000.0,1046003000.0,1216858000.0,1103573000.0,1131476000.0,,,,,,,705007000.0,894528000.0,1046003000.0,1103573000.0,,,,670651000.0,894528000.0,1216858000.0,,,,705007000.0,1046003000.0,,,,838561000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,177239000.0,208693000.0,194841000.0,186002000.0,168856000.0,122160000.0,103108000.0,103139000.0,121264000.0,115307000.0,77443000.0,103641000.0,166410000.0,133291000.0,115981000.0,,,,208693000.0,186002000.0,122160000.0,103139000.0,115307000.0,103641000.0,133291000.0,,177239000.0,186002000.0,103108000.0,115307000.0,166410000.0,,,186002000.0,103139000.0,103641000.0,,177239000.0,122160000.0,77443000.0,,122160000.0,177239000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,9464000.0,-16439000.0,12400000.0,12747000.0,32582000.0,63907000.0,27221000.0,23297000.0,58010000.0,11941000.0,-16924000.0,79153000.0,142792000.0,72240000.0,45897000.0,,,,-16439000.0,12747000.0,63907000.0,23297000.0,11941000.0,79153000.0,72240000.0,,9464000.0,12747000.0,27221000.0,11941000.0,142792000.0,,,12747000.0,23297000.0,79153000.0,,9464000.0,63907000.0,-16924000.0,,63907000.0,9464000.0,,CommonMetricExtracted
Interest,,,,,,,,12697000.0,10400000.0,10807000.0,8445000.0,8226000.0,8258000.0,8708000.0,11110000.0,6841000.0,2791000.0,3083000.0,7967000.0,13576000.0,,,,,10400000.0,8445000.0,8258000.0,11110000.0,2791000.0,7967000.0,,,10400000.0,8226000.0,11110000.0,3083000.0,,,10400000.0,8258000.0,2791000.0,,,8445000.0,6841000.0,,8445000.0,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,11712000.0,9878000.0,11831000.0,13024000.0,11621000.0,10899000.0,11931000.0,13409000.0,11954000.0,,,,,,,9878000.0,13024000.0,10899000.0,13409000.0,,,,11712000.0,13024000.0,11931000.0,,,,9878000.0,10899000.0,,,,11621000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,3289000.0,-14267000.0,6065000.0,5244000.0,17808000.0,42085000.0,16835000.0,55439000.0,42503000.0,8477000.0,-42718000.0,60731000.0,108682000.0,55229000.0,35921000.0,,,,-14267000.0,5244000.0,42085000.0,55439000.0,8477000.0,60731000.0,55229000.0,,3289000.0,5244000.0,16835000.0,8477000.0,108682000.0,,,5244000.0,55439000.0,60731000.0,,3289000.0,42085000.0,-42718000.0,,42085000.0,3289000.0,,CommonMetricExtracted
Cash,,,,,12221000.0,9361000.0,3895000.0,6846000.0,9263000.0,21330000.0,4490000.0,7750000.0,15356000.0,23127000.0,43591000.0,8407000.0,8412000.0,68665000.0,2294000.0,35619000.0,,,9361000.0,6846000.0,21330000.0,7750000.0,23127000.0,8407000.0,68665000.0,35619000.0,12221000.0,6846000.0,4490000.0,23127000.0,8412000.0,35619000.0,,6846000.0,7750000.0,8407000.0,35619000.0,12221000.0,21330000.0,43591000.0,35619000.0,21330000.0,35619000.0,35619000.0,35619000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,70619000.0,80130000.0,86744000.0,103022000.0,130039000.0,109649000.0,130766000.0,168877000.0,181735000.0,109074000.0,161331000.0,128406000.0,153610000.0,152133000.0,,,,80130000.0,103022000.0,109649000.0,168877000.0,109074000.0,128406000.0,152133000.0,,80130000.0,130039000.0,168877000.0,161331000.0,152133000.0,,80130000.0,109649000.0,109074000.0,152133000.0,,103022000.0,181735000.0,152133000.0,103022000.0,152133000.0,152133000.0,152133000.0,CommonMetricExtracted
