,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,87472000000.0,98729000000.0,96413000000.0,107100000000.0,123133000000.0,126761000000.0,139367000000.0,153290000000.0,177546000000.0,184786000000.0,194579000000.0,256776000000.0,268706000000.0,292111000000.0,322467000000.0,357776000000.0,372809000000.0,,,98729000000.0,107100000000.0,126761000000.0,153290000000.0,184786000000.0,256776000000.0,292111000000.0,357776000000.0,,96413000000.0,126761000000.0,177546000000.0,256776000000.0,322467000000.0,,98729000000.0,126761000000.0,184786000000.0,292111000000.0,,96413000000.0,153290000000.0,268706000000.0,,153290000000.0,96413000000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,146533000000.0,153448000000.0,156447000000.0,158719000000.0,163981000000.0,175803000000.0,196892000000.0,217098000000.0,206287000000.0,,,,,,,153448000000.0,158719000000.0,175803000000.0,217098000000.0,,,,146533000000.0,158719000000.0,196892000000.0,,,,153448000000.0,175803000000.0,,,,163981000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,6046000000.0,6438000000.0,6165000000.0,6331000000.0,7228000000.0,8037000000.0,8799000000.0,9475000000.0,10386000000.0,9538000000.0,4021000000.0,11987000000.0,13911000000.0,13310000000.0,7954000000.0,13743000000.0,8516000000.0,,,6438000000.0,6331000000.0,8037000000.0,9475000000.0,9538000000.0,11987000000.0,13310000000.0,13743000000.0,,6165000000.0,8037000000.0,10386000000.0,11987000000.0,7954000000.0,,6438000000.0,8037000000.0,9538000000.0,13310000000.0,,6165000000.0,9475000000.0,13911000000.0,,9475000000.0,6165000000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,2287000000.0,2658000000.0,2958000000.0,,,,,,,,,,2658000000.0,,,,,,2287000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,2193000000.0,2205000000.0,2190000000.0,2258000000.0,2441000000.0,2928000000.0,3033000000.0,3386000000.0,3317000000.0,1637000000.0,2002000000.0,2366000000.0,2569000000.0,2548000000.0,1509000000.0,2805000000.0,1562000000.0,,,2205000000.0,2258000000.0,2928000000.0,3386000000.0,1637000000.0,2366000000.0,2548000000.0,2805000000.0,,2190000000.0,2928000000.0,3317000000.0,2366000000.0,1509000000.0,,2205000000.0,2928000000.0,1637000000.0,2548000000.0,,2190000000.0,3386000000.0,2569000000.0,,3386000000.0,2190000000.0,,CommonMetricExtracted
NetIncome,,,,3198000000.0,3696000000.0,3427000000.0,,,,4644000000.0,5237000000.0,5317000000.0,6622000000.0,-594000000.0,6634000000.0,7179000000.0,8001000000.0,4311000000.0,8344000000.0,4614000000.0,,,3696000000.0,,,5237000000.0,6622000000.0,6634000000.0,8001000000.0,8344000000.0,,3427000000.0,,5317000000.0,6634000000.0,4311000000.0,,3696000000.0,,6622000000.0,8001000000.0,,3427000000.0,5237000000.0,7179000000.0,,5237000000.0,3427000000.0,,CommonMetricExtracted
Cash,,,1056000000.0,1352000000.0,1086000000.0,1427000000.0,1413000000.0,1375000000.0,4089000000.0,2481000000.0,2459000000.0,3371000000.0,1696000000.0,4059000000.0,,7854000000.0,9408000000.0,12945000000.0,8196000000.0,8586000000.0,,1352000000.0,1427000000.0,1375000000.0,2481000000.0,3371000000.0,4059000000.0,7854000000.0,12945000000.0,8586000000.0,1086000000.0,1375000000.0,2459000000.0,4059000000.0,9408000000.0,8586000000.0,1352000000.0,1375000000.0,3371000000.0,7854000000.0,8586000000.0,1086000000.0,2481000000.0,,8586000000.0,2481000000.0,8586000000.0,8586000000.0,8586000000.0,CommonMetricExtracted
CurrentReceivables,,,,,5457000000.0,4925000000.0,6047000000.0,6479000000.0,8729000000.0,9687000000.0,11888000000.0,12164000000.0,13181000000.0,17631000000.0,,21742000000.0,24431000000.0,27276000000.0,35227000000.0,36469000000.0,,,4925000000.0,6479000000.0,9687000000.0,12164000000.0,17631000000.0,21742000000.0,27276000000.0,36469000000.0,5457000000.0,6479000000.0,11888000000.0,17631000000.0,24431000000.0,36469000000.0,,6479000000.0,12164000000.0,21742000000.0,36469000000.0,5457000000.0,9687000000.0,,36469000000.0,9687000000.0,36469000000.0,36469000000.0,36469000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
