,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,252022000.0,303426000.0,368168000.0,451803000.0,,,,,,,,,252022000.0,368168000.0,,,,,,303426000.0,,,,,252022000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,67864000.0,87784000.0,107127000.0,122987000.0,,,,,,,,,67864000.0,107127000.0,,,,,,87784000.0,,,,,67864000.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,39065000.0,52638000.0,60365000.0,67254000.0,,,,,,,,,39065000.0,60365000.0,,,,,,52638000.0,,,,,39065000.0,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,72690000.0,94120000.0,123925000.0,150558000.0,,,,,,,,,72690000.0,123925000.0,,,,,,94120000.0,,,,,72690000.0,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,28461000.0,5117000.0,-16745000.0,12234000.0,,,,,,,,,28461000.0,-16745000.0,,,,,,5117000.0,,,,,28461000.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,11639000.0,14396000.0,53181000.0,,,,,,,,,,14396000.0,,,,,,11639000.0,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,-44230000.0,-8094000.0,-6695000.0,-23083000.0,427585000.0,,,,,,,,,-8094000.0,-23083000.0,,,,,,-6695000.0,,,,,-8094000.0,,,,-44230000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,221765000.0,177350000.0,,,,,,,,,,177350000.0,,,,,,177350000.0,,,,,177350000.0,,,,177350000.0,,177350000.0,177350000.0,177350000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,92091000.0,106151000.0,,,,,,,,,,106151000.0,,,,,,106151000.0,,,,,106151000.0,,,,106151000.0,,106151000.0,106151000.0,106151000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,27683000.0,23006000.0,,,,,,,,,,23006000.0,,,,,,23006000.0,,,,,23006000.0,,,,23006000.0,,23006000.0,23006000.0,23006000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,415996000.0,384646000.0,,,,,,,,,,384646000.0,,,,,,384646000.0,,,,,384646000.0,,,,384646000.0,,384646000.0,384646000.0,384646000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,15349000.0,14797000.0,,,,,,,,,,14797000.0,,,,,,14797000.0,,,,,14797000.0,,,,14797000.0,,14797000.0,14797000.0,14797000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,45338000.0,70971000.0,,,,,,,,,,70971000.0,,,,,,70971000.0,,,,,70971000.0,,,,70971000.0,,70971000.0,70971000.0,70971000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,26132000.0,30868000.0,,,,,,,,,,30868000.0,,,,,,30868000.0,,,,,30868000.0,,,,30868000.0,,30868000.0,30868000.0,30868000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,,558743000.0,1169572000.0,,,,,,,,,,1169572000.0,,,,,,1169572000.0,,,,,1169572000.0,,,,1169572000.0,,1169572000.0,1169572000.0,1169572000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,27032000.0,101175000.0,111831000.0,,,,,,,,,27032000.0,111831000.0,,,,,,111831000.0,,,,,111831000.0,,,,111831000.0,,111831000.0,111831000.0,111831000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,0.0,87343000.0,85402000.0,,,,,,,,,0.0,85402000.0,,,,,,85402000.0,,,,,85402000.0,,,,85402000.0,,85402000.0,85402000.0,85402000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,0.0,0.0,0.0,41360000.0,19160000.0,,,,,,,,0.0,0.0,19160000.0,,,,,0.0,19160000.0,,,,0.0,19160000.0,,,,19160000.0,,19160000.0,19160000.0,19160000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,,,149086000.0,139341000.0,,,,,,,,,,139341000.0,,,,,,139341000.0,,,,,139341000.0,,,,139341000.0,,139341000.0,139341000.0,139341000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,,261868000.0,,409657000.0,1030231000.0,,,,,,,,,,1030231000.0,,,,,261868000.0,1030231000.0,,,,,1030231000.0,,,,1030231000.0,,1030231000.0,1030231000.0,1030231000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,3358000.0,58005000.0,84602000.0,74321000.0,,,,,,,,,3358000.0,84602000.0,,,,,,58005000.0,,,,,3358000.0,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,5025000.0,7758000.0,5624000.0,5259000.0,,,,,,,,,5025000.0,5624000.0,,,,,,7758000.0,,,,,5025000.0,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,-5025000.0,-76551000.0,-95055000.0,-55648000.0,,,,,,,,,-5025000.0,-95055000.0,,,,,,-76551000.0,,,,,-5025000.0,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,195288000.0,16229000.0,-19291000.0,-61668000.0,,,,,,,,,195288000.0,-19291000.0,,,,,,16229000.0,,,,,195288000.0,,,,,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,0.269278078897874,0.28930941975967783,0.2909731426957259,0.2722137745875968,,,,,,,,,0.269278078897874,0.2909731426957259,,,,,,0.28930941975967783,,,,,0.269278078897874,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,184158000.0,215642000.0,261041000.0,328816000.0,,,,,,,,,184158000.0,261041000.0,,,,,,215642000.0,,,,,184158000.0,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,0.730721921102126,0.7106905802403222,0.7090268573042742,0.7277862254124032,,,,,,,,,0.730721921102126,0.7090268573042742,,,,,,0.7106905802403222,,,,,0.730721921102126,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,0.15500630897302617,0.1734788712898697,0.16396047456595902,0.1488569133007085,,,,,,,,,0.15500630897302617,0.16396047456595902,,,,,,0.1734788712898697,,,,,0.15500630897302617,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,0.2884272007999302,0.31019095265402435,0.3365990526064188,0.33323815910916926,,,,,,,,,0.2884272007999302,0.3365990526064188,,,,,,0.31019095265402435,,,,,0.2884272007999302,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,,,0.11293061716834245,0.016864078885790935,-0.04548195389061516,0.02707817345170351,,,,,,,,,0.11293061716834245,-0.04548195389061516,,,,,,0.016864078885790935,,,,,0.11293061716834245,,,,,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,2.2745749462575726,-0.8597193191997611,4.34698381559588,,,,,,,,,,-0.8597193191997611,,,,,,2.2745749462575726,,,,,,,,,,,,,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,,,,,-0.03211624381998397,-0.022064687930500353,-0.06269692097086113,0.9463969916091748,,,,,,,,,-0.03211624381998397,-0.06269692097086113,,,,,,-0.022064687930500353,,,,,-0.03211624381998397,,,,,,,,,CommonMetricCalculated
