,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,95226000.0,96092000.0,74139000.0,63155000.0,49667000.0,,,,,,,,,96092000.0,63155000.0,,,,,,74139000.0,,,,,96092000.0,,,,95226000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,42937000.0,47507000.0,54728000.0,27589000.0,28407000.0,,,,,,,,,47507000.0,27589000.0,,,,,,54728000.0,,,,,47507000.0,,,,42937000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,103631000.0,97641000.0,70060000.0,75630000.0,53247000.0,,,,,,,,,97641000.0,75630000.0,,,,,,70060000.0,,,,,97641000.0,,,,103631000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,1330000.0,51000.0,744000.0,-2694000.0,1565000.0,,,,,,,,,51000.0,-2694000.0,,,,,,744000.0,,,,,51000.0,,,,1330000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,-8014000.0,143000.0,91000.0,529000.0,39000.0,,,,,,,,,143000.0,529000.0,,,,,,91000.0,,,,,143000.0,,,,-8014000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,-30681000.0,-137722000.0,-59313000.0,-23796000.0,-29846000.0,,,,,,,,,-137722000.0,-23796000.0,,,,,,-59313000.0,,,,,-137722000.0,,,,-30681000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,52803000.0,19494000.0,66963000.0,47820000.0,22618000.0,,,,,,,,52803000.0,66963000.0,22618000.0,,,,,19494000.0,22618000.0,,,,52803000.0,22618000.0,,,,22618000.0,,22618000.0,22618000.0,22618000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,4793000.0,4882000.0,1847000.0,1950000.0,1263000.0,,,,,,,,4793000.0,1847000.0,1263000.0,,,,,4882000.0,1263000.0,,,,4793000.0,1263000.0,,,,1263000.0,,1263000.0,1263000.0,1263000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,8845000.0,8590000.0,7998000.0,6864000.0,4194000.0,,,,,,,,8845000.0,7998000.0,4194000.0,,,,,8590000.0,4194000.0,,,,8845000.0,4194000.0,,,,4194000.0,,4194000.0,4194000.0,4194000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,63157000.0,52077000.0,26953000.0,21538000.0,18907000.0,,,,,,,,63157000.0,26953000.0,18907000.0,,,,,52077000.0,18907000.0,,,,63157000.0,18907000.0,,,,18907000.0,,18907000.0,18907000.0,18907000.0,CommonMetricExtracted
