,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,449372000.0,460399000.0,501814000.0,559966000.0,584103000.0,597499000.0,588368000.0,609370000.0,676113000.0,698196000.0,714557000.0,794307000.0,790909000.0,846431000.0,794632000.0,1036806000.0,,,449372000.0,501814000.0,584103000.0,588368000.0,676113000.0,714557000.0,790909000.0,794632000.0,,460399000.0,584103000.0,609370000.0,714557000.0,846431000.0,,449372000.0,584103000.0,676113000.0,790909000.0,,460399000.0,588368000.0,794307000.0,,588368000.0,460399000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,121695000.0,125930000.0,142570000.0,161336000.0,183046000.0,177884000.0,168557000.0,181515000.0,199081000.0,207103000.0,212461000.0,230076000.0,225020000.0,224529000.0,223833000.0,241201000.0,,,121695000.0,142570000.0,183046000.0,168557000.0,199081000.0,212461000.0,225020000.0,223833000.0,,125930000.0,183046000.0,181515000.0,212461000.0,224529000.0,,121695000.0,183046000.0,199081000.0,225020000.0,,125930000.0,168557000.0,230076000.0,,168557000.0,125930000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,58119000.0,61813000.0,67167000.0,73843000.0,74005000.0,81847000.0,71153000.0,82636000.0,107083000.0,110540000.0,99412000.0,136666000.0,126770000.0,127660000.0,77135000.0,225054000.0,,,58119000.0,67167000.0,74005000.0,71153000.0,107083000.0,99412000.0,126770000.0,77135000.0,,61813000.0,74005000.0,82636000.0,99412000.0,127660000.0,,58119000.0,74005000.0,107083000.0,126770000.0,,61813000.0,71153000.0,136666000.0,,71153000.0,61813000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,46686000.0,52809000.0,60698000.0,,,,,,,,,,52809000.0,,,,,,46686000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,16822000.0,17103000.0,18332000.0,19227000.0,21509000.0,20733000.0,21559000.0,23231000.0,24797000.0,27296000.0,28792000.0,30029000.0,32475000.0,35065000.0,36271000.0,40540000.0,,,16822000.0,18332000.0,21509000.0,21559000.0,24797000.0,28792000.0,32475000.0,36271000.0,,17103000.0,21509000.0,23231000.0,28792000.0,35065000.0,,16822000.0,21509000.0,24797000.0,32475000.0,,17103000.0,21559000.0,30029000.0,,21559000.0,17103000.0,,CommonMetricExtracted
NetIncome,,,,,40554000.0,37656000.0,37712000.0,,,,,,72940000.0,65584000.0,63116000.0,96831000.0,101125000.0,96011000.0,51911000.0,190807000.0,,,40554000.0,37712000.0,,,72940000.0,63116000.0,101125000.0,51911000.0,,37656000.0,,,63116000.0,96011000.0,,40554000.0,,72940000.0,101125000.0,,37656000.0,,96831000.0,,,37656000.0,,CommonMetricExtracted
Cash,,,,,9866000.0,42277000.0,27203000.0,38790000.0,27506000.0,19587000.0,8837000.0,25492000.0,94776000.0,47176000.0,42653000.0,44555000.0,78380000.0,62100000.0,39591000.0,50121000.0,,,42277000.0,38790000.0,19587000.0,25492000.0,47176000.0,44555000.0,62100000.0,50121000.0,9866000.0,38790000.0,8837000.0,47176000.0,78380000.0,50121000.0,,38790000.0,25492000.0,44555000.0,50121000.0,9866000.0,19587000.0,42653000.0,50121000.0,19587000.0,50121000.0,50121000.0,50121000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,28418000.0,29958000.0,31468000.0,25803000.0,31512000.0,30305000.0,32451000.0,30037000.0,32058000.0,44025000.0,60785000.0,55079000.0,59349000.0,58585000.0,,,,29958000.0,25803000.0,30305000.0,30037000.0,44025000.0,55079000.0,58585000.0,,29958000.0,31512000.0,30037000.0,60785000.0,58585000.0,,29958000.0,30305000.0,44025000.0,58585000.0,,25803000.0,32058000.0,58585000.0,25803000.0,58585000.0,58585000.0,58585000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,9184000.0,10585000.0,8324000.0,11618000.0,7897000.0,7262000.0,11180000.0,11981000.0,14965000.0,17964000.0,21973000.0,21969000.0,18130000.0,19742000.0,,,,10585000.0,11618000.0,7262000.0,11981000.0,17964000.0,21969000.0,19742000.0,,10585000.0,7897000.0,11981000.0,21973000.0,19742000.0,,10585000.0,7262000.0,17964000.0,19742000.0,,11618000.0,14965000.0,19742000.0,11618000.0,19742000.0,19742000.0,19742000.0,CommonMetricExtracted
