,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,9678000.0,2819000.0,,,,,,,,,,9678000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,480765.0,2759495.0,,,,,20205743.0,38222580.0,42490144.0,52640000.0,58430000.0,27043000.0,2632000.0,7240000.0,,,,480765.0,,,20205743.0,42490144.0,58430000.0,2632000.0,,,,,42490144.0,27043000.0,,,,20205743.0,58430000.0,,,,52640000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,-3698239.0,-22294880.0,,,,,-27330734.0,-45919313.0,-55852000.0,-74647000.0,-104596000.0,-145404000.0,-40576000.0,-18058000.0,,,,-3698239.0,,,-27330734.0,-55852000.0,-104596000.0,-40576000.0,,,,,-55852000.0,-145404000.0,,,,-27330734.0,-104596000.0,,,,-74647000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,65289000.0,71869000.0,65416000.0,39248000.0,31783000.0,,,,,,,,,71869000.0,39248000.0,,,,,,65416000.0,,,,,71869000.0,,,,65289000.0,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,0.0,0.0,-2826919.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,-2826919.0,0.0,0.0,,,,,-2826919.0,0.0,,,,0.0,0.0,,,,0.0,,,,,CommonMetricExtracted
NetIncome,-777083.0,-2053944.0,-2610070.0,-1193684.0,-1306004.0,-3359865.0,-3719688.0,-22832606.0,-32400907.0,-12431413.0,-25088070.0,-25703612.0,-25763801.0,-50149681.0,-56186660.0,-124403000.0,-154674000.0,-210820000.0,-79824000.0,-49841000.0,-777083.0,-2610070.0,-1306004.0,-3719688.0,-32400907.0,-25088070.0,-25763801.0,-56186660.0,-154674000.0,-79824000.0,-2610070.0,-3359865.0,-32400907.0,-25703612.0,-56186660.0,-210820000.0,-777083.0,-1306004.0,-32400907.0,-25763801.0,-154674000.0,-777083.0,-3359865.0,-25088070.0,-124403000.0,-777083.0,-25088070.0,-3359865.0,-777083.0,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,10000.0,,,6507000.0,6704000.0,,,,,,,,10000.0,,6704000.0,,,,,,6704000.0,,,,10000.0,6704000.0,,,,6704000.0,,6704000.0,6704000.0,6704000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,733916.0,1710852.0,4138041.0,,,2890519.0,1543000.0,,590000.0,538000.0,,,,,,1710852.0,,2890519.0,,538000.0,,,733916.0,,1543000.0,538000.0,,,1710852.0,2890519.0,538000.0,,,,538000.0,,538000.0,538000.0,538000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,1973516.0,1028300.0,840460.0,5443235.0,2037809.0,11494342.0,6120938.0,,,36827032.0,129581000.0,,10805000.0,10815000.0,,,,1028300.0,5443235.0,11494342.0,,36827032.0,,10815000.0,,1028300.0,2037809.0,,129581000.0,10815000.0,,1028300.0,11494342.0,36827032.0,10815000.0,,5443235.0,,10815000.0,5443235.0,10815000.0,10815000.0,10815000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
