,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,11954267.0,19626453.0,33942000.0,78696000.0,222608000.0,237277000.0,233255000.0,228385000.0,,,,,,,11954267.0,33942000.0,222608000.0,233255000.0,,,,,33942000.0,237277000.0,,,,11954267.0,222608000.0,,,,78696000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,1302988.0,1392460.0,1587823.0,2222988.0,2766391.0,3991885.0,5987834.0,9386188.0,16590244.0,42362000.0,126031000.0,133404000.0,133923000.0,128754000.0,,,,1302988.0,1587823.0,2766391.0,5987834.0,16590244.0,126031000.0,133923000.0,,,1587823.0,3991885.0,16590244.0,133404000.0,,,1587823.0,5987834.0,126031000.0,,,2766391.0,42362000.0,,2766391.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,4320461.0,6106006.0,5411728.0,5106219.0,6409381.0,,,,31286000.0,56860000.0,97563000.0,120055000.0,146880000.0,148978000.0,,,,4320461.0,5411728.0,6409381.0,,31286000.0,97563000.0,146880000.0,,,5411728.0,,31286000.0,120055000.0,,,5411728.0,,97563000.0,,,6409381.0,56860000.0,,6409381.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,449129.0,491849.0,425446.0,409111.0,352580.0,550263.0,1205692.0,1840443.0,3741000.0,9484000.0,16843000.0,15722000.0,18040000.0,17710000.0,,,,449129.0,425446.0,352580.0,1205692.0,3741000.0,16843000.0,18040000.0,,,425446.0,550263.0,3741000.0,15722000.0,,,425446.0,1205692.0,16843000.0,,,352580.0,9484000.0,,352580.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,-1356.0,-891032.0,-594859.0,-2728000.0,-256013000.0,-3190000.0,15809000.0,17386000.0,,,,,,,-1356.0,-594859.0,-256013000.0,15809000.0,,,,,-594859.0,-3190000.0,,,,-1356.0,-256013000.0,,,,-2728000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,6142000.0,5503000.0,4108000.0,,,,,,,,,,5503000.0,,,,,,6142000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,1600.0,1600.0,1600.0,1600.0,1600.0,3625.0,5143.0,19954.0,62000.0,-45000.0,1686000.0,2239000.0,239000.0,1276000.0,,,,1600.0,1600.0,1600.0,5143.0,62000.0,1686000.0,239000.0,,,1600.0,3625.0,62000.0,2239000.0,,,1600.0,5143.0,1686000.0,,,1600.0,-45000.0,,1600.0,,,CommonMetricExtracted
NetIncome,,,,,,,-6152278.0,-7832928.0,-6382433.0,-19565426.0,-7026913.0,-9820364.0,-7899001.0,-9555601.0,-18331479.0,-32693000.0,-275528000.0,-37333000.0,-99587000.0,-114756000.0,,,,-6152278.0,-6382433.0,-7026913.0,-7899001.0,-18331479.0,-275528000.0,-99587000.0,,,-6382433.0,-9820364.0,-18331479.0,-37333000.0,,,-6382433.0,-7899001.0,-275528000.0,,,-7026913.0,-32693000.0,,-7026913.0,,,CommonMetricExtracted
Cash,,,,,,3629886.0,9278443.0,4617535.0,563104.0,369581.0,1405186.0,2792526.0,15042189.0,37327125.0,,36873000.0,139101000.0,36595000.0,46346000.0,45289000.0,,,3629886.0,4617535.0,369581.0,2792526.0,37327125.0,36873000.0,36595000.0,45289000.0,,4617535.0,1405186.0,37327125.0,139101000.0,45289000.0,,4617535.0,2792526.0,36873000.0,45289000.0,,369581.0,,45289000.0,369581.0,45289000.0,45289000.0,45289000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,55794.0,146124.0,217097.0,515825.0,589699.0,1020999.0,1625476.0,3543666.0,,31377000.0,39412000.0,43858000.0,42074000.0,45778000.0,,,,146124.0,515825.0,1020999.0,3543666.0,31377000.0,43858000.0,45778000.0,,146124.0,589699.0,3543666.0,39412000.0,45778000.0,,146124.0,1020999.0,31377000.0,45778000.0,,515825.0,,45778000.0,515825.0,45778000.0,45778000.0,45778000.0,CommonMetricExtracted
