,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,38206000000.0,29253000000.0,25472000000.0,27972000000.0,28701000000.0,36453000000.0,29885000000.0,32108000000.0,20900000000.0,23043000000.0,23775000000.0,23645000000.0,23967000000.0,26349000000.0,27515000000.0,30577000000.0,27342000000.0,22782000000.0,,29253000000.0,27972000000.0,36453000000.0,32108000000.0,23043000000.0,23645000000.0,26349000000.0,30577000000.0,22782000000.0,25472000000.0,36453000000.0,20900000000.0,23645000000.0,27515000000.0,22782000000.0,29253000000.0,36453000000.0,23043000000.0,26349000000.0,22782000000.0,25472000000.0,32108000000.0,23967000000.0,22782000000.0,32108000000.0,22782000000.0,22782000000.0,22782000000.0,CommonMetricExtracted
CurrentReceivables,,,,,33634000000.0,31213000000.0,27777000000.0,22490000000.0,25674000000.0,28419000000.0,27683000000.0,28887000000.0,38384000000.0,35450000000.0,39857000000.0,69762000000.0,70795000000.0,1368634000000.0,1432639000000.0,1439817000000.0,,,31213000000.0,22490000000.0,28419000000.0,28887000000.0,35450000000.0,69762000000.0,1368634000000.0,1439817000000.0,33634000000.0,22490000000.0,27683000000.0,35450000000.0,70795000000.0,1439817000000.0,,22490000000.0,28887000000.0,69762000000.0,1439817000000.0,33634000000.0,28419000000.0,39857000000.0,1439817000000.0,28419000000.0,1439817000000.0,1439817000000.0,1439817000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
