,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,2718299000.0,2810720000.0,3183738000.0,3492687000.0,2234719000.0,3196583000.0,3315428000.0,3074976000.0,,,,,,,2718299000.0,3183738000.0,2234719000.0,3315428000.0,,,,,3183738000.0,3196583000.0,,,,2718299000.0,2234719000.0,,,,3492687000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,440837000.0,396107000.0,448583000.0,481797000.0,497899000.0,512889000.0,554818000.0,605016000.0,622546000.0,826042000.0,874749000.0,753278000.0,870682000.0,1271854000.0,1256150000.0,,,,396107000.0,481797000.0,512889000.0,605016000.0,826042000.0,753278000.0,1271854000.0,,440837000.0,481797000.0,554818000.0,826042000.0,870682000.0,,,481797000.0,605016000.0,753278000.0,,440837000.0,512889000.0,874749000.0,,512889000.0,440837000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,-39844000.0,120560000.0,151450000.0,236802000.0,241424000.0,242485000.0,213551000.0,200168000.0,125058000.0,59005000.0,127299000.0,-586314000.0,205221000.0,187390000.0,72401000.0,,,,120560000.0,236802000.0,242485000.0,200168000.0,59005000.0,-586314000.0,187390000.0,,-39844000.0,236802000.0,213551000.0,59005000.0,205221000.0,,,236802000.0,200168000.0,-586314000.0,,-39844000.0,242485000.0,127299000.0,,242485000.0,-39844000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,12055000.0,59973000.0,-58069000.0,95427000.0,92705000.0,96392000.0,83806000.0,78853000.0,59617000.0,29833000.0,25277000.0,-119928000.0,18544000.0,-3142000.0,10981000.0,,,,59973000.0,95427000.0,96392000.0,78853000.0,29833000.0,-119928000.0,-3142000.0,,12055000.0,95427000.0,83806000.0,29833000.0,18544000.0,,,95427000.0,78853000.0,-119928000.0,,12055000.0,96392000.0,25277000.0,,96392000.0,12055000.0,,CommonMetricExtracted
NetIncome,,,,,,-5730000.0,58448000.0,195483000.0,146439000.0,151302000.0,153299000.0,136034000.0,124535000.0,67452000.0,-20466000.0,94497000.0,-488719000.0,154481000.0,162666000.0,29216000.0,,,,58448000.0,146439000.0,153299000.0,124535000.0,-20466000.0,-488719000.0,162666000.0,,-5730000.0,146439000.0,136034000.0,-20466000.0,154481000.0,,,146439000.0,124535000.0,-488719000.0,,-5730000.0,153299000.0,94497000.0,,153299000.0,-5730000.0,,CommonMetricExtracted
Cash,,,,,99084000.0,141773000.0,99126000.0,79003000.0,81097000.0,112021000.0,59171000.0,32495000.0,110657000.0,175932000.0,99369000.0,86564000.0,59581000.0,72691000.0,58766000.0,49173000.0,,,141773000.0,79003000.0,112021000.0,32495000.0,175932000.0,86564000.0,72691000.0,49173000.0,99084000.0,79003000.0,59171000.0,175932000.0,59581000.0,49173000.0,,79003000.0,32495000.0,86564000.0,49173000.0,99084000.0,112021000.0,99369000.0,49173000.0,112021000.0,49173000.0,49173000.0,49173000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,13105000.0,16900000.0,26756000.0,26593000.0,24400000.0,15437000.0,18456000.0,19236000.0,68870000.0,89151000.0,196049000.0,199826000.0,77763000.0,83590000.0,,,,16900000.0,26593000.0,15437000.0,19236000.0,89151000.0,199826000.0,83590000.0,,16900000.0,24400000.0,19236000.0,196049000.0,83590000.0,,16900000.0,15437000.0,89151000.0,83590000.0,,26593000.0,68870000.0,83590000.0,26593000.0,83590000.0,83590000.0,83590000.0,CommonMetricExtracted
