,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,2734200000.0,2844900000.0,2581800000.0,2853900000.0,3306600000.0,3430800000.0,3586300000.0,,,,,,,,2844900000.0,2853900000.0,3430800000.0,,,,,2844900000.0,3306600000.0,,,,,2853900000.0,,,,2581800000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,1465500000.0,1551000000.0,1798700000.0,1896600000.0,1710200000.0,1882200000.0,2239200000.0,2270200000.0,2311900000.0,,,,,,,1551000000.0,1896600000.0,1882200000.0,2270200000.0,,,,1465500000.0,1896600000.0,2239200000.0,,,,1551000000.0,1882200000.0,,,,1710200000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,379108000.0,376018000.0,443227000.0,,,,,,,,497800000.0,470300000.0,519200000.0,554800000.0,602300000.0,636700000.0,,,379108000.0,443227000.0,,,,497800000.0,519200000.0,602300000.0,,376018000.0,,,497800000.0,554800000.0,,379108000.0,,,519200000.0,,376018000.0,,470300000.0,,,376018000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,40643000.0,44486000.0,55286000.0,59589000.0,62630000.0,61837000.0,60229000.0,55500000.0,54700000.0,59900000.0,62300000.0,61200000.0,67800000.0,69100000.0,78100000.0,93600000.0,,,40643000.0,55286000.0,62630000.0,60229000.0,54700000.0,62300000.0,67800000.0,78100000.0,,44486000.0,62630000.0,55500000.0,62300000.0,69100000.0,,40643000.0,62630000.0,54700000.0,67800000.0,,44486000.0,60229000.0,61200000.0,,60229000.0,44486000.0,,CommonMetricExtracted
OperatingMargin,,,,,169955000.0,238244000.0,315283000.0,363016000.0,343329000.0,355739000.0,288310000.0,274200000.0,328600000.0,380000000.0,388200000.0,340100000.0,384700000.0,443500000.0,480200000.0,544100000.0,,,169955000.0,315283000.0,343329000.0,288310000.0,328600000.0,388200000.0,384700000.0,480200000.0,,238244000.0,343329000.0,274200000.0,388200000.0,443500000.0,,169955000.0,343329000.0,328600000.0,384700000.0,,238244000.0,288310000.0,340100000.0,,288310000.0,238244000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,14900000.0,19200000.0,21400000.0,,,,,,,,,,19200000.0,,,,,,14900000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,29518000.0,64013000.0,86972000.0,106479000.0,100804000.0,100500000.0,80500000.0,66600000.0,89200000.0,183300000.0,108000000.0,78200000.0,94100000.0,105600000.0,109900000.0,121300000.0,,,29518000.0,86972000.0,100804000.0,80500000.0,89200000.0,108000000.0,94100000.0,109900000.0,,64013000.0,100804000.0,66600000.0,108000000.0,105600000.0,,29518000.0,100804000.0,89200000.0,94100000.0,,64013000.0,80500000.0,78200000.0,,80500000.0,64013000.0,,CommonMetricExtracted
NetIncome,,,,,131907000.0,166163000.0,225291000.0,264301000.0,247377000.0,260224000.0,208111000.0,190800000.0,232800000.0,180300000.0,267200000.0,257000000.0,286900000.0,332800000.0,358800000.0,414000000.0,,,131907000.0,225291000.0,247377000.0,208111000.0,232800000.0,267200000.0,286900000.0,358800000.0,,166163000.0,247377000.0,190800000.0,267200000.0,332800000.0,,131907000.0,247377000.0,232800000.0,286900000.0,,166163000.0,208111000.0,257000000.0,,208111000.0,166163000.0,,CommonMetricExtracted
Cash,,,,83357000.0,143687000.0,232000000.0,273494000.0,225789000.0,224138000.0,296418000.0,189900000.0,243200000.0,308400000.0,204700000.0,177800000.0,236600000.0,222800000.0,193300000.0,187100000.0,232700000.0,,83357000.0,232000000.0,225789000.0,296418000.0,243200000.0,204700000.0,236600000.0,193300000.0,232700000.0,143687000.0,225789000.0,189900000.0,204700000.0,222800000.0,232700000.0,83357000.0,225789000.0,243200000.0,236600000.0,232700000.0,143687000.0,296418000.0,177800000.0,232700000.0,296418000.0,232700000.0,232700000.0,232700000.0,CommonMetricExtracted
CurrentReceivables,,,,,,358917000.0,445700000.0,438796000.0,430766000.0,474157000.0,460000000.0,452400000.0,497700000.0,534600000.0,529500000.0,455300000.0,552700000.0,616600000.0,599700000.0,629700000.0,,,358917000.0,438796000.0,474157000.0,452400000.0,534600000.0,455300000.0,616600000.0,629700000.0,,438796000.0,460000000.0,534600000.0,552700000.0,629700000.0,,438796000.0,452400000.0,455300000.0,629700000.0,,474157000.0,529500000.0,629700000.0,474157000.0,629700000.0,629700000.0,629700000.0,CommonMetricExtracted
