,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,1067928000.0,1166600000.0,1251950000.0,,1590446000.0,1713528000.0,2656022000.0,2400203000.0,2417224000.0,1661724000.0,,,,,,1067928000.0,1251950000.0,1590446000.0,2656022000.0,2417224000.0,,,,1166600000.0,1590446000.0,2400203000.0,,,,1251950000.0,2656022000.0,,,1067928000.0,1713528000.0,,1067928000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,1165080000.0,1251133000.0,1538960000.0,1589472000.0,1712555000.0,2655050000.0,2399232000.0,2415989000.0,1661274000.0,,,,,,,1251133000.0,1589472000.0,2655050000.0,2415989000.0,,,,1165080000.0,1589472000.0,2399232000.0,,,,1251133000.0,2655050000.0,,,,1712555000.0,,,,,CommonMetricExtracted
Cash,,,,,377995000.0,222076000.0,497446000.0,126126000.0,140809000.0,505566000.0,579823000.0,157947000.0,187915000.0,267441000.0,235487000.0,240320000.0,1376577000.0,344829000.0,381576000.0,537283000.0,,,222076000.0,126126000.0,505566000.0,157947000.0,267441000.0,240320000.0,344829000.0,537283000.0,377995000.0,126126000.0,579823000.0,267441000.0,1376577000.0,537283000.0,,126126000.0,157947000.0,240320000.0,537283000.0,377995000.0,505566000.0,235487000.0,537283000.0,505566000.0,537283000.0,537283000.0,537283000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,6843000.0,11050000.0,108265000.0,57804000.0,76537000.0,90760000.0,97394000.0,135775000.0,112262000.0,,,,,,6843000.0,108265000.0,76537000.0,97394000.0,112262000.0,,,,108265000.0,90760000.0,112262000.0,,,6843000.0,76537000.0,112262000.0,,,57804000.0,112262000.0,,112262000.0,112262000.0,112262000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,104946000.0,139742000.0,139129000.0,147048000.0,170265000.0,193467000.0,220021000.0,263121000.0,272725000.0,184163000.0,199405000.0,247295000.0,302925000.0,366913000.0,,,,139742000.0,147048000.0,193467000.0,263121000.0,184163000.0,247295000.0,366913000.0,,139742000.0,170265000.0,263121000.0,199405000.0,366913000.0,,139742000.0,193467000.0,184163000.0,366913000.0,,147048000.0,272725000.0,366913000.0,147048000.0,366913000.0,366913000.0,366913000.0,CommonMetricExtracted
