,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,657609000.0,583992000.0,563418000.0,700902000.0,1036407000.0,1020409000.0,940636000.0,,,,,,,,583992000.0,700902000.0,1020409000.0,,,,,583992000.0,1036407000.0,,,,,700902000.0,,,,563418000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,432070000.0,509093000.0,432707000.0,356677000.0,484837000.0,787011000.0,735445000.0,696890000.0,,,,,,,432070000.0,432707000.0,484837000.0,735445000.0,,,,,432707000.0,787011000.0,,,,432070000.0,484837000.0,,,,356677000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,9856000.0,7526000.0,10616000.0,11384000.0,10256000.0,11840000.0,17166000.0,20815000.0,22587000.0,22545000.0,34181000.0,24766000.0,35944000.0,,,,,7526000.0,11384000.0,11840000.0,20815000.0,22545000.0,24766000.0,,,7526000.0,10256000.0,20815000.0,34181000.0,,,7526000.0,11840000.0,22545000.0,,,11384000.0,22587000.0,,11384000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,17753000.0,20021000.0,22717000.0,46304000.0,79842000.0,77262000.0,77650000.0,88177000.0,125757000.0,125812000.0,179793000.0,190502000.0,209682000.0,238949000.0,202826000.0,,,,20021000.0,46304000.0,77262000.0,88177000.0,125812000.0,190502000.0,238949000.0,,17753000.0,46304000.0,77650000.0,125812000.0,209682000.0,,,46304000.0,88177000.0,190502000.0,,17753000.0,77262000.0,179793000.0,,77262000.0,17753000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,82304000.0,143244000.0,150960000.0,,,,,,,,,,143244000.0,,,,,,82304000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,5102000.0,5363000.0,-14024000.0,757000.0,132000.0,-195000.0,81000.0,-222000.0,534000.0,967000.0,223000.0,153000.0,382000.0,1205000.0,479000.0,,,,5363000.0,757000.0,-195000.0,-222000.0,967000.0,153000.0,1205000.0,,5102000.0,757000.0,81000.0,967000.0,382000.0,,,757000.0,-222000.0,153000.0,,5102000.0,-195000.0,223000.0,,-195000.0,5102000.0,,CommonMetricExtracted
NetIncome,,,,,,,0.0,8410000.0,47830000.0,71997000.0,66848000.0,62804000.0,69409000.0,90182000.0,96749000.0,159256000.0,164822000.0,159052000.0,126236000.0,142685000.0,,,,0.0,47830000.0,66848000.0,69409000.0,96749000.0,164822000.0,126236000.0,,,47830000.0,62804000.0,96749000.0,159052000.0,,,47830000.0,69409000.0,164822000.0,,,66848000.0,159256000.0,,66848000.0,,,CommonMetricExtracted
Cash,,,,,79000.0,0.0,35000.0,,924000.0,1861000.0,0.0,59000.0,4675000.0,4522000.0,,4243000.0,4292000.0,7970000.0,3755000.0,5384000.0,,,0.0,,1861000.0,59000.0,4522000.0,4243000.0,7970000.0,5384000.0,79000.0,,0.0,4522000.0,4292000.0,5384000.0,,,59000.0,4243000.0,5384000.0,79000.0,1861000.0,,5384000.0,1861000.0,5384000.0,5384000.0,5384000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,22577000.0,,28976000.0,27986000.0,35049000.0,19202000.0,23013000.0,21586000.0,,15676000.0,15384000.0,53314000.0,,22783000.0,,,,,27986000.0,19202000.0,21586000.0,15676000.0,53314000.0,22783000.0,,,35049000.0,21586000.0,15384000.0,22783000.0,,,19202000.0,15676000.0,22783000.0,,27986000.0,,22783000.0,27986000.0,22783000.0,22783000.0,22783000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,18859000.0,,17512000.0,10316000.0,10451000.0,8875000.0,20855000.0,5491000.0,,3127000.0,2406000.0,1483000.0,2264000.0,5427000.0,,,,,10316000.0,8875000.0,5491000.0,3127000.0,1483000.0,5427000.0,,,10451000.0,5491000.0,2406000.0,5427000.0,,,8875000.0,3127000.0,5427000.0,,10316000.0,,5427000.0,10316000.0,5427000.0,5427000.0,5427000.0,CommonMetricExtracted
CurrentAssets,,,,,,,48451000.0,,47765000.0,40959000.0,47040000.0,32041000.0,50450000.0,32568000.0,,29309000.0,23033000.0,65230000.0,76269000.0,145892000.0,,,,,40959000.0,32041000.0,32568000.0,29309000.0,65230000.0,145892000.0,,,47040000.0,32568000.0,23033000.0,145892000.0,,,32041000.0,29309000.0,145892000.0,,40959000.0,,145892000.0,40959000.0,145892000.0,145892000.0,145892000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,133680000.0,,224506000.0,254779000.0,253848000.0,251029000.0,255068000.0,312562000.0,,464812000.0,449388000.0,924004000.0,936151000.0,1064321000.0,,,,,254779000.0,251029000.0,312562000.0,464812000.0,924004000.0,1064321000.0,,,253848000.0,312562000.0,449388000.0,1064321000.0,,,251029000.0,464812000.0,1064321000.0,,254779000.0,,1064321000.0,254779000.0,1064321000.0,1064321000.0,1064321000.0,CommonMetricExtracted
Goodwill,,,,,7499000.0,7499000.0,7499000.0,,11654000.0,11654000.0,12203000.0,12203000.0,12203000.0,12203000.0,,12203000.0,12203000.0,27051000.0,12203000.0,12203000.0,,,7499000.0,,11654000.0,12203000.0,12203000.0,12203000.0,27051000.0,12203000.0,7499000.0,,12203000.0,12203000.0,12203000.0,12203000.0,,,12203000.0,12203000.0,12203000.0,7499000.0,11654000.0,,12203000.0,11654000.0,12203000.0,12203000.0,12203000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,59536000.0,94547000.0,,,,,,,,,,94547000.0,,,,,,94547000.0,,,,,94547000.0,,,,94547000.0,,94547000.0,94547000.0,94547000.0,CommonMetricExtracted
TotalAssets,,,,,,71831000.0,223159000.0,245769000.0,301344000.0,331286000.0,375288000.0,415547000.0,443530000.0,624593000.0,,956417000.0,935071000.0,1679299000.0,1642246000.0,2041559000.0,,,71831000.0,245769000.0,331286000.0,415547000.0,624593000.0,956417000.0,1679299000.0,2041559000.0,,245769000.0,375288000.0,624593000.0,935071000.0,2041559000.0,,245769000.0,415547000.0,956417000.0,2041559000.0,,331286000.0,,2041559000.0,331286000.0,2041559000.0,2041559000.0,2041559000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,0.0,15000000.0,30000000.0,0.0,,,,,,,,,15000000.0,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,30620000.0,,31745000.0,23651000.0,11721000.0,15694000.0,23847000.0,20959000.0,,14080000.0,18464000.0,70941000.0,42416000.0,78809000.0,,,,,23651000.0,15694000.0,20959000.0,14080000.0,70941000.0,78809000.0,,,11721000.0,20959000.0,18464000.0,78809000.0,,,15694000.0,14080000.0,78809000.0,,23651000.0,,78809000.0,23651000.0,78809000.0,78809000.0,78809000.0,CommonMetricExtracted
CurrentLiability,,,,,,,67088000.0,,45485000.0,32183000.0,22384000.0,23654000.0,37815000.0,41561000.0,,42520000.0,110743000.0,120440000.0,108764000.0,98747000.0,,,,,32183000.0,23654000.0,41561000.0,42520000.0,120440000.0,98747000.0,,,22384000.0,41561000.0,110743000.0,98747000.0,,,23654000.0,42520000.0,98747000.0,,32183000.0,,98747000.0,32183000.0,98747000.0,98747000.0,98747000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,35362000.0,,180655000.0,267078000.0,376126000.0,419832000.0,455233000.0,740201000.0,,1074530000.0,979050000.0,1711662000.0,1743223000.0,1943470000.0,,,,,267078000.0,419832000.0,740201000.0,1074530000.0,1711662000.0,1943470000.0,,,376126000.0,740201000.0,979050000.0,1943470000.0,,,419832000.0,1074530000.0,1943470000.0,,267078000.0,,1943470000.0,267078000.0,1943470000.0,1943470000.0,1943470000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,0.0,40678000.0,101080000.0,106465000.0,104770000.0,,253675000.0,250030000.0,257022000.0,241337000.0,317152000.0,,,,,0.0,101080000.0,104770000.0,253675000.0,257022000.0,317152000.0,,,40678000.0,104770000.0,250030000.0,317152000.0,,,101080000.0,253675000.0,317152000.0,,0.0,,317152000.0,0.0,317152000.0,317152000.0,317152000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,13421000.0,-2859000.0,34363000.0,44391000.0,85920000.0,68024000.0,100707000.0,91212000.0,152958000.0,130399000.0,193016000.0,275162000.0,192168000.0,225319000.0,206339000.0,,,,-2859000.0,44391000.0,68024000.0,91212000.0,130399000.0,275162000.0,225319000.0,,13421000.0,44391000.0,100707000.0,130399000.0,192168000.0,,,44391000.0,91212000.0,275162000.0,,13421000.0,68024000.0,193016000.0,,68024000.0,13421000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,,0.0,7130000.0,30816000.0,25597000.0,9012000.0,19956000.0,11287000.0,18184000.0,12931000.0,9070000.0,13271000.0,23052000.0,141098000.0,96101000.0,129040000.0,,,,7130000.0,25597000.0,19956000.0,18184000.0,9070000.0,23052000.0,96101000.0,,0.0,25597000.0,11287000.0,9070000.0,141098000.0,,,25597000.0,18184000.0,23052000.0,,0.0,19956000.0,13271000.0,,19956000.0,0.0,,CommonMetricExtracted
InvestingCashFlow,,,,,,0.0,-885000.0,-34350000.0,-20135000.0,-29782000.0,-56592000.0,-72692000.0,-29919000.0,-228039000.0,-147416000.0,-123138000.0,-16360000.0,-770437000.0,-89629000.0,-384579000.0,,,,-885000.0,-20135000.0,-56592000.0,-29919000.0,-147416000.0,-16360000.0,-89629000.0,,0.0,-20135000.0,-72692000.0,-147416000.0,-770437000.0,,,-20135000.0,-29919000.0,-16360000.0,,0.0,-56592000.0,-123138000.0,,-56592000.0,0.0,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,-13500000.0,17217000.0,60372000.0,-22762000.0,-52485000.0,-13293000.0,-27956000.0,-52415000.0,79933000.0,18040000.0,-71180000.0,-258753000.0,581947000.0,-139905000.0,179869000.0,,,,17217000.0,-22762000.0,-13293000.0,-52415000.0,18040000.0,-258753000.0,-139905000.0,,-13500000.0,-22762000.0,-27956000.0,18040000.0,581947000.0,,,-22762000.0,-52415000.0,-258753000.0,,-13500000.0,-13293000.0,-71180000.0,,-13293000.0,-13500000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,0.7741575921254119,0.7409467937916958,0.633059291680422,0.6917329384136441,0.7593648055252425,0.7207355089968827,0.7408710702120693,,,,,,,,0.7409467937916958,0.6917329384136441,0.7207355089968827,,,,,0.7409467937916958,0.7593648055252425,,,,,0.6917329384136441,,,,0.633059291680422,,,,,CommonMetricCalculated
