,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,7921981000.0,8590472000.0,8436570000.0,8750743000.0,9584019000.0,12293368000.0,12368198000.0,12984399000.0,,,,,,,7921981000.0,8436570000.0,9584019000.0,12368198000.0,,,,,8436570000.0,12293368000.0,,,,7921981000.0,9584019000.0,,,,8750743000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,2946079000.0,3195899000.0,3422462000.0,3616921000.0,3998956000.0,4269223000.0,4727813000.0,5088078000.0,5556198000.0,6101412000.0,5998788000.0,6196185000.0,6533312000.0,7581482000.0,8083640000.0,8450664000.0,,,2946079000.0,3422462000.0,3998956000.0,4727813000.0,5556198000.0,5998788000.0,6533312000.0,8083640000.0,,3195899000.0,3998956000.0,5088078000.0,5998788000.0,7581482000.0,,2946079000.0,3998956000.0,5556198000.0,6533312000.0,,3195899000.0,4727813000.0,6196185000.0,,4727813000.0,3195899000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,928170000.0,972025000.0,1129293000.0,1148268000.0,1297413000.0,1386315000.0,1502089000.0,1613075000.0,1875643000.0,1982363000.0,1986576000.0,2173677000.0,2298534000.0,2664083000.0,2805462000.0,3204108000.0,,,928170000.0,1129293000.0,1297413000.0,1502089000.0,1875643000.0,1986576000.0,2298534000.0,2805462000.0,,972025000.0,1297413000.0,1613075000.0,1986576000.0,2664083000.0,,928170000.0,1297413000.0,1875643000.0,2298534000.0,,972025000.0,1502089000.0,2173677000.0,,1502089000.0,972025000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,432026000.0,489825000.0,546107000.0,556014000.0,530875000.0,458422000.0,501337000.0,431920000.0,407704000.0,711735000.0,1994438000.0,1383748000.0,1318151000.0,,,,,489825000.0,556014000.0,458422000.0,431920000.0,711735000.0,1383748000.0,,,489825000.0,530875000.0,431920000.0,1994438000.0,,,489825000.0,458422000.0,711735000.0,,,556014000.0,407704000.0,,556014000.0,,,CommonMetricExtracted
Interest,,,,,17430000.0,4543000.0,14016000.0,13868000.0,6034000.0,2929000.0,3215000.0,4012000.0,5856000.0,8047000.0,10248000.0,17012000.0,48812000.0,57839000.0,95220000.0,58023000.0,,,17430000.0,14016000.0,6034000.0,3215000.0,5856000.0,10248000.0,48812000.0,95220000.0,,4543000.0,6034000.0,4012000.0,10248000.0,57839000.0,,17430000.0,6034000.0,5856000.0,48812000.0,,4543000.0,3215000.0,17012000.0,,3215000.0,4543000.0,,CommonMetricExtracted
Taxes,,,,,53686000.0,87817000.0,115434000.0,168120000.0,199116000.0,208509000.0,211816000.0,200484000.0,171026000.0,177892000.0,112056000.0,110242000.0,181484000.0,474567000.0,340610000.0,271632000.0,,,53686000.0,115434000.0,199116000.0,211816000.0,171026000.0,112056000.0,181484000.0,340610000.0,,87817000.0,199116000.0,200484000.0,112056000.0,474567000.0,,53686000.0,199116000.0,171026000.0,181484000.0,,87817000.0,211816000.0,110242000.0,,211816000.0,87817000.0,,CommonMetricExtracted
NetIncome,,,,,,135359000.0,182077000.0,263906000.0,290709000.0,337598000.0,344198000.0,330391000.0,287396000.0,323445000.0,319864000.0,297462000.0,530251000.0,1519871000.0,1043138000.0,1046519000.0,,,,182077000.0,290709000.0,344198000.0,287396000.0,319864000.0,530251000.0,1043138000.0,,135359000.0,290709000.0,330391000.0,319864000.0,1519871000.0,,,290709000.0,287396000.0,530251000.0,,135359000.0,344198000.0,297462000.0,,344198000.0,135359000.0,,CommonMetricExtracted
Cash,,,,50307000.0,74837000.0,225611000.0,546052000.0,734402000.0,345214000.0,181731000.0,221679000.0,118936000.0,164777000.0,101253000.0,113653000.0,69334000.0,1658067000.0,2643205000.0,1924386000.0,1801220000.0,,50307000.0,225611000.0,734402000.0,181731000.0,118936000.0,101253000.0,69334000.0,2643205000.0,1801220000.0,74837000.0,734402000.0,221679000.0,101253000.0,1658067000.0,1801220000.0,50307000.0,734402000.0,118936000.0,69334000.0,1801220000.0,74837000.0,181731000.0,113653000.0,1801220000.0,181731000.0,1801220000.0,1801220000.0,1801220000.0,CommonMetricExtracted
CurrentReceivables,,,,,,8420000.0,9050000.0,4113000.0,15737000.0,7275000.0,14293000.0,5432000.0,2307000.0,4433000.0,6135000.0,58935000.0,59545000.0,70241000.0,79473000.0,118985000.0,,,8420000.0,4113000.0,7275000.0,5432000.0,4433000.0,58935000.0,70241000.0,118985000.0,,4113000.0,14293000.0,4433000.0,59545000.0,118985000.0,,4113000.0,5432000.0,58935000.0,118985000.0,,7275000.0,6135000.0,118985000.0,7275000.0,118985000.0,118985000.0,118985000.0,CommonMetricExtracted
