,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,1054600000.0,1241620000.0,1161792000.0,1281256000.0,1253793000.0,1299744000.0,1273721000.0,,,,,,,,1241620000.0,1281256000.0,1299744000.0,,,,,1241620000.0,1253793000.0,,,,,1281256000.0,,,,1161792000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,131815000.0,111171000.0,92027000.0,96719000.0,70176000.0,94816000.0,108982000.0,118529000.0,128260000.0,160854000.0,146498000.0,130025000.0,141360000.0,152566000.0,140496000.0,,,,111171000.0,96719000.0,94816000.0,118529000.0,160854000.0,130025000.0,152566000.0,,131815000.0,96719000.0,108982000.0,160854000.0,141360000.0,,,96719000.0,118529000.0,130025000.0,,131815000.0,94816000.0,146498000.0,,94816000.0,131815000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,130160000.0,155202000.0,188486000.0,231103000.0,252647000.0,279174000.0,295267000.0,296661000.0,309802000.0,343835000.0,335933000.0,332671000.0,358716000.0,354364000.0,334460000.0,,,,155202000.0,231103000.0,279174000.0,296661000.0,343835000.0,332671000.0,354364000.0,,130160000.0,231103000.0,295267000.0,343835000.0,358716000.0,,,231103000.0,296661000.0,332671000.0,,130160000.0,279174000.0,335933000.0,,279174000.0,130160000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,104978000.0,123920000.0,140143000.0,168746000.0,183128000.0,201324000.0,219607000.0,233312000.0,236794000.0,237871000.0,239045000.0,253640000.0,261174000.0,271523000.0,263663000.0,,,,123920000.0,168746000.0,201324000.0,233312000.0,237871000.0,253640000.0,271523000.0,,104978000.0,168746000.0,219607000.0,237871000.0,261174000.0,,,168746000.0,233312000.0,253640000.0,,104978000.0,201324000.0,239045000.0,,201324000.0,104978000.0,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,282307000.0,239715000.0,354512000.0,215279000.0,250053000.0,312479000.0,,,,,,,,282307000.0,354512000.0,250053000.0,,,,,282307000.0,215279000.0,,,,,354512000.0,,,,239715000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,154185000.0,130061000.0,103857000.0,60344000.0,67379000.0,62542000.0,49502000.0,54217000.0,190062000.0,26802000.0,8096000.0,36689000.0,31381000.0,48409000.0,48163000.0,,,,130061000.0,60344000.0,62542000.0,54217000.0,26802000.0,36689000.0,48409000.0,,154185000.0,60344000.0,49502000.0,26802000.0,31381000.0,,,60344000.0,54217000.0,36689000.0,,154185000.0,62542000.0,8096000.0,,62542000.0,154185000.0,,CommonMetricExtracted
NetIncome,,,,,,282827000.0,310582000.0,265134000.0,190302000.0,208720000.0,183240000.0,186402000.0,207106000.0,122805000.0,255505000.0,231619000.0,317823000.0,183898000.0,201644000.0,264316000.0,,,,310582000.0,190302000.0,183240000.0,207106000.0,255505000.0,317823000.0,201644000.0,,282827000.0,190302000.0,186402000.0,255505000.0,183898000.0,,,190302000.0,207106000.0,317823000.0,,282827000.0,183240000.0,231619000.0,,183240000.0,282827000.0,,CommonMetricExtracted
Cash,,,,394761000.0,451678000.0,545861000.0,551512000.0,492600000.0,454397000.0,568472000.0,531926000.0,519757000.0,634368000.0,918063000.0,797210000.0,1071876000.0,1225380000.0,620127000.0,745364000.0,482047000.0,,394761000.0,545861000.0,492600000.0,568472000.0,519757000.0,918063000.0,1071876000.0,620127000.0,482047000.0,451678000.0,492600000.0,531926000.0,918063000.0,1225380000.0,482047000.0,394761000.0,492600000.0,519757000.0,1071876000.0,482047000.0,451678000.0,568472000.0,797210000.0,482047000.0,568472000.0,482047000.0,482047000.0,482047000.0,CommonMetricExtracted
CurrentReceivables,,,,,,54257000.0,61815000.0,43495000.0,97460000.0,86168000.0,101563000.0,75688000.0,73750000.0,166133000.0,189115000.0,180340000.0,232609000.0,243593000.0,262245000.0,315465000.0,,,54257000.0,43495000.0,86168000.0,75688000.0,166133000.0,180340000.0,243593000.0,315465000.0,,43495000.0,101563000.0,166133000.0,232609000.0,315465000.0,,43495000.0,75688000.0,180340000.0,315465000.0,,86168000.0,189115000.0,315465000.0,86168000.0,315465000.0,315465000.0,315465000.0,CommonMetricExtracted
