,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,1468662000.0,1344195000.0,1402237000.0,1417596000.0,1514917000.0,1584824000.0,1674082000.0,1772817000.0,1849062000.0,1965556000.0,,2008715000.0,1790781000.0,2022197000.0,2238010000.0,2192260000.0,2121761000.0,,,1344195000.0,1417596000.0,1584824000.0,1772817000.0,1965556000.0,2008715000.0,2022197000.0,2192260000.0,,1402237000.0,1584824000.0,1849062000.0,2008715000.0,2238010000.0,,1344195000.0,1584824000.0,1965556000.0,2022197000.0,,1402237000.0,1772817000.0,1790781000.0,,1772817000.0,1402237000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,566513000.0,504782000.0,488419000.0,493402000.0,524375000.0,561116000.0,606278000.0,639209000.0,667813000.0,742707000.0,,812935000.0,730771000.0,884270000.0,1032116000.0,1029577000.0,995311000.0,,,504782000.0,493402000.0,561116000.0,639209000.0,742707000.0,812935000.0,884270000.0,1029577000.0,,488419000.0,561116000.0,667813000.0,812935000.0,1032116000.0,,504782000.0,561116000.0,742707000.0,884270000.0,,488419000.0,639209000.0,730771000.0,,639209000.0,488419000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,670991000.0,616496000.0,624303000.0,640307000.0,680460000.0,691359000.0,719192000.0,774859000.0,807238000.0,830231000.0,,891693000.0,841658000.0,941023000.0,993250000.0,956068000.0,909168000.0,,,616496000.0,640307000.0,691359000.0,774859000.0,830231000.0,891693000.0,941023000.0,956068000.0,,624303000.0,691359000.0,807238000.0,891693000.0,993250000.0,,616496000.0,691359000.0,830231000.0,941023000.0,,624303000.0,774859000.0,841658000.0,,774859000.0,624303000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,209234000.0,190589000.0,281544000.0,271058000.0,302028000.0,317914000.0,332633000.0,354331000.0,368727000.0,331192000.0,,-158141000.0,44505000.0,142154000.0,169446000.0,160791000.0,192176000.0,,,190589000.0,271058000.0,317914000.0,354331000.0,331192000.0,-158141000.0,142154000.0,160791000.0,,281544000.0,317914000.0,368727000.0,-158141000.0,169446000.0,,190589000.0,317914000.0,331192000.0,142154000.0,,281544000.0,354331000.0,44505000.0,,354331000.0,281544000.0,,CommonMetricExtracted
Interest,,,,50421000.0,46280000.0,44165000.0,47797000.0,46847000.0,38301000.0,36529000.0,20299000.0,22302000.0,21359000.0,,34682000.0,23140000.0,55554000.0,94454000.0,125643000.0,123281000.0,,,46280000.0,47797000.0,38301000.0,20299000.0,21359000.0,34682000.0,55554000.0,125643000.0,,44165000.0,38301000.0,22302000.0,34682000.0,94454000.0,,46280000.0,38301000.0,21359000.0,55554000.0,,44165000.0,20299000.0,23140000.0,,20299000.0,44165000.0,,CommonMetricExtracted
Taxes,,,,54304000.0,55656000.0,82554000.0,71489000.0,80261000.0,94407000.0,97387000.0,109318000.0,111004000.0,82672000.0,,14267000.0,21680000.0,31031000.0,18848000.0,13572000.0,23552000.0,,,55656000.0,71489000.0,94407000.0,109318000.0,82672000.0,14267000.0,31031000.0,13572000.0,,82554000.0,94407000.0,111004000.0,14267000.0,18848000.0,,55656000.0,94407000.0,82672000.0,31031000.0,,82554000.0,109318000.0,21680000.0,,109318000.0,82554000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,-199897000.0,8899000.0,62772000.0,65530000.0,26227000.0,52945000.0,,,,,,,,-199897000.0,62772000.0,26227000.0,,,,,-199897000.0,65530000.0,,,,,62772000.0,,,,8899000.0,,,,,CommonMetricExtracted
Cash,,,21615000.0,15590000.0,12789000.0,17383000.0,28687000.0,45435000.0,121089000.0,61541000.0,62427000.0,76574000.0,59240000.0,59740000.0,73620000.0,123122000.0,41231000.0,40435000.0,71962000.0,34399000.0,,15590000.0,17383000.0,45435000.0,61541000.0,76574000.0,59740000.0,123122000.0,40435000.0,34399000.0,12789000.0,45435000.0,62427000.0,59740000.0,41231000.0,34399000.0,15590000.0,45435000.0,76574000.0,123122000.0,34399000.0,12789000.0,61541000.0,73620000.0,34399000.0,61541000.0,34399000.0,34399000.0,34399000.0,CommonMetricExtracted
CurrentReceivables,,,,,65564000.0,66471000.0,69023000.0,70387000.0,88049000.0,113656000.0,123654000.0,152649000.0,149844000.0,173862000.0,163421000.0,161959000.0,197947000.0,206617000.0,191005000.0,174076000.0,,,66471000.0,70387000.0,113656000.0,152649000.0,173862000.0,161959000.0,206617000.0,174076000.0,65564000.0,70387000.0,123654000.0,173862000.0,197947000.0,174076000.0,,70387000.0,152649000.0,161959000.0,174076000.0,65564000.0,113656000.0,163421000.0,174076000.0,113656000.0,174076000.0,174076000.0,174076000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,27215000.0,37643000.0,36642000.0,30116000.0,32751000.0,,,,,,,,27215000.0,36642000.0,32751000.0,,,,,37643000.0,32751000.0,,,,27215000.0,32751000.0,,,,32751000.0,,32751000.0,32751000.0,32751000.0,CommonMetricExtracted
Inventory,,,,,22122000.0,21660000.0,22043000.0,23291000.0,28966000.0,39411000.0,41956000.0,40182000.0,42249000.0,46441000.0,39921000.0,40130000.0,34928000.0,52267000.0,42088000.0,36393000.0,,,21660000.0,23291000.0,39411000.0,40182000.0,46441000.0,40130000.0,52267000.0,36393000.0,22122000.0,23291000.0,41956000.0,46441000.0,34928000.0,36393000.0,,23291000.0,40182000.0,40130000.0,36393000.0,22122000.0,39411000.0,39921000.0,36393000.0,39411000.0,36393000.0,36393000.0,36393000.0,CommonMetricExtracted
