,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,37557000.0,57291000.0,73278000.0,78799000.0,46928000.0,93423000.0,170800000.0,163799000.0,161523000.0,,,,,,,57291000.0,78799000.0,93423000.0,163799000.0,,,,37557000.0,78799000.0,170800000.0,,,,57291000.0,93423000.0,,,,46928000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,1202000.0,1729000.0,2430000.0,2014000.0,2475000.0,2548000.0,1336000.0,1360000.0,2175000.0,2749000.0,3043000.0,1813000.0,3667000.0,6582000.0,5776000.0,6884000.0,,,1202000.0,2430000.0,2475000.0,1336000.0,2175000.0,3043000.0,3667000.0,5776000.0,,1729000.0,2475000.0,1360000.0,3043000.0,6582000.0,,1202000.0,2475000.0,2175000.0,3667000.0,,1729000.0,1336000.0,1813000.0,,1336000.0,1729000.0,,CommonMetricExtracted
NetIncome,,,,,21681000.0,34883000.0,42215000.0,38022000.0,43576000.0,45239000.0,13255000.0,20967000.0,38424000.0,53907000.0,52765000.0,21867000.0,70174000.0,130607000.0,114117000.0,92449000.0,,,21681000.0,42215000.0,43576000.0,13255000.0,38424000.0,52765000.0,70174000.0,114117000.0,,34883000.0,43576000.0,20967000.0,52765000.0,130607000.0,,21681000.0,43576000.0,38424000.0,70174000.0,,34883000.0,13255000.0,21867000.0,,13255000.0,34883000.0,,CommonMetricExtracted
Cash,,,,16211000.0,10124000.0,11253000.0,14238000.0,13792000.0,15175000.0,15912000.0,7136000.0,8212000.0,13827000.0,18285000.0,,11232000.0,28306000.0,40754000.0,47025000.0,42508000.0,,16211000.0,11253000.0,13792000.0,15912000.0,8212000.0,18285000.0,11232000.0,40754000.0,42508000.0,10124000.0,13792000.0,7136000.0,18285000.0,28306000.0,42508000.0,16211000.0,13792000.0,8212000.0,11232000.0,42508000.0,10124000.0,15912000.0,,42508000.0,15912000.0,42508000.0,42508000.0,42508000.0,CommonMetricExtracted
CurrentReceivables,,,,,,5548000.0,6602000.0,5806000.0,6508000.0,4761000.0,2639000.0,4351000.0,6198000.0,6635000.0,,5075000.0,11533000.0,14543000.0,14407000.0,19780000.0,,,5548000.0,5806000.0,4761000.0,4351000.0,6635000.0,5075000.0,14543000.0,19780000.0,,5806000.0,2639000.0,6635000.0,11533000.0,19780000.0,,5806000.0,4351000.0,5075000.0,19780000.0,,4761000.0,,19780000.0,4761000.0,19780000.0,19780000.0,19780000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,20452000.0,28456000.0,26070000.0,28198000.0,26465000.0,12780000.0,14788000.0,25355000.0,30118000.0,,18221000.0,46661000.0,62467000.0,69707000.0,67832000.0,,,20452000.0,26070000.0,26465000.0,14788000.0,30118000.0,18221000.0,62467000.0,67832000.0,,26070000.0,12780000.0,30118000.0,46661000.0,67832000.0,,26070000.0,14788000.0,18221000.0,67832000.0,,26465000.0,,67832000.0,26465000.0,67832000.0,67832000.0,67832000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,211761000.0,230060000.0,246595000.0,259689000.0,269690000.0,279710000.0,288163000.0,297442000.0,306335000.0,,331361000.0,341733000.0,360724000.0,386939000.0,429435000.0,,,211761000.0,246595000.0,269690000.0,288163000.0,306335000.0,331361000.0,360724000.0,429435000.0,,246595000.0,279710000.0,306335000.0,341733000.0,429435000.0,,246595000.0,288163000.0,331361000.0,429435000.0,,269690000.0,,429435000.0,269690000.0,429435000.0,429435000.0,429435000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,153111000.0,142769000.0,123800000.0,112785000.0,97509000.0,73729000.0,67211000.0,92047000.0,87923000.0,,88327000.0,146807000.0,176243000.0,191065000.0,366812000.0,,,153111000.0,123800000.0,97509000.0,67211000.0,87923000.0,88327000.0,176243000.0,366812000.0,,123800000.0,73729000.0,87923000.0,146807000.0,366812000.0,,123800000.0,67211000.0,88327000.0,366812000.0,,97509000.0,,366812000.0,97509000.0,366812000.0,366812000.0,366812000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,542000.0,529000.0,448000.0,911000.0,975000.0,481000.0,252000.0,599000.0,421000.0,,1578000.0,2512000.0,3131000.0,4195000.0,3984000.0,,,542000.0,448000.0,975000.0,252000.0,421000.0,1578000.0,3131000.0,3984000.0,,448000.0,481000.0,421000.0,2512000.0,3984000.0,,448000.0,252000.0,1578000.0,3984000.0,,975000.0,,3984000.0,975000.0,3984000.0,3984000.0,3984000.0,CommonMetricExtracted
CurrentLiability,,,,,,1123000.0,1097000.0,935000.0,1861000.0,1960000.0,1016000.0,527000.0,1236000.0,907000.0,2700000.0,3756000.0,5606000.0,6824000.0,8934000.0,8494000.0,,,1123000.0,935000.0,1960000.0,527000.0,907000.0,3756000.0,6824000.0,8494000.0,,935000.0,1016000.0,907000.0,5606000.0,8494000.0,,935000.0,527000.0,3756000.0,8494000.0,,1960000.0,2700000.0,8494000.0,1960000.0,8494000.0,8494000.0,8494000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,1885000.0,1594000.0,1313000.0,1041000.0,777000.0,,,,,,,,1885000.0,1313000.0,777000.0,,,,,1594000.0,777000.0,,,,1885000.0,777000.0,,,,777000.0,,777000.0,777000.0,777000.0,CommonMetricExtracted
TotalLiability,,,,,,710000.0,658000.0,537000.0,961000.0,985000.0,558000.0,275000.0,1301000.0,1276000.0,,3763000.0,4397000.0,4725000.0,5508000.0,5024000.0,,,710000.0,537000.0,985000.0,275000.0,1276000.0,3763000.0,4725000.0,5024000.0,,537000.0,558000.0,1276000.0,4397000.0,5024000.0,,537000.0,275000.0,3763000.0,5024000.0,,985000.0,,5024000.0,985000.0,5024000.0,5024000.0,5024000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingCashFlow,,,,,37396000.0,52763000.0,55496000.0,56424000.0,56398000.0,57660000.0,27692000.0,28278000.0,44028000.0,62524000.0,66109000.0,39406000.0,70305000.0,147052000.0,139842000.0,132639000.0,,,37396000.0,55496000.0,56398000.0,27692000.0,44028000.0,66109000.0,70305000.0,139842000.0,,52763000.0,56398000.0,28278000.0,66109000.0,147052000.0,,37396000.0,56398000.0,44028000.0,70305000.0,,52763000.0,27692000.0,39406000.0,,27692000.0,52763000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,0.5582714274303059,0.6706812588364665,0.735650536313764,0.6696150966382822,0.4659691442209342,0.7511426522376716,0.7646779859484778,0.6966892349770145,0.5723581161815964,,,,,,,0.6706812588364665,0.6696150966382822,0.7511426522376716,0.6966892349770145,,,,0.5582714274303059,0.6696150966382822,0.7646779859484778,,,,0.6706812588364665,0.7511426522376716,,,,0.4659691442209342,,,,,CommonMetricCalculated
