,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,1404057000.0,1570894000.0,1652193000.0,1802223000.0,1993833000.0,,2216528000.0,2472628000.0,3432867000.0,3618774000.0,,4117411000.0,4357373000.0,4537158000.0,4706416000.0,,,,1570894000.0,1802223000.0,,2472628000.0,3618774000.0,4117411000.0,4537158000.0,,1404057000.0,1802223000.0,2216528000.0,3618774000.0,4357373000.0,,,1802223000.0,2472628000.0,4117411000.0,,1404057000.0,,,,,1404057000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,1017081000.0,1132305000.0,1181677000.0,1253249000.0,1399067000.0,,1533397000.0,1704937000.0,2130188000.0,2216275000.0,,2522918000.0,2669131000.0,2888552000.0,2857914000.0,,,,1132305000.0,1253249000.0,,1704937000.0,2216275000.0,2522918000.0,2888552000.0,,1017081000.0,1253249000.0,1533397000.0,2216275000.0,2669131000.0,,,1253249000.0,1704937000.0,2522918000.0,,1017081000.0,,,,,1017081000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,189509000.0,227702000.0,259145000.0,313811000.0,345361000.0,,405439000.0,454042000.0,571689000.0,629407000.0,,725642000.0,780408000.0,767925000.0,878999000.0,,,,227702000.0,313811000.0,,454042000.0,629407000.0,725642000.0,767925000.0,,189509000.0,313811000.0,405439000.0,629407000.0,780408000.0,,,313811000.0,454042000.0,725642000.0,,189509000.0,,,,,189509000.0,,CommonMetricExtracted
Interest,,,,,,110945000.0,96810000.0,91635000.0,88872000.0,86881000.0,,99537000.0,110069000.0,146345000.0,150818000.0,,172166000.0,191806000.0,198254000.0,195870000.0,,,,96810000.0,88872000.0,,110069000.0,150818000.0,172166000.0,198254000.0,,110945000.0,88872000.0,99537000.0,150818000.0,191806000.0,,,88872000.0,110069000.0,172166000.0,,110945000.0,,,,,110945000.0,,CommonMetricExtracted
Taxes,,,,,,55778000.0,51028000.0,62445000.0,82114000.0,96036000.0,,113426000.0,129980000.0,66706000.0,81928000.0,,63834000.0,115238000.0,120570000.0,138045000.0,,,,51028000.0,82114000.0,,129980000.0,81928000.0,63834000.0,120570000.0,,55778000.0,82114000.0,113426000.0,81928000.0,115238000.0,,,82114000.0,129980000.0,63834000.0,,55778000.0,,,,,55778000.0,,CommonMetricExtracted
NetIncome,,,,,,79744000.0,87917000.0,105361000.0,142985000.0,162587000.0,,192789000.0,214678000.0,361972000.0,400709000.0,,491296000.0,510467000.0,452263000.0,584170000.0,,,,87917000.0,142985000.0,,214678000.0,400709000.0,491296000.0,452263000.0,,79744000.0,142985000.0,192789000.0,400709000.0,510467000.0,,,142985000.0,214678000.0,491296000.0,,79744000.0,,,,,79744000.0,,CommonMetricExtracted
Cash,,,,,,,85530000.0,92612000.0,125453000.0,120954000.0,,180940000.0,126496000.0,166993000.0,209269000.0,,217453000.0,180579000.0,191289000.0,195370000.0,,,,92612000.0,120954000.0,180940000.0,166993000.0,,180579000.0,195370000.0,,92612000.0,,166993000.0,217453000.0,195370000.0,,92612000.0,180940000.0,,195370000.0,,120954000.0,209269000.0,195370000.0,120954000.0,195370000.0,195370000.0,195370000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,80410000.0,87200000.0,105779000.0,118395000.0,,131582000.0,150369000.0,190091000.0,210260000.0,,244560000.0,255327000.0,257492000.0,309104000.0,,,,87200000.0,118395000.0,131582000.0,190091000.0,,255327000.0,309104000.0,,87200000.0,,190091000.0,244560000.0,309104000.0,,87200000.0,131582000.0,,309104000.0,,118395000.0,210260000.0,309104000.0,118395000.0,309104000.0,309104000.0,309104000.0,CommonMetricExtracted
