,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,14964000000.0,19228000000.0,12745000000.0,12457000000.0,,,,,,,,,14964000000.0,12745000000.0,,,,,,19228000000.0,,,,,14964000000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,1495000000.0,1748000000.0,2243000000.0,2091000000.0,,,,,,,,,1495000000.0,2243000000.0,,,,,,1748000000.0,,,,,1495000000.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,675000000.0,791000000.0,951000000.0,,,,,,,,,,791000000.0,,,,,,675000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,431000000.0,457000000.0,462000000.0,487000000.0,,,,,,,,,431000000.0,462000000.0,,,,,,457000000.0,,,,,431000000.0,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,907000000.0,1083000000.0,1397000000.0,1404000000.0,,,,,,,,,907000000.0,1397000000.0,,,,,,1083000000.0,,,,,907000000.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,10000000.0,25000000.0,64000000.0,,,,,,,,,10000000.0,64000000.0,,,,,,64000000.0,,,,,64000000.0,,,,64000000.0,,64000000.0,64000000.0,64000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,2182000000.0,1787000000.0,1827000000.0,,,,,,,,,2182000000.0,1827000000.0,,,,,,1827000000.0,,,,,1827000000.0,,,,1827000000.0,,1827000000.0,1827000000.0,1827000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,571000000.0,633000000.0,705000000.0,,,,,,,,,571000000.0,705000000.0,,,,,,705000000.0,,,,,705000000.0,,,,705000000.0,,705000000.0,705000000.0,705000000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,4180000000.0,3539000000.0,3607000000.0,,,,,,,,,4180000000.0,3607000000.0,,,,,,3607000000.0,,,,,3607000000.0,,,,3607000000.0,,3607000000.0,3607000000.0,3607000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
