,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,504000000.0,754000000.0,840000000.0,920000000.0,922000000.0,981000000.0,,,,,,,,504000000.0,840000000.0,922000000.0,,,,,504000000.0,920000000.0,,,,,840000000.0,,,,754000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,292000000.0,440000000.0,422000000.0,482000000.0,500000000.0,504000000.0,,,,,,,,292000000.0,422000000.0,500000000.0,,,,,292000000.0,482000000.0,,,,,422000000.0,,,,440000000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,137000000.0,150000000.0,153000000.0,,,,,,,,,,150000000.0,,,,,,137000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,72000000.0,116000000.0,104000000.0,100000000.0,104000000.0,137000000.0,,,,,,,,72000000.0,104000000.0,104000000.0,,,,,72000000.0,100000000.0,,,,,104000000.0,,,,116000000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,220000000.0,324000000.0,318000000.0,382000000.0,396000000.0,367000000.0,,,,,,,,220000000.0,318000000.0,396000000.0,,,,,220000000.0,382000000.0,,,,,318000000.0,,,,324000000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,42000000.0,132000000.0,61000000.0,56000000.0,68000000.0,,,,,,,,42000000.0,61000000.0,68000000.0,,,,,132000000.0,68000000.0,,,,42000000.0,68000000.0,,,,68000000.0,,68000000.0,68000000.0,68000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,123000000.0,169000000.0,165000000.0,173000000.0,184000000.0,,,,,,,,123000000.0,165000000.0,184000000.0,,,,,169000000.0,184000000.0,,,,123000000.0,184000000.0,,,,184000000.0,,184000000.0,184000000.0,184000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,24000000.0,25000000.0,22000000.0,31000000.0,33000000.0,,,,,,,,24000000.0,22000000.0,33000000.0,,,,,25000000.0,33000000.0,,,,24000000.0,33000000.0,,,,33000000.0,,33000000.0,33000000.0,33000000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,483000000.0,360000000.0,262000000.0,272000000.0,310000000.0,,,,,,,,483000000.0,262000000.0,310000000.0,,,,,360000000.0,310000000.0,,,,483000000.0,310000000.0,,,,310000000.0,,310000000.0,310000000.0,310000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,3470000000.0,3490000000.0,3806000000.0,4434000000.0,5527000000.0,,,,,,,,3470000000.0,3806000000.0,5527000000.0,,,,,3490000000.0,5527000000.0,,,,3470000000.0,5527000000.0,,,,5527000000.0,,5527000000.0,5527000000.0,5527000000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,471000000.0,473000000.0,473000000.0,473000000.0,473000000.0,776000000.0,,,,,,,,473000000.0,473000000.0,776000000.0,,,,,473000000.0,776000000.0,,,,473000000.0,776000000.0,,,471000000.0,776000000.0,,776000000.0,776000000.0,776000000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,2140000000.0,2082000000.0,2025000000.0,1968000000.0,1921000000.0,,,,,,,,2140000000.0,2025000000.0,1921000000.0,,,,,2082000000.0,1921000000.0,,,,2140000000.0,1921000000.0,,,,1921000000.0,,1921000000.0,1921000000.0,1921000000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,7787000000.0,8342000000.0,8166000000.0,8833000000.0,8982000000.0,9935000000.0,,,,,,,,8342000000.0,8833000000.0,9935000000.0,,,,,8166000000.0,9935000000.0,,,,8342000000.0,9935000000.0,,,7787000000.0,9935000000.0,,9935000000.0,9935000000.0,9935000000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,29000000.0,84000000.0,191000000.0,171000000.0,164000000.0,,,,,,,,29000000.0,191000000.0,164000000.0,,,,,84000000.0,164000000.0,,,,29000000.0,164000000.0,,,,164000000.0,,164000000.0,164000000.0,164000000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,3338000000.0,257000000.0,682000000.0,498000000.0,496000000.0,,,,,,,,3338000000.0,682000000.0,496000000.0,,,,,257000000.0,496000000.0,,,,3338000000.0,496000000.0,,,,496000000.0,,496000000.0,496000000.0,496000000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,909000000.0,1008000000.0,1117000000.0,1375000000.0,1719000000.0,,,,,,,,909000000.0,1117000000.0,1719000000.0,,,,,1008000000.0,1719000000.0,,,,909000000.0,1719000000.0,,,,1719000000.0,,1719000000.0,1719000000.0,1719000000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,4114000000.0,4145000000.0,4679000000.0,4702000000.0,5169000000.0,,,,,,,,4114000000.0,4679000000.0,5169000000.0,,,,,4145000000.0,5169000000.0,,,,4114000000.0,5169000000.0,,,,5169000000.0,,5169000000.0,5169000000.0,5169000000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,3724000000.0,4228000000.0,4021000000.0,4154000000.0,4280000000.0,4766000000.0,,,,,,,,4228000000.0,4154000000.0,4766000000.0,,,,,4021000000.0,4766000000.0,,,,4228000000.0,4766000000.0,,,3724000000.0,4766000000.0,,4766000000.0,4766000000.0,4766000000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,390000000.0,597000000.0,572000000.0,725000000.0,798000000.0,763000000.0,,,,,,,,390000000.0,572000000.0,798000000.0,,,,,390000000.0,725000000.0,,,,,572000000.0,,,,597000000.0,,,,,CommonMetricExtracted
