,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,25998.0,,5000.0,,112000.0,,500000.0,,300000.0,108000.0,,,,,,25998.0,5000.0,112000.0,500000.0,300000.0,,,,,112000.0,,,,,5000.0,500000.0,,,25998.0,,,25998.0,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,11793.0,,4741.0,5111.0,105000.0,,,,273000.0,71000.0,,,,,,11793.0,4741.0,105000.0,,273000.0,,,,,105000.0,,,,,4741.0,,,,11793.0,,,11793.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,508.0,4740.0,,,75000.0,,14000.0,20000.0,3000.0,157000.0,,,,,,508.0,,75000.0,14000.0,3000.0,,,,4740.0,75000.0,20000.0,,,,,14000.0,,,508.0,,,508.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,-18335.0,-30906.0,-39462.0,-36653.0,-37405.0,,,,76000.0,40000.0,,,,,,-18335.0,-39462.0,-37405.0,,76000.0,,,,-30906.0,-37405.0,,,,,-39462.0,,,,-18335.0,,,-18335.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,-147.0,-299927.0,-299174.0,-149056.0,-142324.0,-172948.0,-1368000.0,-888000.0,-1101000.0,-726000.0,-985000.0,,,,,,-299927.0,-149056.0,-172948.0,-888000.0,-726000.0,,,,-299174.0,-172948.0,-1101000.0,,,,-149056.0,-888000.0,,,-299927.0,-1368000.0,,-299927.0,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,2281000.0,1256000.0,,,,,,,,,,1256000.0,,,,,,1256000.0,,,,,1256000.0,,,,1256000.0,,1256000.0,1256000.0,1256000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,37000.0,,,,,,,,,,37000.0,,,,,,37000.0,,,,,37000.0,,,,37000.0,,37000.0,37000.0,37000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
