,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,10707467000.0,10876634000.0,11404851000.0,11388479000.0,11550604000.0,11618797000.0,11609894000.0,12140147000.0,12815550000.0,,,,,,,10876634000.0,11388479000.0,11618797000.0,12140147000.0,,,,10707467000.0,11388479000.0,11609894000.0,,,,10876634000.0,11618797000.0,,,,11550604000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,3920487000.0,4248668000.0,4474735000.0,,5583549000.0,8198377000.0,9119305000.0,9824834000.0,10646736000.0,7640005000.0,8195513000.0,7914485000.0,7988613000.0,7972414000.0,8209553000.0,8319717000.0,8598521000.0,,,4248668000.0,,8198377000.0,9824834000.0,7640005000.0,7914485000.0,7972414000.0,8319717000.0,,4474735000.0,8198377000.0,10646736000.0,7914485000.0,8209553000.0,,4248668000.0,8198377000.0,7640005000.0,7972414000.0,,4474735000.0,9824834000.0,7988613000.0,,9824834000.0,4474735000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,869096000.0,940271000.0,997027000.0,,1297084000.0,1550134000.0,1815141000.0,1170695000.0,2029710000.0,1812755000.0,1525824000.0,1643317000.0,1694636000.0,1797370000.0,1339062000.0,1602784000.0,2090483000.0,,,940271000.0,,1550134000.0,1170695000.0,1812755000.0,1643317000.0,1797370000.0,1602784000.0,,997027000.0,1550134000.0,2029710000.0,1643317000.0,1339062000.0,,940271000.0,1550134000.0,1812755000.0,1797370000.0,,997027000.0,1170695000.0,1694636000.0,,1170695000.0,997027000.0,,CommonMetricExtracted
Interest,,,,,,,,288554000.0,429943000.0,410294000.0,408380000.0,414382000.0,430634000.0,487435000.0,443824000.0,304111000.0,285254000.0,357019000.0,398551000.0,470469000.0,,,,,429943000.0,408380000.0,430634000.0,443824000.0,285254000.0,398551000.0,,,429943000.0,414382000.0,443824000.0,357019000.0,,,429943000.0,430634000.0,285254000.0,,,408380000.0,304111000.0,,408380000.0,,,CommonMetricExtracted
Taxes,,,,235471000.0,278465000.0,260239000.0,,359845000.0,381013000.0,446343000.0,295726000.0,455813000.0,323859000.0,258400000.0,279628000.0,313932000.0,306732000.0,198087000.0,220116000.0,279656000.0,,,278465000.0,,381013000.0,295726000.0,323859000.0,279628000.0,306732000.0,220116000.0,,260239000.0,381013000.0,455813000.0,279628000.0,198087000.0,,278465000.0,381013000.0,323859000.0,306732000.0,,260239000.0,295726000.0,313932000.0,,295726000.0,260239000.0,,CommonMetricExtracted
NetIncome,,,,421320000.0,479759000.0,484219000.0,573395000.0,641237000.0,757201000.0,863330000.0,427410000.0,1033082000.0,830555000.0,333040000.0,1021294000.0,994677000.0,1211762000.0,781643000.0,956978000.0,1250737000.0,,,479759000.0,573395000.0,757201000.0,427410000.0,830555000.0,1021294000.0,1211762000.0,956978000.0,,484219000.0,757201000.0,1033082000.0,1021294000.0,781643000.0,,479759000.0,757201000.0,830555000.0,1211762000.0,,484219000.0,427410000.0,994677000.0,,427410000.0,484219000.0,,CommonMetricExtracted
Cash,,,,,,,393752000.0,533748000.0,946249000.0,965241000.0,1244917000.0,674776000.0,508234000.0,323038000.0,1102372000.0,324958000.0,461900000.0,244086000.0,380063000.0,794933000.0,,,,533748000.0,965241000.0,674776000.0,323038000.0,324958000.0,244086000.0,794933000.0,,533748000.0,1244917000.0,323038000.0,461900000.0,794933000.0,,533748000.0,674776000.0,324958000.0,794933000.0,,965241000.0,1102372000.0,794933000.0,965241000.0,794933000.0,794933000.0,794933000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,1844568000.0,2010604000.0,,1792106000.0,2163452000.0,2397018000.0,2305065000.0,2438821000.0,2410508000.0,2550649000.0,2415912000.0,2557676000.0,,,,,2010604000.0,1792106000.0,2397018000.0,2438821000.0,2550649000.0,2557676000.0,,,,2397018000.0,2410508000.0,2557676000.0,,,1792106000.0,2438821000.0,2557676000.0,,2010604000.0,2305065000.0,2557676000.0,2010604000.0,2557676000.0,2557676000.0,2557676000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,99510000.0,112058000.0,111840000.0,66866000.0,76387000.0,72517000.0,78839000.0,102645000.0,122948000.0,,,,,,99510000.0,111840000.0,76387000.0,78839000.0,122948000.0,,,,111840000.0,72517000.0,122948000.0,,,99510000.0,76387000.0,122948000.0,,,66866000.0,122948000.0,,122948000.0,122948000.0,122948000.0,CommonMetricExtracted
Inventory,,,,,,,,,88805000.0,136085000.0,,160419000.0,181799000.0,107381000.0,97949000.0,111625000.0,107428000.0,109122000.0,143105000.0,134559000.0,,,,,136085000.0,160419000.0,107381000.0,111625000.0,109122000.0,134559000.0,,,,107381000.0,107428000.0,134559000.0,,,160419000.0,111625000.0,134559000.0,,136085000.0,97949000.0,134559000.0,136085000.0,134559000.0,134559000.0,134559000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,3472278000.0,3876797000.0,,3994748000.0,8770701000.0,8424159000.0,3690170000.0,3148724000.0,3167723000.0,3155292000.0,3137906000.0,3746072000.0,,,,,3876797000.0,3994748000.0,8424159000.0,3148724000.0,3155292000.0,3746072000.0,,,,8424159000.0,3167723000.0,3746072000.0,,,3994748000.0,3148724000.0,3746072000.0,,3876797000.0,3690170000.0,3746072000.0,3876797000.0,3746072000.0,3746072000.0,3746072000.0,CommonMetricExtracted
