,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,113548000.0,127132000.0,105644000.0,100244000.0,91898000.0,94502000.0,110051000.0,170168000.0,96468000.0,60051000.0,86695000.0,207517000.0,319534000.0,,,,,127132000.0,100244000.0,94502000.0,170168000.0,60051000.0,207517000.0,,,127132000.0,91898000.0,170168000.0,86695000.0,,,127132000.0,94502000.0,60051000.0,,,100244000.0,96468000.0,,100244000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,43612000.0,215448000.0,313657000.0,,,,,,,,,,215448000.0,,,,,,43612000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,26500000.0,129808000.0,-18258000.0,73762000.0,-26716000.0,14073000.0,47011000.0,-31860000.0,43950000.0,66472000.0,17413000.0,-52608000.0,9020000.0,92217000.0,,,,26500000.0,-18258000.0,-26716000.0,47011000.0,43950000.0,17413000.0,9020000.0,,,-18258000.0,14073000.0,43950000.0,-52608000.0,,,-18258000.0,47011000.0,17413000.0,,,-26716000.0,66472000.0,,-26716000.0,,,CommonMetricExtracted
NetIncome,,,,,17581000.0,29472000.0,39812000.0,74042000.0,68069000.0,27806000.0,16544000.0,43099000.0,33893000.0,7023000.0,-152668000.0,177530000.0,102261000.0,143161000.0,-6130000.0,113898000.0,,,17581000.0,39812000.0,68069000.0,16544000.0,33893000.0,-152668000.0,102261000.0,-6130000.0,,29472000.0,68069000.0,43099000.0,-152668000.0,143161000.0,,17581000.0,68069000.0,33893000.0,102261000.0,,29472000.0,16544000.0,177530000.0,,16544000.0,29472000.0,,CommonMetricExtracted
Cash,,,,24335000.0,30173000.0,18836000.0,48776000.0,55809000.0,69330000.0,43944000.0,33935000.0,74120000.0,40867000.0,34598000.0,62582000.0,295602000.0,366023000.0,332035000.0,119639000.0,377099000.0,,24335000.0,18836000.0,55809000.0,43944000.0,74120000.0,34598000.0,295602000.0,332035000.0,377099000.0,30173000.0,55809000.0,33935000.0,34598000.0,366023000.0,377099000.0,24335000.0,55809000.0,74120000.0,295602000.0,377099000.0,30173000.0,43944000.0,62582000.0,377099000.0,43944000.0,377099000.0,377099000.0,377099000.0,CommonMetricExtracted
CurrentReceivables,,,,,,6105000.0,12609000.0,23073000.0,21703000.0,21157000.0,22764000.0,20396000.0,19819000.0,21019000.0,26209000.0,164820000.0,16955000.0,25608000.0,30040000.0,43286000.0,,,6105000.0,23073000.0,21157000.0,20396000.0,21019000.0,164820000.0,25608000.0,43286000.0,,23073000.0,22764000.0,21019000.0,16955000.0,43286000.0,,23073000.0,20396000.0,164820000.0,43286000.0,,21157000.0,26209000.0,43286000.0,21157000.0,43286000.0,43286000.0,43286000.0,CommonMetricExtracted
