,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,0.0,27866000.0,46824000.0,40751000.0,33498000.0,49190000.0,54553000.0,43846000.0,27320000.0,28364000.0,35006000.0,42549000.0,49863000.0,,,,,27866000.0,40751000.0,49190000.0,43846000.0,28364000.0,42549000.0,,,27866000.0,33498000.0,43846000.0,35006000.0,,,27866000.0,49190000.0,28364000.0,,,40751000.0,27320000.0,,40751000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,14820000.0,45256000.0,34794000.0,,,,,,,,,,45256000.0,,,,,,14820000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,0.0,510000.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,-8000.0,-1914000.0,16168000.0,30000.0,11906000.0,10788000.0,-11295000.0,22256000.0,20112000.0,-6309000.0,-30198000.0,4559000.0,6586000.0,,,,,-1914000.0,30000.0,10788000.0,22256000.0,-6309000.0,4559000.0,,,-1914000.0,11906000.0,22256000.0,-30198000.0,,,-1914000.0,10788000.0,-6309000.0,,,30000.0,20112000.0,,30000.0,,,CommonMetricExtracted
Cash,,,,,,,,0.0,50112000.0,45237000.0,40166000.0,33504000.0,56117000.0,18585000.0,35351000.0,58166000.0,69028000.0,34816000.0,38533000.0,31840000.0,,,,0.0,45237000.0,33504000.0,18585000.0,58166000.0,34816000.0,31840000.0,,0.0,40166000.0,18585000.0,69028000.0,31840000.0,,0.0,33504000.0,58166000.0,31840000.0,,45237000.0,35351000.0,31840000.0,45237000.0,31840000.0,31840000.0,31840000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,33452000.0,55654000.0,21613000.0,,,,,,,,,33452000.0,21613000.0,,,,,,21613000.0,,,,,21613000.0,,,,21613000.0,,21613000.0,21613000.0,21613000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
