,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,356888000.0,370171000.0,400782000.0,438412000.0,357973000.0,400014000.0,431837000.0,420109000.0,,,,,,,356888000.0,400782000.0,357973000.0,431837000.0,,,,,400782000.0,400014000.0,,,,356888000.0,357973000.0,,,,438412000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,382419000.0,395501000.0,386501000.0,409354000.0,398649000.0,434764000.0,416234000.0,252938000.0,253257000.0,277422000.0,309488000.0,254207000.0,285291000.0,300787000.0,294767000.0,,,,395501000.0,409354000.0,434764000.0,252938000.0,277422000.0,254207000.0,300787000.0,,382419000.0,409354000.0,416234000.0,277422000.0,285291000.0,,,409354000.0,252938000.0,254207000.0,,382419000.0,434764000.0,309488000.0,,434764000.0,382419000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,76738000.0,83678000.0,78962000.0,83757000.0,86677000.0,89926000.0,92792000.0,63147000.0,69451000.0,73490000.0,78173000.0,68270000.0,71410000.0,70793000.0,68830000.0,,,,83678000.0,83757000.0,89926000.0,63147000.0,73490000.0,68270000.0,70793000.0,,76738000.0,83757000.0,92792000.0,73490000.0,71410000.0,,,83757000.0,63147000.0,68270000.0,,76738000.0,89926000.0,78173000.0,,89926000.0,76738000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,54455000.0,56572000.0,40033000.0,46909000.0,49934000.0,51251000.0,33287000.0,41944000.0,64930000.0,59123000.0,,,,,,54455000.0,40033000.0,49934000.0,33287000.0,64930000.0,,,,56572000.0,49934000.0,41944000.0,,,,40033000.0,33287000.0,,,54455000.0,51251000.0,,54455000.0,,,CommonMetricExtracted
Interest,,,,,,2627000.0,1234000.0,2285000.0,1528000.0,1268000.0,2025000.0,1358000.0,613000.0,777000.0,1154000.0,606000.0,11000.0,9000.0,0.0,-3973000.0,,,,1234000.0,1528000.0,2025000.0,613000.0,1154000.0,11000.0,0.0,,2627000.0,1528000.0,1358000.0,1154000.0,9000.0,,,1528000.0,613000.0,11000.0,,2627000.0,2025000.0,606000.0,,2025000.0,2627000.0,,CommonMetricExtracted
Taxes,,,,,,20463000.0,24786000.0,18022000.0,13903000.0,18603000.0,19985000.0,20836000.0,13616000.0,14151000.0,12497000.0,12959000.0,9193000.0,12962000.0,17630000.0,16526000.0,,,,24786000.0,13903000.0,19985000.0,13616000.0,12497000.0,9193000.0,17630000.0,,20463000.0,13903000.0,20836000.0,12497000.0,12962000.0,,,13903000.0,13616000.0,9193000.0,,20463000.0,19985000.0,12959000.0,,19985000.0,20463000.0,,CommonMetricExtracted
NetIncome,,,,,,35206000.0,44631000.0,31358000.0,24715000.0,13189000.0,-44533000.0,35736000.0,1780000.0,32905000.0,37437000.0,38292000.0,24094000.0,28982000.0,47300000.0,42597000.0,,,,44631000.0,24715000.0,-44533000.0,1780000.0,37437000.0,24094000.0,47300000.0,,35206000.0,24715000.0,35736000.0,37437000.0,28982000.0,,,24715000.0,1780000.0,24094000.0,,35206000.0,-44533000.0,38292000.0,,-44533000.0,35206000.0,,CommonMetricExtracted
Cash,,,,,9286000.0,21063000.0,12305000.0,10410000.0,6232000.0,5316000.0,15346000.0,10425000.0,,96230000.0,88442000.0,68258000.0,75190000.0,85606000.0,93968000.0,81597000.0,,,21063000.0,10410000.0,5316000.0,10425000.0,96230000.0,68258000.0,85606000.0,81597000.0,9286000.0,10410000.0,15346000.0,96230000.0,75190000.0,81597000.0,,10410000.0,10425000.0,68258000.0,81597000.0,9286000.0,5316000.0,88442000.0,81597000.0,5316000.0,81597000.0,81597000.0,81597000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,58359000.0,58790000.0,60071000.0,63695000.0,62865000.0,54871000.0,37368000.0,35654000.0,40357000.0,43086000.0,37891000.0,39022000.0,53507000.0,47209000.0,,,,58790000.0,63695000.0,54871000.0,35654000.0,43086000.0,39022000.0,47209000.0,,58790000.0,62865000.0,35654000.0,37891000.0,47209000.0,,58790000.0,54871000.0,43086000.0,47209000.0,,63695000.0,40357000.0,47209000.0,63695000.0,47209000.0,47209000.0,47209000.0,CommonMetricExtracted
