,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,187134000.0,260927000.0,326134000.0,325068000.0,,,,,,,,,187134000.0,326134000.0,,,,,,260927000.0,,,,,187134000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,55689000.0,81667000.0,120653000.0,129141000.0,62330000.0,70294000.0,90746000.0,103130000.0,98505000.0,,,,,,,81667000.0,129141000.0,70294000.0,103130000.0,,,,55689000.0,129141000.0,90746000.0,,,,81667000.0,70294000.0,,,,62330000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,48391000.0,59740000.0,83428000.0,102874000.0,84259000.0,35916000.0,49292000.0,74574000.0,92014000.0,,,,,,,59740000.0,102874000.0,35916000.0,74574000.0,,,,48391000.0,102874000.0,49292000.0,,,,59740000.0,35916000.0,,,,84259000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,22723000.0,30608000.0,46071000.0,64196000.0,54551000.0,66303000.0,86346000.0,98294000.0,95283000.0,,,,,,,30608000.0,64196000.0,66303000.0,98294000.0,,,,22723000.0,64196000.0,86346000.0,,,,30608000.0,66303000.0,,,,54551000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,-1695000.0,3509000.0,-3189000.0,5727000.0,-1932000.0,-3630000.0,2753000.0,335000.0,930000.0,,,,,,,3509000.0,5727000.0,-3630000.0,335000.0,,,,-1695000.0,5727000.0,2753000.0,,,,3509000.0,-3630000.0,,,,-1932000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,11269000.0,11185000.0,8792000.0,,,,,,,,,,11185000.0,,,,,,11269000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,131000.0,-13000.0,1150000.0,-192000.0,-80000.0,1428000.0,126000.0,1991000.0,2159000.0,,,,,,,-13000.0,-192000.0,1428000.0,1991000.0,,,,131000.0,-192000.0,126000.0,,,,-13000.0,1428000.0,,,,-80000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,-40392000.0,-38547000.0,-64078000.0,-68760000.0,-224718000.0,-139080000.0,-55384000.0,-26479000.0,-15571000.0,,,,,,,-38547000.0,-68760000.0,-139080000.0,-26479000.0,,,,-40392000.0,-68760000.0,-55384000.0,,,,-38547000.0,-139080000.0,,,,-224718000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,139538000.0,188986000.0,,420712000.0,505756000.0,634378000.0,539299000.0,489200000.0,416531000.0,,,,,,139538000.0,,505756000.0,539299000.0,416531000.0,,,,,634378000.0,416531000.0,,,139538000.0,505756000.0,416531000.0,,,420712000.0,416531000.0,,416531000.0,416531000.0,416531000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,1982000.0,72165000.0,,80110000.0,17916000.0,20169000.0,46512000.0,54391000.0,43196000.0,,,,,,1982000.0,,17916000.0,46512000.0,43196000.0,,,,,20169000.0,43196000.0,,,1982000.0,17916000.0,43196000.0,,,80110000.0,43196000.0,,43196000.0,43196000.0,43196000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,10662000.0,,14157000.0,9804000.0,17877000.0,12479000.0,13880000.0,15856000.0,,,,,,,,9804000.0,12479000.0,15856000.0,,,,,17877000.0,15856000.0,,,,9804000.0,15856000.0,,,14157000.0,15856000.0,,15856000.0,15856000.0,15856000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,276048000.0,,524576000.0,537133000.0,673608000.0,683159000.0,711851000.0,552496000.0,,,,,,,,537133000.0,683159000.0,552496000.0,,,,,673608000.0,552496000.0,,,,537133000.0,552496000.0,,,524576000.0,552496000.0,,552496000.0,552496000.0,552496000.0,CommonMetricExtracted
