,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,10507000.0,11552000.0,14049000.0,13857000.0,,,,,,,,,10507000.0,14049000.0,,,,,,11552000.0,,,,,10507000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,9859000.0,11188000.0,13227000.0,11545000.0,,,,,,,,,9859000.0,13227000.0,,,,,,11188000.0,,,,,9859000.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,5611000.0,9368000.0,10009000.0,11587000.0,,,,,,,,,5611000.0,10009000.0,,,,,,9368000.0,,,,,5611000.0,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,-3449000.0,-315000.0,-1776000.0,,,,,,,,,,-315000.0,,,,,,-3449000.0,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,617000.0,2033000.0,390000.0,1219000.0,,,,,,,,,617000.0,390000.0,,,,,,2033000.0,,,,,617000.0,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,70000.0,-562000.0,,,,,,,,,,70000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,-5538000.0,-12453000.0,-10188000.0,-11051000.0,,,,,,,,,-5538000.0,-10188000.0,,,,,,-12453000.0,,,,,-5538000.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,110000.0,510000.0,3530000.0,,,,,,,,,110000.0,3530000.0,,,,,,3530000.0,,,,,3530000.0,,,,3530000.0,,3530000.0,3530000.0,3530000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,1105000.0,1249000.0,1968000.0,,,,,,,,,1105000.0,1968000.0,,,,,,1968000.0,,,,,1968000.0,,,,1968000.0,,1968000.0,1968000.0,1968000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,62000.0,210000.0,335000.0,,,,,,,,,62000.0,335000.0,,,,,,335000.0,,,,,335000.0,,,,335000.0,,335000.0,335000.0,335000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,586000.0,678000.0,1544000.0,,,,,,,,,586000.0,1544000.0,,,,,,1544000.0,,,,,1544000.0,,,,1544000.0,,1544000.0,1544000.0,1544000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,1863000.0,2647000.0,7377000.0,,,,,,,,,1863000.0,7377000.0,,,,,,7377000.0,,,,,7377000.0,,,,7377000.0,,7377000.0,7377000.0,7377000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,4891000.0,3893000.0,3145000.0,,,,,,,,,4891000.0,3145000.0,,,,,,3145000.0,,,,,3145000.0,,,,3145000.0,,3145000.0,3145000.0,3145000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,50000.0,47000.0,43000.0,,,,,,,,,50000.0,43000.0,,,,,,43000.0,,,,,43000.0,,,,43000.0,,43000.0,43000.0,43000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,6965000.0,6656000.0,11915000.0,,,,,,,,,6965000.0,11915000.0,,,,,,11915000.0,,,,,11915000.0,,,,11915000.0,,11915000.0,11915000.0,11915000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,2042000.0,387000.0,1939000.0,,,,,,,,,2042000.0,1939000.0,,,,,,1939000.0,,,,,1939000.0,,,,1939000.0,,1939000.0,1939000.0,1939000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,2787000.0,2517000.0,4018000.0,,,,,,,,,2787000.0,4018000.0,,,,,,4018000.0,,,,,4018000.0,,,,4018000.0,,4018000.0,4018000.0,4018000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,4829000.0,2938000.0,6463000.0,,,,,,,,,4829000.0,6463000.0,,,,,,6463000.0,,,,,6463000.0,,,,6463000.0,,6463000.0,6463000.0,6463000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,,4316000.0,4040000.0,2678000.0,,,,,,,,,4316000.0,2678000.0,,,,,,2678000.0,,,,,2678000.0,,,,2678000.0,,2678000.0,2678000.0,2678000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,78976.0,9145000.0,6944000.0,7821000.0,,,,,,,,,9145000.0,7821000.0,,,,,78976.0,7821000.0,,,,,7821000.0,,,,7821000.0,,7821000.0,7821000.0,7821000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,-2075000.0,,-2180000.0,-288000.0,4094000.0,,,,,,,,-2075000.0,-2180000.0,4094000.0,,,,,,4094000.0,,,,-2075000.0,4094000.0,,,,4094000.0,,4094000.0,4094000.0,4094000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,-4078000.0,-9185000.0,-8531000.0,-8516000.0,,,,,,,,,-4078000.0,-8531000.0,,,,,,-9185000.0,,,,,-4078000.0,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,151000.0,1983000.0,1022000.0,303000.0,,,,,,,,,151000.0,1022000.0,,,,,,1983000.0,,,,,151000.0,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,-151000.0,-2033000.0,-1022000.0,-303000.0,,,,,,,,,-151000.0,-1022000.0,,,,,,-2033000.0,,,,,-151000.0,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,0.0,4000.0,0.0,,,,,,,,,,4000.0,,,,,,0.0,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,4255000.0,11297000.0,9953000.0,11839000.0,,,,,,,,,4255000.0,9953000.0,,,,,,11297000.0,,,,,4255000.0,,,,,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,0.9383268297325592,0.9684903047091413,0.9414904975443092,0.8331529191022587,,,,,,,,,0.9383268297325592,0.9414904975443092,,,,,,0.9684903047091413,,,,,0.9383268297325592,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,648000.0,364000.0,822000.0,2312000.0,,,,,,,,,648000.0,822000.0,,,,,,364000.0,,,,,648000.0,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,0.061673170267440756,0.03150969529085872,0.058509502455690796,0.16684708089774122,,,,,,,,,0.061673170267440756,0.058509502455690796,,,,,,0.03150969529085872,,,,,0.061673170267440756,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,0.5340249357571143,0.8109418282548476,0.7124350487579187,0.8361838781843112,,,,,,,,,0.5340249357571143,0.7124350487579187,,,,,,0.8109418282548476,,,,,0.5340249357571143,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,-0.2985630193905817,-0.02242152466367713,-0.1281662697553583,,,,,,,,,,-0.02242152466367713,,,,,,-0.2985630193905817,,,,,,,,,,,,,,CommonMetricCalculated
