,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,175263826.0,180376229.0,,,,,,,,,,175263826.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,50706094.0,44376620.0,65768655.0,90853052.0,109744919.0,137858768.0,133607296.0,136060442.0,,,,,,,50706094.0,65768655.0,109744919.0,133607296.0,,,,,65768655.0,137858768.0,,,,50706094.0,109744919.0,,,,90853052.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,12672800.0,11149194.0,10345557.0,8983152.0,8701499.0,12494510.0,15553274.0,20798095.0,29430723.0,31537677.0,34605132.0,,,,,,11149194.0,8983152.0,12494510.0,20798095.0,31537677.0,,,,10345557.0,12494510.0,29430723.0,,,,8983152.0,20798095.0,,,11149194.0,15553274.0,,11149194.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,-570276.0,-2298520.0,-3957898.0,1840009.0,718357.0,2875829.0,6473561.0,,14379527.0,9021370.0,8749180.0,,,,,,-2298520.0,1840009.0,2875829.0,,9021370.0,,,,-3957898.0,2875829.0,14379527.0,,,,1840009.0,,,,-2298520.0,6473561.0,,-2298520.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,463201.0,447383.0,,,,,,,,,,463201.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,65417.0,31802.0,47916.0,1223.0,60672.0,95116.0,89618.0,112808.0,-1309606.0,1873918.0,1992121.0,,,,,,31802.0,1223.0,95116.0,112808.0,1873918.0,,,,47916.0,95116.0,-1309606.0,,,,1223.0,112808.0,,,31802.0,89618.0,,31802.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,,-4523731.0,-2252301.0,-4005814.0,1838786.0,657685.0,2780713.0,6383943.0,10048875.0,15689133.0,7147452.0,6757059.0,,,,,,-2252301.0,1838786.0,2780713.0,10048875.0,7147452.0,,,,-4005814.0,2780713.0,15689133.0,,,,1838786.0,10048875.0,,,-2252301.0,6383943.0,,-2252301.0,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentReceivables,,,,,,715382.0,1582092.0,718501.0,269616.0,904076.0,229848.0,245095.0,801623.0,94345.0,2997743.0,4946619.0,7166533.0,,7811159.0,,,,715382.0,718501.0,904076.0,245095.0,94345.0,4946619.0,,,,718501.0,229848.0,94345.0,7166533.0,,,718501.0,245095.0,4946619.0,,,904076.0,2997743.0,,904076.0,,,,CommonMetricExtracted
