,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,503221000.0,517299000.0,589199000.0,709877000.0,729048000.0,776809000.0,821654000.0,870435000.0,925312000.0,986653000.0,1037256000.0,1118803000.0,1316403000.0,1447080000.0,1489423000.0,1526166000.0,,,503221000.0,589199000.0,729048000.0,821654000.0,925312000.0,1037256000.0,1316403000.0,1489423000.0,,517299000.0,729048000.0,870435000.0,1037256000.0,1447080000.0,,503221000.0,729048000.0,925312000.0,1316403000.0,,517299000.0,821654000.0,1118803000.0,,821654000.0,517299000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,23538000.0,27321000.0,27453000.0,27644000.0,,,,,,,,,23538000.0,27453000.0,,,,,,27321000.0,,,,,23538000.0,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,768416000.0,821114000.0,879635000.0,923743000.0,1032575000.0,1118601000.0,1178959000.0,1233252000.0,,,,,,,768416000.0,879635000.0,1032575000.0,1178959000.0,,,,,879635000.0,1118601000.0,,,,768416000.0,1032575000.0,,,,923743000.0,,,,,CommonMetricExtracted
Interest,,,,,98311000.0,91151000.0,99668000.0,124524000.0,118522000.0,112295000.0,105731000.0,102030000.0,100570000.0,104993000.0,104223000.0,102771000.0,108718000.0,116562000.0,132342000.0,137710000.0,,,98311000.0,99668000.0,118522000.0,105731000.0,100570000.0,104223000.0,108718000.0,132342000.0,,91151000.0,118522000.0,102030000.0,104223000.0,116562000.0,,98311000.0,118522000.0,100570000.0,108718000.0,,91151000.0,105731000.0,102771000.0,,105731000.0,91151000.0,,CommonMetricExtracted
Taxes,,,,,,60397000.0,39957000.0,74416000.0,127568000.0,139014000.0,150340000.0,187458000.0,211546000.0,227743000.0,293243000.0,241796000.0,279524000.0,314420000.0,316619000.0,381060000.0,,,,39957000.0,127568000.0,150340000.0,211546000.0,293243000.0,279524000.0,316619000.0,,60397000.0,127568000.0,187458000.0,293243000.0,314420000.0,,,127568000.0,211546000.0,279524000.0,,60397000.0,150340000.0,241796000.0,,150340000.0,60397000.0,,CommonMetricExtracted
NetIncome,,,,,,60397000.0,42504000.0,74459000.0,125905000.0,138468000.0,150512000.0,187132000.0,210377000.0,226386000.0,295922000.0,241416000.0,276000000.0,298825000.0,329677000.0,384818000.0,,,,42504000.0,125905000.0,150512000.0,210377000.0,295922000.0,276000000.0,329677000.0,,60397000.0,125905000.0,187132000.0,295922000.0,298825000.0,,,125905000.0,210377000.0,276000000.0,,60397000.0,150512000.0,241416000.0,,150512000.0,60397000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,86479000.0,61795000.0,35631000.0,,,24060000.0,123398000.0,22347000.0,29937000.0,24576000.0,,,,,,61795000.0,,24060000.0,22347000.0,24576000.0,,,86479000.0,,123398000.0,24576000.0,,,61795000.0,24060000.0,24576000.0,,,,24576000.0,,24576000.0,24576000.0,24576000.0,CommonMetricExtracted
CurrentReceivables,,,,,29952000.0,25726000.0,64239000.0,53172000.0,42990000.0,37137000.0,35463000.0,34520000.0,49477000.0,,,35844000.0,39955000.0,45356000.0,49937000.0,50726000.0,,,25726000.0,53172000.0,37137000.0,34520000.0,,35844000.0,45356000.0,50726000.0,29952000.0,53172000.0,35463000.0,,39955000.0,50726000.0,,53172000.0,34520000.0,35844000.0,50726000.0,29952000.0,37137000.0,,50726000.0,37137000.0,50726000.0,50726000.0,50726000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
