,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,11824000000.0,13683000000.0,14863000000.0,14294000000.0,16215000000.0,17737000000.0,15910000000.0,15608000000.0,,,,,,,11824000000.0,14863000000.0,16215000000.0,15910000000.0,,,,,14863000000.0,17737000000.0,,,,11824000000.0,16215000000.0,,,,14294000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,2158200000.0,2100600000.0,2181100000.0,2434000000.0,2844000000.0,3387000000.0,3552000000.0,3834000000.0,4305000000.0,4564000000.0,4424000000.0,,,,,,2100600000.0,2434000000.0,3387000000.0,3834000000.0,4564000000.0,,,,2181100000.0,3387000000.0,4305000000.0,,,,2434000000.0,3834000000.0,,,2100600000.0,3552000000.0,,2100600000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,6985900000.0,7073500000.0,7337800000.0,7460000000.0,8553000000.0,8857000000.0,8637000000.0,9371000000.0,9888000000.0,9575000000.0,9621000000.0,,,,,,7073500000.0,7460000000.0,8857000000.0,9371000000.0,9575000000.0,,,,7337800000.0,8857000000.0,9888000000.0,,,,7460000000.0,9371000000.0,,,7073500000.0,8637000000.0,,7073500000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,1827600000.0,1606300000.0,1610300000.0,1704000000.0,2055000000.0,2313000000.0,606000000.0,2618000000.0,3170000000.0,1509000000.0,970000000.0,,,,,,1606300000.0,1704000000.0,2313000000.0,2618000000.0,1509000000.0,,,,1610300000.0,2313000000.0,3170000000.0,,,,1704000000.0,2618000000.0,,,1606300000.0,606000000.0,,1606300000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,59400000.0,60000000.0,70700000.0,103000000.0,128000000.0,133000000.0,161000000.0,173000000.0,167000000.0,255000000.0,378000000.0,,,,,,60000000.0,103000000.0,133000000.0,173000000.0,255000000.0,,,,70700000.0,133000000.0,167000000.0,,,,103000000.0,173000000.0,,,60000000.0,161000000.0,,60000000.0,,,CommonMetricExtracted
Taxes,,,,,,,,,,567700000.0,467200000.0,434400000.0,361000000.0,863000000.0,513000000.0,350000000.0,456000000.0,628000000.0,387000000.0,363000000.0,,,,,,467200000.0,361000000.0,513000000.0,456000000.0,387000000.0,,,,434400000.0,513000000.0,628000000.0,,,,361000000.0,456000000.0,,,467200000.0,350000000.0,,467200000.0,,,CommonMetricExtracted
NetIncome,,,,,,482400000.0,703800000.0,860500000.0,1023800000.0,1209100000.0,1093400000.0,1121000000.0,1256000000.0,1117000000.0,1794000000.0,696000000.0,2875000000.0,2408000000.0,1010000000.0,409000000.0,,,,703800000.0,1023800000.0,1093400000.0,1256000000.0,1794000000.0,2875000000.0,1010000000.0,,482400000.0,1023800000.0,1121000000.0,1794000000.0,2408000000.0,,,1023800000.0,1256000000.0,2875000000.0,,482400000.0,1093400000.0,696000000.0,,1093400000.0,482400000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentReceivables,,,,,,746200000.0,945600000.0,1060300000.0,1171700000.0,1379300000.0,1174500000.0,1258300000.0,1395000000.0,1487000000.0,,,,,,,,,746200000.0,1060300000.0,1379300000.0,1258300000.0,1487000000.0,,,,,1060300000.0,1174500000.0,1487000000.0,,,,1060300000.0,1258300000.0,,,,1379300000.0,,,1379300000.0,,,,CommonMetricExtracted
