,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,43591000.0,55959000.0,77877000.0,92868000.0,,,,,,,,,43591000.0,77877000.0,,,,,,55959000.0,,,,,43591000.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,23838000.0,36127000.0,,,,,,,,,,23838000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,4881000.0,9048000.0,11648000.0,13490000.0,,,,,,,,,4881000.0,11648000.0,,,,,,9048000.0,,,,,4881000.0,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,6345000.0,7148000.0,7642000.0,7710000.0,7092000.0,6910000.0,7553000.0,6344000.0,9749000.0,11395000.0,12299000.0,14916000.0,14631000.0,12375000.0,15317000.0,,,,7148000.0,7710000.0,6910000.0,6344000.0,11395000.0,14916000.0,12375000.0,,6345000.0,7710000.0,7553000.0,11395000.0,14631000.0,,,7710000.0,6344000.0,14916000.0,,6345000.0,6910000.0,12299000.0,,6910000.0,6345000.0,,CommonMetricExtracted
Cash,,,,19392000.0,16747000.0,29226000.0,31886000.0,35660000.0,24577000.0,43412000.0,44227000.0,45632000.0,53073000.0,41365000.0,41053000.0,94939000.0,158449000.0,37572000.0,88996000.0,68909000.0,,19392000.0,29226000.0,35660000.0,43412000.0,45632000.0,41365000.0,94939000.0,37572000.0,68909000.0,16747000.0,35660000.0,44227000.0,41365000.0,158449000.0,68909000.0,19392000.0,35660000.0,45632000.0,94939000.0,68909000.0,16747000.0,43412000.0,41053000.0,68909000.0,43412000.0,68909000.0,68909000.0,68909000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,506000.0,1126000.0,2552000.0,2892000.0,1429000.0,2342000.0,3029000.0,3194000.0,1197044000.0,2735684000.0,2858534000.0,,,,,506000.0,2552000.0,1429000.0,3029000.0,1197044000.0,2858534000.0,,,1126000.0,1429000.0,3194000.0,2858534000.0,,,2552000.0,3029000.0,2858534000.0,,506000.0,2342000.0,2858534000.0,506000.0,2858534000.0,2858534000.0,2858534000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
