,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1175270000.0,1342532000.0,1550497000.0,1591066000.0,1859313000.0,2298893000.0,3282033000.0,3523926000.0,3241208000.0,,,,,,,1342532000.0,1591066000.0,2298893000.0,3523926000.0,,,,1175270000.0,1591066000.0,3282033000.0,,,,1342532000.0,2298893000.0,,,,1859313000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,260832000.0,377773000.0,423329000.0,408520000.0,399245000.0,585386000.0,610890000.0,666579000.0,733547000.0,830666000.0,879413000.0,1009591000.0,1239229000.0,1885620000.0,2026321000.0,1754489000.0,,,260832000.0,423329000.0,399245000.0,610890000.0,733547000.0,879413000.0,1239229000.0,2026321000.0,,377773000.0,399245000.0,666579000.0,879413000.0,1885620000.0,,260832000.0,399245000.0,733547000.0,1239229000.0,,377773000.0,610890000.0,1009591000.0,,610890000.0,377773000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,117001000.0,147051000.0,140847000.0,147405000.0,137123000.0,231833000.0,198914000.0,201901000.0,216194000.0,246534000.0,284807000.0,265128000.0,292408000.0,543485000.0,576194000.0,446567000.0,,,117001000.0,140847000.0,137123000.0,198914000.0,216194000.0,284807000.0,292408000.0,576194000.0,,147051000.0,137123000.0,201901000.0,284807000.0,543485000.0,,117001000.0,137123000.0,216194000.0,292408000.0,,147051000.0,198914000.0,265128000.0,,198914000.0,147051000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,35039000.0,43934000.0,47980000.0,50940000.0,55320000.0,87711000.0,105900000.0,106991000.0,106951000.0,118456000.0,121140000.0,136057000.0,167632000.0,228994000.0,277313000.0,316111000.0,,,35039000.0,47980000.0,55320000.0,105900000.0,106951000.0,121140000.0,167632000.0,277313000.0,,43934000.0,55320000.0,106991000.0,121140000.0,228994000.0,,35039000.0,55320000.0,106951000.0,167632000.0,,43934000.0,105900000.0,136057000.0,,105900000.0,43934000.0,,CommonMetricExtracted
OperatingMargin,,,,,-48928000.0,106427000.0,126878000.0,99444000.0,94237000.0,21354000.0,118068000.0,155536000.0,241817000.0,292689000.0,239278000.0,395445000.0,551768000.0,479981000.0,499158000.0,533922000.0,,,-48928000.0,126878000.0,94237000.0,118068000.0,241817000.0,239278000.0,551768000.0,499158000.0,,106427000.0,94237000.0,155536000.0,239278000.0,479981000.0,,-48928000.0,94237000.0,241817000.0,551768000.0,,106427000.0,118068000.0,395445000.0,,118068000.0,106427000.0,,CommonMetricExtracted
Interest,,,,,9440000.0,3598000.0,886000.0,271000.0,153000.0,33355000.0,38667000.0,36846000.0,32343000.0,34094000.0,46962000.0,48600000.0,41240000.0,212669000.0,312378000.0,215217000.0,,,9440000.0,886000.0,153000.0,38667000.0,32343000.0,46962000.0,41240000.0,312378000.0,,3598000.0,153000.0,36846000.0,46962000.0,212669000.0,,9440000.0,153000.0,32343000.0,41240000.0,,3598000.0,38667000.0,48600000.0,,38667000.0,3598000.0,,CommonMetricExtracted
Taxes,,,,,-2996000.0,15006000.0,4217000.0,30881000.0,21669000.0,-21572000.0,10202000.0,22852000.0,99665000.0,13677000.0,63189000.0,59318000.0,69950000.0,38160000.0,-8413000.0,28332000.0,,,-2996000.0,4217000.0,21669000.0,10202000.0,99665000.0,63189000.0,69950000.0,-8413000.0,,15006000.0,21669000.0,22852000.0,63189000.0,38160000.0,,-2996000.0,21669000.0,99665000.0,69950000.0,,15006000.0,10202000.0,59318000.0,,10202000.0,15006000.0,,CommonMetricExtracted
NetIncome,,,,,-57721000.0,84356000.0,123846000.0,68825000.0,74526000.0,7887000.0,80296000.0,97147000.0,85066000.0,240755000.0,254860000.0,294969000.0,409126000.0,208920000.0,180669000.0,292787000.0,,,-57721000.0,123846000.0,74526000.0,80296000.0,85066000.0,254860000.0,409126000.0,180669000.0,,84356000.0,74526000.0,97147000.0,254860000.0,208920000.0,,-57721000.0,74526000.0,85066000.0,409126000.0,,84356000.0,80296000.0,294969000.0,,80296000.0,84356000.0,,CommonMetricExtracted
Cash,,,,115033000.0,68700000.0,133954000.0,273593000.0,330419000.0,384426000.0,389699000.0,349825000.0,406389000.0,,482062000.0,,580893000.0,402565000.0,563439000.0,456929000.0,329213000.0,,115033000.0,133954000.0,330419000.0,389699000.0,406389000.0,482062000.0,580893000.0,563439000.0,329213000.0,68700000.0,330419000.0,349825000.0,482062000.0,402565000.0,329213000.0,115033000.0,330419000.0,406389000.0,580893000.0,329213000.0,68700000.0,389699000.0,,329213000.0,389699000.0,329213000.0,329213000.0,329213000.0,CommonMetricExtracted
CurrentReceivables,,,,,,124732000.0,107223000.0,94016000.0,101873000.0,153961000.0,141409000.0,165675000.0,,222055000.0,,264392000.0,347413000.0,535485000.0,457052000.0,495312000.0,,,124732000.0,94016000.0,153961000.0,165675000.0,222055000.0,264392000.0,535485000.0,495312000.0,,94016000.0,141409000.0,222055000.0,347413000.0,495312000.0,,94016000.0,165675000.0,264392000.0,495312000.0,,153961000.0,,495312000.0,153961000.0,495312000.0,495312000.0,495312000.0,CommonMetricExtracted
