,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,5562140000.0,5998545000.0,6635537000.0,7263105000.0,8188136000.0,8748000000.0,,,,,,,,5562140000.0,6635537000.0,8188136000.0,,,,,5562140000.0,7263105000.0,,,,,6635537000.0,,,,5998545000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,414799000.0,483420000.0,674667000.0,867641000.0,,1064403000.0,1197885000.0,1291506000.0,1820870000.0,2193149000.0,2605475000.0,2810184000.0,3074340000.0,3472422000.0,3751501000.0,4228000000.0,4467000000.0,,,483420000.0,867641000.0,1064403000.0,1291506000.0,2193149000.0,2810184000.0,3472422000.0,4228000000.0,,674667000.0,1064403000.0,1820870000.0,2810184000.0,3751501000.0,,483420000.0,1064403000.0,2193149000.0,3472422000.0,,674667000.0,1291506000.0,3074340000.0,,1291506000.0,674667000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,66913000.0,63584000.0,111104000.0,159091000.0,,246623000.0,296103000.0,332012000.0,438742000.0,581724000.0,633702000.0,651046000.0,718356000.0,741232000.0,787000000.0,855796000.0,891000000.0,,,63584000.0,159091000.0,246623000.0,332012000.0,581724000.0,651046000.0,741232000.0,855796000.0,,111104000.0,246623000.0,438742000.0,651046000.0,787000000.0,,63584000.0,246623000.0,581724000.0,741232000.0,,111104000.0,332012000.0,718356000.0,,332012000.0,111104000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,73262000.0,181079000.0,194711000.0,307163000.0,,460932000.0,509266000.0,567342000.0,618739000.0,809014000.0,977383000.0,1169631000.0,1052928000.0,1108162000.0,1200528000.0,1443274000.0,1328000000.0,,,181079000.0,307163000.0,460932000.0,567342000.0,809014000.0,1169631000.0,1108162000.0,1443274000.0,,194711000.0,460932000.0,618739000.0,1169631000.0,1200528000.0,,181079000.0,460932000.0,809014000.0,1108162000.0,,194711000.0,567342000.0,1052928000.0,,567342000.0,194711000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,356000000.0,402000000.0,457000000.0,,,,,,,,,,402000000.0,,,,,,356000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,-87619000.0,39597000.0,12999000.0,38351000.0,,16156000.0,345459000.0,23224000.0,45451000.0,53850000.0,67679000.0,185352000.0,146151000.0,109224000.0,124792000.0,155250000.0,161000000.0,,,39597000.0,38351000.0,16156000.0,23224000.0,53850000.0,185352000.0,109224000.0,155250000.0,,12999000.0,16156000.0,45451000.0,185352000.0,124792000.0,,39597000.0,16156000.0,53850000.0,109224000.0,,12999000.0,23224000.0,146151000.0,,23224000.0,12999000.0,,CommonMetricExtracted
NetIncome,,,,107924000.0,69431000.0,36881000.0,94004000.0,,94685000.0,-259547000.0,187774000.0,126800000.0,232982000.0,365359000.0,507450000.0,369777000.0,500191000.0,705000000.0,969178000.0,815000000.0,,,69431000.0,94004000.0,94685000.0,187774000.0,232982000.0,507450000.0,500191000.0,969178000.0,,36881000.0,94685000.0,126800000.0,507450000.0,705000000.0,,69431000.0,94685000.0,232982000.0,500191000.0,,36881000.0,187774000.0,369777000.0,,187774000.0,36881000.0,,CommonMetricExtracted
Cash,,,290633000.0,220207000.0,346056000.0,442841000.0,278823000.0,252213000.0,685019000.0,610917000.0,2228838000.0,748476000.0,1412517000.0,,,1604869000.0,1536358000.0,1906421000.0,2096000000.0,3081000000.0,,220207000.0,442841000.0,252213000.0,610917000.0,748476000.0,,1604869000.0,1906421000.0,3081000000.0,346056000.0,252213000.0,2228838000.0,,1536358000.0,3081000000.0,220207000.0,252213000.0,748476000.0,1604869000.0,3081000000.0,346056000.0,610917000.0,,3081000000.0,610917000.0,3081000000.0,3081000000.0,3081000000.0,CommonMetricExtracted
CurrentReceivables,,,,,64767000.0,116358000.0,139057000.0,163840000.0,,262570000.0,291964000.0,396245000.0,576313000.0,576313000.0,,676738000.0,681809000.0,855380000.0,1004000000.0,949000000.0,,,116358000.0,163840000.0,262570000.0,396245000.0,576313000.0,676738000.0,855380000.0,949000000.0,64767000.0,163840000.0,291964000.0,576313000.0,681809000.0,949000000.0,,163840000.0,396245000.0,676738000.0,949000000.0,64767000.0,262570000.0,,949000000.0,262570000.0,949000000.0,949000000.0,949000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,727887000.0,778048000.0,1235757000.0,640092000.0,,1490943000.0,3259280000.0,1467526000.0,2249128000.0,,,2609155000.0,2957101000.0,3305255000.0,3568000000.0,5447000000.0,,,778048000.0,640092000.0,1490943000.0,1467526000.0,,2609155000.0,3305255000.0,5447000000.0,727887000.0,640092000.0,3259280000.0,,2957101000.0,5447000000.0,,640092000.0,1467526000.0,2609155000.0,5447000000.0,727887000.0,1490943000.0,,5447000000.0,1490943000.0,5447000000.0,5447000000.0,5447000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,1808115000.0,2650953000.0,3225912000.0,3918999000.0,,4998270000.0,5606436000.0,7199210000.0,9394602000.0,,10732909000.0,14503084000.0,15445775000.0,16649534000.0,18601000000.0,19249000000.0,,,2650953000.0,3918999000.0,4998270000.0,7199210000.0,,14503084000.0,16649534000.0,19249000000.0,1808115000.0,3918999000.0,5606436000.0,,15445775000.0,19249000000.0,,3918999000.0,7199210000.0,14503084000.0,19249000000.0,1808115000.0,4998270000.0,10732909000.0,19249000000.0,4998270000.0,19249000000.0,19249000000.0,19249000000.0,CommonMetricExtracted
Goodwill,,,,,381050000.0,774365000.0,866495000.0,1042564000.0,,1002129000.0,1063200000.0,2986064000.0,4411762000.0,,,5472553000.0,5372071000.0,5654217000.0,5737122000.0,5504000000.0,,,774365000.0,1042564000.0,1002129000.0,2986064000.0,,5472553000.0,5654217000.0,5504000000.0,381050000.0,1042564000.0,1063200000.0,,5372071000.0,5504000000.0,,1042564000.0,2986064000.0,5472553000.0,5504000000.0,381050000.0,1002129000.0,,5504000000.0,1002129000.0,5504000000.0,5504000000.0,5504000000.0,CommonMetricExtracted
IntangibleAssets,,,,,,150945000.0,148635000.0,201562000.0,,147527000.0,224565000.0,719231000.0,2384972000.0,,2310091000.0,2170945000.0,1936000000.0,1898000000.0,1705000000.0,1417000000.0,,,150945000.0,201562000.0,147527000.0,719231000.0,,2170945000.0,1898000000.0,1417000000.0,,201562000.0,224565000.0,,1936000000.0,1417000000.0,,201562000.0,719231000.0,2170945000.0,1417000000.0,,147527000.0,2310091000.0,1417000000.0,147527000.0,1417000000.0,1417000000.0,1417000000.0,CommonMetricExtracted
TotalAssets,,,,,3038150000.0,4448009000.0,5785324000.0,6135797000.0,,7817433000.0,10356695000.0,12608371000.0,18691457000.0,,,27006841000.0,27918698000.0,30310742000.0,32651000000.0,35085000000.0,,,4448009000.0,6135797000.0,7817433000.0,12608371000.0,,27006841000.0,30310742000.0,35085000000.0,3038150000.0,6135797000.0,10356695000.0,,27918698000.0,35085000000.0,,6135797000.0,12608371000.0,27006841000.0,35085000000.0,3038150000.0,7817433000.0,,35085000000.0,7817433000.0,35085000000.0,35085000000.0,35085000000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,529287000.0,266169000.0,485278000.0,509815000.0,,879948000.0,1643953000.0,2018754000.0,2176866000.0,,,2214405000.0,1498808000.0,1657355000.0,2256263000.0,2229000000.0,,,266169000.0,509815000.0,879948000.0,2018754000.0,,2214405000.0,1657355000.0,2229000000.0,529287000.0,509815000.0,1643953000.0,,1498808000.0,2229000000.0,,509815000.0,2018754000.0,2214405000.0,2229000000.0,529287000.0,879948000.0,,2229000000.0,879948000.0,2229000000.0,2229000000.0,2229000000.0,CommonMetricExtracted
CurrentLiability,,,,,455678000.0,516597000.0,1011987000.0,967269000.0,,1092217000.0,2249588000.0,1743574000.0,2121905000.0,143699000.0,335740000.0,3515870000.0,2991487000.0,3385402000.0,4920907000.0,5107000000.0,,,516597000.0,967269000.0,1092217000.0,1743574000.0,143699000.0,3515870000.0,3385402000.0,5107000000.0,455678000.0,967269000.0,2249588000.0,143699000.0,2991487000.0,5107000000.0,,967269000.0,1743574000.0,3515870000.0,5107000000.0,455678000.0,1092217000.0,335740000.0,5107000000.0,1092217000.0,5107000000.0,5107000000.0,5107000000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,94666000.0,228760000.0,286424000.0,245725000.0,,304964000.0,390413000.0,623248000.0,661710000.0,598659000.0,3018941000.0,4042442000.0,3860259000.0,4214365000.0,4250333000.0,4177000000.0,,,228760000.0,245725000.0,304964000.0,623248000.0,598659000.0,4042442000.0,4214365000.0,4177000000.0,94666000.0,245725000.0,390413000.0,598659000.0,3860259000.0,4177000000.0,,245725000.0,623248000.0,4042442000.0,4177000000.0,94666000.0,304964000.0,3018941000.0,4177000000.0,304964000.0,4177000000.0,4177000000.0,4177000000.0,CommonMetricExtracted
TotalLiability,,,,,1855667000.0,2567494000.0,3765511000.0,3738178000.0,,5547302000.0,7611309000.0,8242542000.0,11841667000.0,,,16372723000.0,17036934000.0,18804910000.0,20137225000.0,21533000000.0,,,2567494000.0,3738178000.0,5547302000.0,8242542000.0,,16372723000.0,18804910000.0,21533000000.0,1855667000.0,3738178000.0,7611309000.0,,17036934000.0,21533000000.0,,3738178000.0,8242542000.0,16372723000.0,21533000000.0,1855667000.0,5547302000.0,,21533000000.0,5547302000.0,21533000000.0,21533000000.0,21533000000.0,CommonMetricExtracted
ShareholderEquity,,,861992000.0,916661000.0,1182483000.0,1880515000.0,1952212000.0,2335273000.0,,2270131000.0,2745386000.0,4365829000.0,6849790000.0,,,10633988000.0,10882082000.0,11505966000.0,12489000000.0,13528000000.0,,916661000.0,1880515000.0,2335273000.0,2270131000.0,4365829000.0,,10633988000.0,11505966000.0,13528000000.0,1182483000.0,2335273000.0,2745386000.0,,10882082000.0,13528000000.0,916661000.0,2335273000.0,4365829000.0,10633988000.0,13528000000.0,1182483000.0,2270131000.0,,13528000000.0,2270131000.0,13528000000.0,13528000000.0,13528000000.0,CommonMetricExtracted
OperatingCashFlow,,,,267558000.0,355492000.0,392872000.0,587609000.0,632026000.0,604608000.0,689420000.0,894823000.0,1019353000.0,1439233000.0,1815426000.0,1992728000.0,2309826000.0,2547206000.0,2963182000.0,3217000000.0,3249000000.0,,,355492000.0,587609000.0,604608000.0,894823000.0,1439233000.0,1992728000.0,2547206000.0,3217000000.0,,392872000.0,604608000.0,1019353000.0,1992728000.0,2963182000.0,,355492000.0,604608000.0,1439233000.0,2547206000.0,,392872000.0,894823000.0,2309826000.0,,894823000.0,392872000.0,,CommonMetricExtracted
CapitalExpenditures,,,,447032000.0,369542000.0,579397000.0,685675000.0,764500000.0,572406000.0,660203000.0,868120000.0,1113365000.0,1378725000.0,2096174000.0,2079521000.0,2282504000.0,2751512000.0,2278004000.0,2781018000.0,3066000000.0,,,369542000.0,685675000.0,572406000.0,868120000.0,1378725000.0,2079521000.0,2751512000.0,2781018000.0,,579397000.0,572406000.0,1113365000.0,2079521000.0,2278004000.0,,369542000.0,572406000.0,1378725000.0,2751512000.0,,579397000.0,868120000.0,2282504000.0,,868120000.0,579397000.0,,CommonMetricExtracted
