,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1770100000.0,1878600000.0,1961000000.0,1835900000.0,1853700000.0,2399800000.0,2549400000.0,2333200000.0,2456900000.0,,,,,,,1878600000.0,1835900000.0,2399800000.0,2333200000.0,,,,1770100000.0,1835900000.0,2549400000.0,,,,1878600000.0,2399800000.0,,,,1853700000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,992800000.0,1064800000.0,1123400000.0,1047600000.0,1067700000.0,1439000000.0,1596700000.0,1414700000.0,1421200000.0,,,,,,,1064800000.0,1047600000.0,1439000000.0,1414700000.0,,,,992800000.0,1047600000.0,1596700000.0,,,,1064800000.0,1439000000.0,,,,1067700000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,306099000.0,380567000.0,445125000.0,439808000.0,400856000.0,397541000.0,389116000.0,857500000.0,1123300000.0,1109300000.0,544800000.0,497000000.0,504700000.0,611200000.0,578600000.0,596800000.0,628800000.0,,,380567000.0,439808000.0,397541000.0,857500000.0,1109300000.0,497000000.0,611200000.0,596800000.0,,445125000.0,397541000.0,1123300000.0,497000000.0,578600000.0,,380567000.0,397541000.0,1109300000.0,611200000.0,,445125000.0,857500000.0,504700000.0,,857500000.0,445125000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,26200000.0,62800000.0,84400000.0,98400000.0,44300000.0,42200000.0,48600000.0,49700000.0,48800000.0,68100000.0,63000000.0,,,,,,62800000.0,98400000.0,42200000.0,49700000.0,68100000.0,,,,84400000.0,42200000.0,48800000.0,,,,98400000.0,49700000.0,,,62800000.0,48600000.0,,62800000.0,,,CommonMetricExtracted
OperatingMargin,,,,325465000.0,488792000.0,613549000.0,507076000.0,230363000.0,61181000.0,212200000.0,79161000.0,253400000.0,221300000.0,248500000.0,249100000.0,232700000.0,299900000.0,325300000.0,173600000.0,343900000.0,,,488792000.0,507076000.0,61181000.0,79161000.0,221300000.0,249100000.0,299900000.0,173600000.0,,613549000.0,61181000.0,253400000.0,249100000.0,325300000.0,,488792000.0,61181000.0,221300000.0,299900000.0,,613549000.0,79161000.0,232700000.0,,79161000.0,613549000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,125854000.0,191094000.0,239969000.0,200401000.0,89018000.0,-10212000.0,20397000.0,75100000.0,28600000.0,6600000.0,23800000.0,61300000.0,4300000.0,48300000.0,85800000.0,13000000.0,44800000.0,,,191094000.0,200401000.0,-10212000.0,75100000.0,6600000.0,61300000.0,48300000.0,13000000.0,,239969000.0,-10212000.0,28600000.0,61300000.0,85800000.0,,191094000.0,-10212000.0,6600000.0,48300000.0,,239969000.0,75100000.0,4300000.0,,75100000.0,239969000.0,,CommonMetricExtracted
NetIncome,,,,,,,,46300000.0,,-24200000.0,-304400000.0,-76700000.0,-295600000.0,-319900000.0,92900000.0,75700000.0,203700000.0,188000000.0,118200000.0,244500000.0,,,,,,-304400000.0,-295600000.0,92900000.0,203700000.0,118200000.0,,,,-76700000.0,92900000.0,188000000.0,,,,-295600000.0,203700000.0,,,-304400000.0,75700000.0,,-304400000.0,,,CommonMetricExtracted
Cash,,,7228000.0,226255000.0,128788000.0,163779000.0,228993000.0,246342000.0,,397300000.0,432200000.0,422600000.0,477800000.0,,190100000.0,291900000.0,330100000.0,265600000.0,289300000.0,359400000.0,,226255000.0,163779000.0,246342000.0,397300000.0,422600000.0,,291900000.0,265600000.0,359400000.0,128788000.0,246342000.0,432200000.0,,330100000.0,359400000.0,226255000.0,246342000.0,422600000.0,291900000.0,359400000.0,128788000.0,397300000.0,190100000.0,359400000.0,397300000.0,359400000.0,359400000.0,359400000.0,CommonMetricExtracted
CurrentReceivables,,,,,85426000.0,68937000.0,48106000.0,78928000.0,,327300000.0,1023000000.0,1054800000.0,1156000000.0,,363900000.0,403400000.0,492200000.0,455800000.0,461800000.0,439600000.0,,,68937000.0,78928000.0,327300000.0,1054800000.0,,403400000.0,455800000.0,439600000.0,85426000.0,78928000.0,1023000000.0,,492200000.0,439600000.0,,78928000.0,1054800000.0,403400000.0,439600000.0,85426000.0,327300000.0,363900000.0,439600000.0,327300000.0,439600000.0,439600000.0,439600000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,14500000.0,72200000.0,71300000.0,42800000.0,,18300000.0,24000000.0,29400000.0,38500000.0,32500000.0,22700000.0,,,,,14500000.0,71300000.0,,24000000.0,38500000.0,22700000.0,,,72200000.0,,29400000.0,22700000.0,,,71300000.0,24000000.0,22700000.0,,14500000.0,18300000.0,22700000.0,14500000.0,22700000.0,22700000.0,22700000.0,CommonMetricExtracted
Inventory,,,,,,,,,,205800000.0,517500000.0,416400000.0,490400000.0,,199600000.0,203100000.0,274400000.0,290700000.0,298900000.0,246200000.0,,,,,205800000.0,416400000.0,,203100000.0,290700000.0,246200000.0,,,517500000.0,,274400000.0,246200000.0,,,416400000.0,203100000.0,246200000.0,,205800000.0,199600000.0,246200000.0,205800000.0,246200000.0,246200000.0,246200000.0,CommonMetricExtracted
CurrentAssets,,,,,390962000.0,414097000.0,456288000.0,386580000.0,,1578400000.0,2270500000.0,2071200000.0,2340600000.0,,833400000.0,989900000.0,1214500000.0,1188700000.0,1197500000.0,1270000000.0,,,414097000.0,386580000.0,1578400000.0,2071200000.0,,989900000.0,1188700000.0,1270000000.0,390962000.0,386580000.0,2270500000.0,,1214500000.0,1270000000.0,,386580000.0,2071200000.0,989900000.0,1270000000.0,390962000.0,1578400000.0,833400000.0,1270000000.0,1578400000.0,1270000000.0,1270000000.0,1270000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,195449000.0,198213000.0,201257000.0,189890000.0,,178600000.0,491600000.0,460500000.0,452300000.0,,264800000.0,240400000.0,278100000.0,277200000.0,296900000.0,276800000.0,,,198213000.0,189890000.0,178600000.0,460500000.0,,240400000.0,277200000.0,276800000.0,195449000.0,189890000.0,491600000.0,,278100000.0,276800000.0,,189890000.0,460500000.0,240400000.0,276800000.0,195449000.0,178600000.0,264800000.0,276800000.0,178600000.0,276800000.0,276800000.0,276800000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,1405300000.0,4021900000.0,4178900000.0,4201200000.0,,2179600000.0,2252700000.0,2526300000.0,2412800000.0,2336700000.0,2132000000.0,,,,,1405300000.0,4178900000.0,,2252700000.0,2412800000.0,2132000000.0,,,4021900000.0,,2526300000.0,2132000000.0,,,4178900000.0,2252700000.0,2132000000.0,,1405300000.0,2179600000.0,2132000000.0,1405300000.0,2132000000.0,2132000000.0,2132000000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,1341500000.0,3314300000.0,3233300000.0,3137300000.0,,944400000.0,855900000.0,956700000.0,805500000.0,879300000.0,732000000.0,,,,,1341500000.0,3233300000.0,,855900000.0,805500000.0,732000000.0,,,3314300000.0,,956700000.0,732000000.0,,,3233300000.0,855900000.0,732000000.0,,1341500000.0,944400000.0,732000000.0,1341500000.0,732000000.0,732000000.0,732000000.0,CommonMetricExtracted
TotalAssets,,,,,616705000.0,674780000.0,728818000.0,675204000.0,6614000.0,4557600000.0,10190200000.0,10054100000.0,10252400000.0,,4324400000.0,4483400000.0,5138400000.0,4903700000.0,4974100000.0,4873900000.0,,,674780000.0,675204000.0,4557600000.0,10054100000.0,,4483400000.0,4903700000.0,4873900000.0,616705000.0,675204000.0,10190200000.0,,5138400000.0,4873900000.0,,675204000.0,10054100000.0,4483400000.0,4873900000.0,616705000.0,4557600000.0,4324400000.0,4873900000.0,4557600000.0,4873900000.0,4873900000.0,4873900000.0,CommonMetricExtracted
