,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,1363899000.0,1400053000.0,1460155000.0,1495748000.0,1440556000.0,1606814000.0,1669395000.0,1774450000.0,,,,,,,1363899000.0,1460155000.0,1440556000.0,1669395000.0,,,,,1460155000.0,1606814000.0,,,,1363899000.0,1440556000.0,,,,1495748000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,0.0,0.0,4284000.0,53530000.0,3798000.0,1841000.0,1569000.0,194000.0,168000.0,1591000.0,203000.0,2132000.0,595000.0,72000.0,,,,0.0,4284000.0,3798000.0,1569000.0,168000.0,203000.0,595000.0,,,4284000.0,1841000.0,168000.0,2132000.0,,,4284000.0,1569000.0,203000.0,,,3798000.0,1591000.0,,3798000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,1354325000.0,1390870000.0,1450628000.0,1486150000.0,1431418000.0,1595675000.0,1658264000.0,1764185000.0,,,,,,,1354325000.0,1450628000.0,1431418000.0,1658264000.0,,,,,1450628000.0,1595675000.0,,,,1354325000.0,1431418000.0,,,,1486150000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,204798000.0,212905000.0,235529000.0,,,,,,,,,,212905000.0,,,,,,204798000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,33107000.0,36772000.0,39612000.0,44002000.0,48651000.0,57276000.0,107873000.0,128555000.0,139162000.0,146310000.0,151570000.0,155170000.0,177011000.0,180367000.0,183918000.0,185807000.0,193413000.0,,,36772000.0,44002000.0,57276000.0,128555000.0,146310000.0,155170000.0,180367000.0,185807000.0,,39612000.0,57276000.0,139162000.0,155170000.0,183918000.0,,36772000.0,57276000.0,146310000.0,180367000.0,,39612000.0,128555000.0,177011000.0,,128555000.0,39612000.0,,CommonMetricExtracted
NetIncome,,,,84395000.0,53739000.0,50782000.0,57516000.0,139590000.0,172055000.0,134438000.0,248239000.0,438410000.0,458043000.0,413599000.0,464448000.0,599332000.0,515691000.0,432985000.0,430708000.0,811306000.0,,,53739000.0,57516000.0,172055000.0,248239000.0,458043000.0,464448000.0,515691000.0,430708000.0,,50782000.0,172055000.0,438410000.0,464448000.0,432985000.0,,53739000.0,172055000.0,458043000.0,515691000.0,,50782000.0,248239000.0,599332000.0,,248239000.0,50782000.0,,CommonMetricExtracted
Cash,,,9956000.0,41909000.0,20660000.0,13753000.0,12889000.0,,18491000.0,25610000.0,,64921000.0,44620000.0,134465000.0,70087000.0,73629000.0,48420000.0,33295000.0,391749000.0,66795000.0,,41909000.0,13753000.0,,25610000.0,64921000.0,134465000.0,73629000.0,33295000.0,66795000.0,20660000.0,,,134465000.0,48420000.0,66795000.0,41909000.0,,64921000.0,73629000.0,66795000.0,20660000.0,25610000.0,70087000.0,66795000.0,25610000.0,66795000.0,66795000.0,66795000.0,CommonMetricExtracted
CurrentReceivables,,,,,36305000.0,49444000.0,66369000.0,,68255000.0,24923000.0,,40970000.0,100926000.0,71895000.0,134365000.0,195104000.0,341033000.0,103045000.0,174621000.0,206706000.0,,,49444000.0,,24923000.0,40970000.0,71895000.0,195104000.0,103045000.0,206706000.0,36305000.0,,,71895000.0,341033000.0,206706000.0,,,40970000.0,195104000.0,206706000.0,36305000.0,24923000.0,134365000.0,206706000.0,24923000.0,206706000.0,206706000.0,206706000.0,CommonMetricExtracted
PrepaidExpenses,,,,,21349000.0,25188000.0,22682000.0,,33781000.0,33378000.0,,48450000.0,52397000.0,39439000.0,40935000.0,47340000.0,64964000.0,80755000.0,79171000.0,96861000.0,,,25188000.0,,33378000.0,48450000.0,39439000.0,47340000.0,80755000.0,96861000.0,21349000.0,,,39439000.0,64964000.0,96861000.0,,,48450000.0,47340000.0,96861000.0,21349000.0,33378000.0,40935000.0,96861000.0,33378000.0,96861000.0,96861000.0,96861000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,3412930000.0,4067339000.0,4313064000.0,,5443757000.0,11252511000.0,,12676306000.0,13362073000.0,13366101000.0,14038142000.0,15061745000.0,15629927000.0,15966227000.0,16135223000.0,17589518000.0,,,4067339000.0,,11252511000.0,12676306000.0,13366101000.0,15061745000.0,15966227000.0,17589518000.0,3412930000.0,,,13366101000.0,15629927000.0,17589518000.0,,,12676306000.0,15061745000.0,17589518000.0,3412930000.0,11252511000.0,14038142000.0,17589518000.0,11252511000.0,17589518000.0,17589518000.0,17589518000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
