,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,389507000.0,407144000.0,453869000.0,487374000.0,510588000.0,589796000.0,618409000.0,694709000.0,845486000.0,,,,,,,407144000.0,487374000.0,589796000.0,694709000.0,,,,389507000.0,487374000.0,618409000.0,,,,407144000.0,589796000.0,,,,510588000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,167916000.0,175809000.0,200650000.0,196957000.0,213379000.0,226870000.0,250164000.0,292621000.0,336756000.0,406416000.0,,,,,,167916000.0,200650000.0,213379000.0,250164000.0,336756000.0,,,,175809000.0,213379000.0,292621000.0,,,,200650000.0,250164000.0,,,167916000.0,226870000.0,,167916000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,37278000.0,46986000.0,56161000.0,68717000.0,61411000.0,70808000.0,68048000.0,89770000.0,128172000.0,145558000.0,,,,,,37278000.0,56161000.0,61411000.0,68048000.0,128172000.0,,,,46986000.0,61411000.0,89770000.0,,,,56161000.0,68048000.0,,,37278000.0,70808000.0,,37278000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,103360000.0,107145000.0,86083000.0,125128000.0,144502000.0,141392000.0,196514000.0,157400000.0,136160000.0,165666000.0,,,,,,103360000.0,86083000.0,144502000.0,196514000.0,136160000.0,,,,107145000.0,144502000.0,157400000.0,,,,86083000.0,196514000.0,,,103360000.0,141392000.0,,103360000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,24772000.0,32321000.0,74733000.0,,,,,,,,,,32321000.0,,,,,,24772000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,1435000.0,8901000.0,-3335000.0,8271000.0,4780000.0,12596000.0,12975000.0,19002000.0,20562000.0,28983000.0,5477000.0,4847000.0,,,,,1435000.0,-3335000.0,4780000.0,12975000.0,20562000.0,5477000.0,,,1435000.0,8271000.0,12975000.0,28983000.0,,,1435000.0,4780000.0,20562000.0,,,-3335000.0,19002000.0,,-3335000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,85377000.0,75126000.0,55419000.0,86569000.0,103700000.0,104851000.0,161143000.0,238869000.0,79876000.0,114779000.0,,,,,,85377000.0,55419000.0,103700000.0,161143000.0,79876000.0,,,,75126000.0,103700000.0,238869000.0,,,,55419000.0,161143000.0,,,85377000.0,104851000.0,,85377000.0,,,CommonMetricExtracted
Cash,,,,,,55199000.0,56200000.0,25634000.0,22485000.0,32114000.0,28747000.0,51920000.0,50423000.0,70000000.0,111030000.0,202649000.0,266351000.0,197229000.0,295600000.0,273645000.0,,,55199000.0,25634000.0,32114000.0,51920000.0,70000000.0,202649000.0,197229000.0,273645000.0,,25634000.0,28747000.0,70000000.0,266351000.0,273645000.0,,25634000.0,51920000.0,202649000.0,273645000.0,,32114000.0,111030000.0,273645000.0,32114000.0,273645000.0,273645000.0,273645000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,78621000.0,68434000.0,75810000.0,73715000.0,77803000.0,83328000.0,100323000.0,106812000.0,95727000.0,113285000.0,131080000.0,126510000.0,137501000.0,,,,78621000.0,75810000.0,77803000.0,100323000.0,95727000.0,131080000.0,137501000.0,,78621000.0,73715000.0,100323000.0,113285000.0,137501000.0,,78621000.0,77803000.0,95727000.0,137501000.0,,75810000.0,106812000.0,137501000.0,75810000.0,137501000.0,137501000.0,137501000.0,CommonMetricExtracted
