,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,2963700000.0,3435300000.0,3722800000.0,4348000000.0,4386300000.0,5232500000.0,5382400000.0,6004800000.0,5439500000.0,,,,,,,3435300000.0,4348000000.0,5232500000.0,6004800000.0,,,,2963700000.0,4348000000.0,5382400000.0,,,,3435300000.0,5232500000.0,,,,4386300000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,419600000.0,399100000.0,408300000.0,489800000.0,494600000.0,522400000.0,625600000.0,617200000.0,797400000.0,875300000.0,939400000.0,1114400000.0,1080600000.0,1248900000.0,1080400000.0,1379800000.0,1117500000.0,,,399100000.0,489800000.0,522400000.0,617200000.0,875300000.0,1114400000.0,1248900000.0,1379800000.0,,408300000.0,522400000.0,797400000.0,1114400000.0,1080400000.0,,399100000.0,522400000.0,875300000.0,1248900000.0,,408300000.0,617200000.0,1080600000.0,,617200000.0,408300000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,480600000.0,508800000.0,550000000.0,642400000.0,705300000.0,745600000.0,858000000.0,850700000.0,904700000.0,990800000.0,1088500000.0,1242200000.0,1228400000.0,1493700000.0,1567600000.0,1824600000.0,1789200000.0,,,508800000.0,642400000.0,745600000.0,850700000.0,990800000.0,1242200000.0,1493700000.0,1824600000.0,,550000000.0,745600000.0,904700000.0,1242200000.0,1567600000.0,,508800000.0,745600000.0,990800000.0,1493700000.0,,550000000.0,850700000.0,1228400000.0,,850700000.0,550000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,139200000.0,175500000.0,204400000.0,246300000.0,291300000.0,323000000.0,346500000.0,383100000.0,443300000.0,552600000.0,622200000.0,752700000.0,760700000.0,903100000.0,945200000.0,1071800000.0,1053000000.0,,,175500000.0,246300000.0,323000000.0,383100000.0,552600000.0,752700000.0,903100000.0,1071800000.0,,204400000.0,323000000.0,443300000.0,752700000.0,945200000.0,,175500000.0,323000000.0,552600000.0,903100000.0,,204400000.0,383100000.0,760700000.0,,383100000.0,204400000.0,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,197900000.0,179400000.0,2773700000.0,,,,,,,,,,179400000.0,,,,,,197900000.0,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,19200000.0,17600000.0,19800000.0,,,,,,,,,,17600000.0,,,,,,19200000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,197900000.0,179400000.0,2773700000.0,,,,,,,,,,179400000.0,,,,,,197900000.0,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,1503100000.0,1521900000.0,1402400000.0,4174600000.0,,,,,,,,,1503100000.0,1402400000.0,,,,,,1521900000.0,,,,,1503100000.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,334100000.0,396100000.0,171200000.0,310900000.0,420400000.0,653800000.0,718400000.0,930100000.0,818300000.0,714100000.0,1179100000.0,1183200000.0,862800000.0,769000000.0,1144000000.0,3045200000.0,,,396100000.0,310900000.0,653800000.0,930100000.0,714100000.0,1183200000.0,769000000.0,3045200000.0,334100000.0,310900000.0,718400000.0,714100000.0,862800000.0,3045200000.0,,310900000.0,930100000.0,1183200000.0,3045200000.0,334100000.0,653800000.0,1179100000.0,3045200000.0,653800000.0,3045200000.0,3045200000.0,3045200000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,283800000.0,321100000.0,302500000.0,288000000.0,315400000.0,365500000.0,438700000.0,456900000.0,543600000.0,514600000.0,582200000.0,643000000.0,831700000.0,727400000.0,,,,321100000.0,288000000.0,365500000.0,456900000.0,514600000.0,643000000.0,727400000.0,,321100000.0,315400000.0,456900000.0,582200000.0,727400000.0,,321100000.0,365500000.0,514600000.0,727400000.0,,288000000.0,543600000.0,727400000.0,288000000.0,727400000.0,727400000.0,727400000.0,CommonMetricExtracted
