,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,17794420.0,29519679.0,,,,,,,,,,-325088.0,-107411.0,-503078.0,-2750359.0,,,,29519679.0,,,,,-325088.0,-503078.0,,17794420.0,,,,-107411.0,,,,,-325088.0,,17794420.0,,,,,17794420.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,2119.0,5045.0,,,,,,,,,,2119.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,-325088.0,-107411.0,-505197.0,-2755404.0,,,,,,,,,-325088.0,-505197.0,,,,,,-107411.0,,,,,-325088.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,35539.0,9448.0,1440.0,,,,,,,,,35539.0,1440.0,,,,,,1440.0,,,,,1440.0,,,,1440.0,,1440.0,1440.0,1440.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,0.0,129917.0,226740.0,,,,,,,,,0.0,226740.0,,,,,,226740.0,,,,,226740.0,,,,226740.0,,226740.0,226740.0,226740.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,73145079.0,109896164.0,,,,,,,,,,,35539.0,139364.0,228180.0,,,73145079.0,,,,,,35539.0,228180.0,,,,,,228180.0,,,,,228180.0,,,,228180.0,,228180.0,228180.0,228180.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,333555.0,2098256.0,,,,,,,,,,,99426.0,411350.0,738844.0,,,333555.0,,,,,,99426.0,738844.0,,,,,,738844.0,,,,,738844.0,,,,738844.0,,738844.0,738844.0,738844.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,31438.0,99426.0,744985.0,1076745.0,,,,,,,,,99426.0,1076745.0,,,,,31438.0,1076745.0,,,,,1076745.0,,,,1076745.0,,1076745.0,1076745.0,1076745.0,CommonMetricExtracted
