,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,0.0,743000.0,13270000.0,47125000.0,56235000.0,57205000.0,82288000.0,108050000.0,117615000.0,165456000.0,206834000.0,263950000.0,210454000.0,,,,,743000.0,47125000.0,57205000.0,108050000.0,165456000.0,263950000.0,,,743000.0,56235000.0,108050000.0,206834000.0,,,743000.0,57205000.0,165456000.0,,,47125000.0,117615000.0,,47125000.0,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,0.0,186000.0,263000.0,,,4197000.0,452000.0,900000.0,696000.0,1203000.0,1360000.0,1241000.0,996000.0,,,,,186000.0,,4197000.0,900000.0,1203000.0,1241000.0,,,186000.0,,900000.0,1360000.0,,,186000.0,4197000.0,1203000.0,,,,696000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,0.0,775056.0,15466000.0,59393000.0,79404000.0,89564000.0,152288000.0,195299000.0,179872000.0,216890000.0,357705000.0,552506000.0,526076000.0,,,,,775056.0,59393000.0,89564000.0,195299000.0,216890000.0,552506000.0,,,775056.0,79404000.0,195299000.0,357705000.0,,,775056.0,89564000.0,216890000.0,,,59393000.0,179872000.0,,59393000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,70000000.0,90418000.0,66556000.0,60835000.0,165708000.0,305577000.0,338471000.0,,,,,,,,90418000.0,60835000.0,305577000.0,,,,,90418000.0,165708000.0,,,,,60835000.0,,,,66556000.0,,,,,CommonMetricExtracted
Taxes,,,,,,,,0.0,0.0,209000.0,0.0,0.0,225000.0,79000.0,4483000.0,-2062000.0,3599000.0,-399000.0,-2757000.0,1120000.0,,,,,0.0,0.0,225000.0,4483000.0,3599000.0,-2757000.0,,,0.0,0.0,4483000.0,-399000.0,,,0.0,225000.0,3599000.0,,,0.0,-2062000.0,,0.0,,,CommonMetricExtracted
NetIncome,,,,,,,,-15525.0,102000.0,5415000.0,24933000.0,29990000.0,33779000.0,52825000.0,83924000.0,54746000.0,25702000.0,14431000.0,145215000.0,95878000.0,,,,,102000.0,24933000.0,33779000.0,83924000.0,25702000.0,145215000.0,,,102000.0,29990000.0,83924000.0,14431000.0,,,102000.0,33779000.0,25702000.0,,,24933000.0,54746000.0,,24933000.0,,,CommonMetricExtracted
Cash,,,,,,,,0.0,178030.0,386000.0,14807000.0,118048000.0,83711000.0,191390000.0,87246000.0,82071000.0,154929000.0,179314000.0,337595000.0,184443000.0,,,,0.0,386000.0,118048000.0,191390000.0,82071000.0,179314000.0,184443000.0,,0.0,14807000.0,191390000.0,154929000.0,184443000.0,,0.0,118048000.0,82071000.0,184443000.0,,386000.0,87246000.0,184443000.0,386000.0,184443000.0,184443000.0,184443000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,126118.0,2866000.0,5360000.0,5955000.0,8152000.0,12789000.0,16308000.0,2709143000.0,4493521000.0,5305492000.0,5087431000.0,5108474000.0,,,,,2866000.0,5955000.0,12789000.0,2709143000.0,5305492000.0,5108474000.0,,,5360000.0,12789000.0,4493521000.0,5108474000.0,,,5955000.0,2709143000.0,5108474000.0,,2866000.0,16308000.0,5108474000.0,2866000.0,5108474000.0,5108474000.0,5108474000.0,CommonMetricExtracted
