,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,0.0,15900.0,36050.0,1121978.0,898084.0,308129.0,1460370.0,1678967.0,1434446.0,353619.0,1052198.0,398137.0,,,,,0.0,36050.0,898084.0,1460370.0,1434446.0,1052198.0,,,0.0,1121978.0,1460370.0,353619.0,,,0.0,898084.0,1434446.0,,,36050.0,1678967.0,,36050.0,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,0.0,5000.0,15700.0,866559.0,726252.0,137897.0,1342139.0,1395187.0,1137287.0,330899.0,958413.0,387936.0,,,,,0.0,15700.0,726252.0,1342139.0,1137287.0,958413.0,,,0.0,866559.0,1342139.0,330899.0,,,0.0,726252.0,1137287.0,,,15700.0,1395187.0,,15700.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,0.0,46624.0,22590.0,39821.0,142372.0,140994.0,100189.0,,,,,,,,46624.0,39821.0,140994.0,,,,,46624.0,142372.0,,,,,39821.0,,,,22590.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,201899.0,208238.0,221510.0,255232.0,256636.0,220469.0,1060385.0,1386810.0,1381937.0,,,,,,,208238.0,255232.0,220469.0,1386810.0,,,,201899.0,255232.0,1060385.0,,,,208238.0,220469.0,,,,256636.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,-105831.0,-440943.0,154897.0,166800.0,-204390.0,278709.0,244665.0,3278376.0,,,,,,,-105831.0,154897.0,-204390.0,244665.0,,,,,154897.0,278709.0,,,,-105831.0,-204390.0,,,,166800.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,0.0,38333.0,89098.0,,,,,,,,,,38333.0,,,,,,0.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,-0.0,-0.04,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,-2348.0,-22854.0,-107195.0,-440904.0,-626361.0,-2024664.0,-3175543.0,-2537113.0,-3220977.0,-4926937.0,-4718142.0,-3200138.0,,,,,-2348.0,-107195.0,-626361.0,-3175543.0,-3220977.0,-4718142.0,,,-2348.0,-440904.0,-3175543.0,-4926937.0,,,-2348.0,-626361.0,-3220977.0,,,-107195.0,-2537113.0,,-107195.0,,,CommonMetricExtracted
Cash,,,,,,,,0.0,0.0,7408.0,78005.0,340071.0,394398.0,4455751.0,2192870.0,583325.0,8678665.0,4343426.0,428254.0,3589318.0,,,,0.0,7408.0,340071.0,4455751.0,583325.0,4343426.0,3589318.0,,0.0,78005.0,4455751.0,8678665.0,3589318.0,,0.0,340071.0,583325.0,3589318.0,,7408.0,2192870.0,3589318.0,7408.0,3589318.0,3589318.0,3589318.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,35896.0,26311.0,10908.0,137338.0,190556.0,177315.0,78313.0,184917.0,5584.0,,,,,,35896.0,10908.0,190556.0,78313.0,5584.0,,,,10908.0,177315.0,5584.0,,,35896.0,190556.0,5584.0,,,137338.0,5584.0,,5584.0,5584.0,5584.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,0.0,308.0,11865.0,7962.0,8280.0,115833.0,46971.0,91253.0,301270.0,142342.0,96301.0,100730.0,,,,,308.0,7962.0,115833.0,91253.0,142342.0,100730.0,,,11865.0,115833.0,301270.0,100730.0,,,7962.0,91253.0,100730.0,,308.0,46971.0,100730.0,308.0,100730.0,100730.0,100730.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,104832.0,47432.0,69787.0,62933.0,42496.0,22889.0,103772.0,282071.0,126071.0,,,,,,104832.0,69787.0,42496.0,103772.0,126071.0,,,,69787.0,22889.0,126071.0,,,104832.0,42496.0,126071.0,,,62933.0,126071.0,,126071.0,126071.0,126071.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,0.0,7716.0,89870.0,488763.0,476985.0,4691904.0,2440112.0,1007630.0,9214340.0,4807830.0,1028278.0,3846363.0,,,,,7716.0,488763.0,4691904.0,1007630.0,4807830.0,3846363.0,,,89870.0,4691904.0,9214340.0,3846363.0,,,488763.0,1007630.0,3846363.0,,7716.0,2440112.0,3846363.0,7716.0,3846363.0,3846363.0,3846363.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,8517.0,6336.0,4578135.0,4653438.0,4492510.0,4353340.0,4228630.0,4080663.0,60485.0,,,,,,8517.0,4578135.0,4492510.0,4228630.0,60485.0,,,,4578135.0,4353340.0,60485.0,,,8517.0,4492510.0,60485.0,,,4653438.0,60485.0,,60485.0,60485.0,60485.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,0.0,7716.0,112966.0,522006.0,490531.0,9277911.0,7228579.0,5593328.0,14021750.0,9323060.0,5334124.0,4080313.0,,,,,7716.0,522006.0,9277911.0,5593328.0,9323060.0,4080313.0,,,112966.0,9277911.0,14021750.0,4080313.0,,,522006.0,5593328.0,4080313.0,,7716.0,7228579.0,4080313.0,7716.0,4080313.0,4080313.0,4080313.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,2000.0,17170.0,21301.0,372912.0,449256.0,163661.0,192488.0,198870.0,293354.0,267685.0,482523.0,702065.0,,,,,17170.0,372912.0,163661.0,198870.0,267685.0,702065.0,,,21301.0,163661.0,293354.0,702065.0,,,372912.0,198870.0,702065.0,,17170.0,192488.0,702065.0,17170.0,702065.0,702065.0,702065.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,4348.0,40740.0,163081.0,804351.0,931046.0,382847.0,686577.0,786145.0,1010266.0,1774478.0,2421889.0,1753950.0,,,,,40740.0,804351.0,382847.0,786145.0,1774478.0,1753950.0,,,163081.0,382847.0,1010266.0,1753950.0,,,804351.0,786145.0,1753950.0,,40740.0,686577.0,1753950.0,40740.0,1753950.0,1753950.0,1753950.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,0.0,214010.0,319579.0,630703.0,356574.0,261704.0,16228.0,,,,,,,0.0,319579.0,356574.0,16228.0,,,,0.0,630703.0,16228.0,,,,319579.0,16228.0,,,214010.0,16228.0,,16228.0,16228.0,16228.0,CommonMetricExtracted
TotalLiability,,,,,,,,,2348.0,23570.0,141780.0,431907.0,563132.0,211976.0,540004.0,788716.0,899758.0,1565526.0,1788498.0,885089.0,,,,,23570.0,431907.0,211976.0,788716.0,1565526.0,885089.0,,,141780.0,211976.0,899758.0,885089.0,,,431907.0,788716.0,885089.0,,23570.0,540004.0,885089.0,23570.0,885089.0,885089.0,885089.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,0.0,-2348.0,-15854.0,-28814.0,90100.0,-72601.0,9065935.0,6688575.0,4804612.0,13121992.0,7757534.0,3545626.0,3195224.0,,,,0.0,-15854.0,90100.0,9065935.0,4804612.0,7757534.0,3195224.0,,0.0,-28814.0,9065935.0,13121992.0,3195224.0,,0.0,90100.0,4804612.0,3195224.0,,-15854.0,6688575.0,3195224.0,-15854.0,3195224.0,3195224.0,3195224.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,408.0,,-400803.0,-445673.0,-1411703.0,-1697771.0,-1955091.0,-1969445.0,-2957983.0,-3528762.0,-4656754.0,,,,,,,-445673.0,-1697771.0,-1969445.0,-3528762.0,,,,-400803.0,-1697771.0,-2957983.0,,,,-445673.0,-1969445.0,,,,-1955091.0,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,8239.0,0.0,4599792.0,11148.0,1314.0,22990.0,42187.0,20620.0,18687.0,,,,,,,0.0,11148.0,22990.0,20620.0,,,,8239.0,11148.0,42187.0,,,,0.0,22990.0,,,,1314.0,,,,,CommonMetricExtracted
