,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,1350145000.0,1435351000.0,1494111000.0,1591445000.0,1843892000.0,2085508000.0,2203056000.0,,,,,,,,1435351000.0,1591445000.0,2085508000.0,,,,,1435351000.0,1843892000.0,,,,,1591445000.0,,,,1494111000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,566580000.0,659296000.0,663446000.0,695446000.0,786400000.0,871106000.0,973225000.0,1011945000.0,,,,,,,566580000.0,663446000.0,786400000.0,973225000.0,,,,,663446000.0,871106000.0,,,,566580000.0,786400000.0,,,,695446000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,201629000.0,212875000.0,243552000.0,257266000.0,282314000.0,264430000.0,269511000.0,290007000.0,302464000.0,324645000.0,333870000.0,359005000.0,331004000.0,433032000.0,457130000.0,485135000.0,,,201629000.0,243552000.0,282314000.0,269511000.0,302464000.0,333870000.0,331004000.0,457130000.0,,212875000.0,282314000.0,290007000.0,333870000.0,433032000.0,,201629000.0,282314000.0,302464000.0,331004000.0,,212875000.0,269511000.0,359005000.0,,269511000.0,212875000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,211030000.0,221634000.0,238335000.0,272990000.0,269419000.0,302219000.0,331918000.0,349676000.0,352135000.0,366204000.0,438035000.0,439660000.0,474041000.0,475482000.0,629207000.0,701299000.0,,,211030000.0,238335000.0,269419000.0,331918000.0,352135000.0,438035000.0,474041000.0,629207000.0,,221634000.0,269419000.0,349676000.0,438035000.0,475482000.0,,211030000.0,269419000.0,352135000.0,474041000.0,,221634000.0,331918000.0,439660000.0,,331918000.0,221634000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,35697000.0,66319000.0,65778000.0,,,,,,,,,,66319000.0,,,,,,35697000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,67172000.0,71970000.0,67912000.0,85896000.0,72273000.0,91921000.0,92703000.0,122178000.0,86053000.0,84753000.0,69175000.0,54196000.0,68027000.0,46677000.0,115781000.0,114377000.0,,,67172000.0,67912000.0,72273000.0,92703000.0,86053000.0,69175000.0,68027000.0,115781000.0,,71970000.0,72273000.0,122178000.0,69175000.0,46677000.0,,67172000.0,72273000.0,86053000.0,68027000.0,,71970000.0,92703000.0,54196000.0,,92703000.0,71970000.0,,CommonMetricExtracted
NetIncome,,,,,144950000.0,150211000.0,171046000.0,188809000.0,198637000.0,211543000.0,241051000.0,338815000.0,258259000.0,267085000.0,352790000.0,372938000.0,399590000.0,396917000.0,468173000.0,537126000.0,,,144950000.0,171046000.0,198637000.0,241051000.0,258259000.0,352790000.0,399590000.0,468173000.0,,150211000.0,198637000.0,338815000.0,352790000.0,396917000.0,,144950000.0,198637000.0,258259000.0,399590000.0,,150211000.0,241051000.0,372938000.0,,241051000.0,150211000.0,,CommonMetricExtracted
Cash,,,,117986000.0,216320000.0,195741000.0,181685000.0,189044000.0,196627000.0,116378000.0,158914000.0,228407000.0,194731000.0,208623000.0,359799000.0,585605000.0,681865000.0,503273000.0,425444000.0,422979000.0,,117986000.0,195741000.0,189044000.0,116378000.0,228407000.0,208623000.0,585605000.0,503273000.0,422979000.0,216320000.0,189044000.0,158914000.0,208623000.0,681865000.0,422979000.0,117986000.0,189044000.0,228407000.0,585605000.0,422979000.0,216320000.0,116378000.0,359799000.0,422979000.0,116378000.0,422979000.0,422979000.0,422979000.0,CommonMetricExtracted
CurrentReceivables,,,,,,59693000.0,75004000.0,74251000.0,73290000.0,90354000.0,95064000.0,97797000.0,148331000.0,156639000.0,146309000.0,155011000.0,151187000.0,204102000.0,237665000.0,228054000.0,,,59693000.0,74251000.0,90354000.0,97797000.0,156639000.0,155011000.0,204102000.0,228054000.0,,74251000.0,95064000.0,156639000.0,151187000.0,228054000.0,,74251000.0,97797000.0,155011000.0,228054000.0,,90354000.0,146309000.0,228054000.0,90354000.0,228054000.0,228054000.0,228054000.0,CommonMetricExtracted
