,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,233228000.0,343502000.0,308817000.0,280930000.0,245208000.0,247859000.0,269759000.0,305950000.0,333073000.0,540382000.0,607578000.0,524963000.0,483217000.0,585006000.0,903004000.0,1002095000.0,,,233228000.0,308817000.0,245208000.0,269759000.0,333073000.0,607578000.0,483217000.0,903004000.0,,343502000.0,245208000.0,305950000.0,607578000.0,585006000.0,,233228000.0,245208000.0,333073000.0,483217000.0,,343502000.0,269759000.0,524963000.0,,269759000.0,343502000.0,,CommonMetricExtracted
Interest,,,,,170638000.0,233680000.0,218097000.0,221997000.0,225475000.0,196034000.0,201130000.0,201401000.0,239942000.0,323810000.0,342332000.0,390664000.0,400812000.0,455349000.0,478489000.0,519595000.0,,,170638000.0,218097000.0,225475000.0,201130000.0,239942000.0,342332000.0,400812000.0,478489000.0,,233680000.0,225475000.0,201401000.0,342332000.0,455349000.0,,170638000.0,225475000.0,239942000.0,400812000.0,,233680000.0,201130000.0,390664000.0,,201130000.0,233680000.0,,CommonMetricExtracted
Taxes,,,,,29376000.0,21748000.0,28239000.0,37664000.0,34147000.0,40924000.0,39577000.0,43103000.0,50568000.0,79076000.0,90168000.0,73789000.0,79212000.0,102314000.0,125520000.0,124936000.0,,,29376000.0,28239000.0,34147000.0,39577000.0,50568000.0,90168000.0,79212000.0,125520000.0,,21748000.0,34147000.0,43103000.0,90168000.0,102314000.0,,29376000.0,34147000.0,50568000.0,79212000.0,,21748000.0,39577000.0,73789000.0,,39577000.0,21748000.0,,CommonMetricExtracted
NetIncome,,,,,221337000.0,59251000.0,66739000.0,67303000.0,48349000.0,65000000.0,75063000.0,88526000.0,96787000.0,172595000.0,198075000.0,155810000.0,205160000.0,217612000.0,255863000.0,228830000.0,,,221337000.0,66739000.0,48349000.0,75063000.0,96787000.0,198075000.0,205160000.0,255863000.0,,59251000.0,48349000.0,88526000.0,198075000.0,217612000.0,,221337000.0,48349000.0,96787000.0,205160000.0,,59251000.0,75063000.0,155810000.0,,75063000.0,59251000.0,,CommonMetricExtracted
Cash,,,,100935000.0,344150000.0,105981000.0,149653000.0,134502000.0,117620000.0,110122000.0,114841000.0,121598000.0,,236221000.0,200691000.0,,220031000.0,207501000.0,213059000.0,174258000.0,,100935000.0,105981000.0,134502000.0,110122000.0,121598000.0,236221000.0,,207501000.0,174258000.0,344150000.0,134502000.0,114841000.0,236221000.0,220031000.0,174258000.0,100935000.0,134502000.0,121598000.0,,174258000.0,344150000.0,110122000.0,200691000.0,174258000.0,110122000.0,174258000.0,174258000.0,174258000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,244372000.0,283390000.0,289702000.0,344380000.0,337993000.0,,484078000.0,761527000.0,,1101780000.0,1361543000.0,22932327000.0,24714979000.0,,,,244372000.0,289702000.0,337993000.0,484078000.0,,1361543000.0,24714979000.0,,244372000.0,344380000.0,484078000.0,1101780000.0,24714979000.0,,244372000.0,337993000.0,,24714979000.0,,289702000.0,761527000.0,24714979000.0,289702000.0,24714979000.0,24714979000.0,24714979000.0,CommonMetricExtracted
