,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,2090041000.0,2161407000.0,2242447000.0,2350822000.0,2603416000.0,2695845000.0,2813169000.0,2816120000.0,,,,,,,2090041000.0,2242447000.0,2603416000.0,2813169000.0,,,,,2242447000.0,2695845000.0,,,,2090041000.0,2603416000.0,,,,2350822000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,142726000.0,171952000.0,208004000.0,236168000.0,253047000.0,309959000.0,332261000.0,337205000.0,353485000.0,361481000.0,356577000.0,407887000.0,493146000.0,539627000.0,593308000.0,557647000.0,,,142726000.0,208004000.0,253047000.0,332261000.0,353485000.0,356577000.0,493146000.0,593308000.0,,171952000.0,253047000.0,337205000.0,356577000.0,539627000.0,,142726000.0,253047000.0,353485000.0,493146000.0,,171952000.0,332261000.0,407887000.0,,332261000.0,171952000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,225193000.0,293201000.0,370735000.0,445595000.0,483041000.0,558284000.0,602540000.0,628743000.0,652239000.0,664135000.0,748619000.0,843178000.0,929983000.0,926591000.0,878215000.0,832279000.0,,,225193000.0,370735000.0,483041000.0,602540000.0,652239000.0,748619000.0,929983000.0,878215000.0,,293201000.0,483041000.0,628743000.0,748619000.0,926591000.0,,225193000.0,483041000.0,652239000.0,929983000.0,,293201000.0,602540000.0,843178000.0,,602540000.0,293201000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,103664000.0,118314000.0,138910000.0,177406000.0,209614000.0,263792000.0,296583000.0,334227000.0,350365000.0,366084000.0,408058000.0,441324000.0,512627000.0,543368000.0,540285000.0,490120000.0,,,103664000.0,138910000.0,209614000.0,296583000.0,350365000.0,408058000.0,512627000.0,540285000.0,,118314000.0,209614000.0,334227000.0,408058000.0,543368000.0,,103664000.0,209614000.0,350365000.0,512627000.0,,118314000.0,296583000.0,441324000.0,,296583000.0,118314000.0,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,541111000.0,396397000.0,386937000.0,385393000.0,485988000.0,695465000.0,,,,,,,,541111000.0,386937000.0,485988000.0,,,,,541111000.0,385393000.0,,,,,386937000.0,,,,396397000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,40113000.0,86474000.0,119354000.0,157028000.0,160778000.0,186159000.0,196330000.0,184036000.0,154756000.0,150071000.0,113377000.0,88956000.0,55696000.0,63233000.0,91040000.0,128687000.0,,,40113000.0,119354000.0,160778000.0,196330000.0,154756000.0,113377000.0,55696000.0,91040000.0,,86474000.0,160778000.0,184036000.0,113377000.0,63233000.0,,40113000.0,160778000.0,154756000.0,55696000.0,,86474000.0,196330000.0,88956000.0,,196330000.0,86474000.0,,CommonMetricExtracted
NetIncome,,,,,91535000.0,151153000.0,241397000.0,275186000.0,277314000.0,311183000.0,365014000.0,365855000.0,420761000.0,453689000.0,427734000.0,307441000.0,331241000.0,322160000.0,394948000.0,566778000.0,,,91535000.0,241397000.0,277314000.0,365014000.0,420761000.0,427734000.0,331241000.0,394948000.0,,151153000.0,277314000.0,365855000.0,427734000.0,322160000.0,,91535000.0,277314000.0,420761000.0,331241000.0,,151153000.0,365014000.0,307441000.0,,365014000.0,151153000.0,,CommonMetricExtracted
Cash,,,,78303000.0,110837000.0,168754000.0,216784000.0,211181000.0,189693000.0,281502000.0,390460000.0,514571000.0,673228000.0,424707000.0,599219000.0,849556000.0,580977000.0,758012000.0,797163000.0,1074602000.0,,78303000.0,168754000.0,211181000.0,281502000.0,514571000.0,424707000.0,849556000.0,758012000.0,1074602000.0,110837000.0,211181000.0,390460000.0,424707000.0,580977000.0,1074602000.0,78303000.0,211181000.0,514571000.0,849556000.0,1074602000.0,110837000.0,281502000.0,599219000.0,1074602000.0,281502000.0,1074602000.0,1074602000.0,1074602000.0,CommonMetricExtracted
CurrentReceivables,,,,,,112132000.0,165676000.0,185172000.0,204205000.0,242242000.0,279434000.0,268175000.0,291924000.0,295352000.0,322029000.0,296183000.0,340536000.0,469979000.0,454832000.0,389024000.0,,,112132000.0,185172000.0,242242000.0,268175000.0,295352000.0,296183000.0,469979000.0,389024000.0,,185172000.0,279434000.0,295352000.0,340536000.0,389024000.0,,185172000.0,268175000.0,296183000.0,389024000.0,,242242000.0,322029000.0,389024000.0,242242000.0,389024000.0,389024000.0,389024000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,18815000.0,17149000.0,17410000.0,19026000.0,24471000.0,33717000.0,34051000.0,29834000.0,30568000.0,34401000.0,27898000.0,22055000.0,68365000.0,35874000.0,76378000.0,,,18815000.0,17410000.0,24471000.0,34051000.0,30568000.0,27898000.0,68365000.0,76378000.0,,17410000.0,33717000.0,30568000.0,22055000.0,76378000.0,,17410000.0,34051000.0,27898000.0,76378000.0,,24471000.0,34401000.0,76378000.0,24471000.0,76378000.0,76378000.0,76378000.0,CommonMetricExtracted
