,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,3974000000.0,2349000000.0,4500000000.0,5744000000.0,,,,,,,,,3974000000.0,4500000000.0,,,,,,2349000000.0,,,,,3974000000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,1232000000.0,793000000.0,-35000000.0,778000000.0,,,,,,,,,1232000000.0,-35000000.0,,,,,,793000000.0,,,,,1232000000.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,29000000.0,29000000.0,97000000.0,132000000.0,,,,,,,,,29000000.0,97000000.0,,,,,,29000000.0,,,,,29000000.0,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,320000000.0,158000000.0,23000000.0,136000000.0,,,,,,,,,320000000.0,23000000.0,,,,,,158000000.0,,,,,320000000.0,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,635000000.0,-58000000.0,642000000.0,,,,,,,,,,-58000000.0,,,,,,635000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,1533000000.0,960000000.0,1563000000.0,2264000000.0,,,,,,,,,960000000.0,2264000000.0,,,,,1533000000.0,2264000000.0,,,,,2264000000.0,,,,2264000000.0,,2264000000.0,2264000000.0,2264000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,50000000.0,4582000000.0,5363000000.0,5926000000.0,,,,,,,,,4582000000.0,5926000000.0,,,,,50000000.0,5926000000.0,,,,,5926000000.0,,,,5926000000.0,,5926000000.0,5926000000.0,5926000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,613000000.0,941000000.0,931000000.0,1059000000.0,,,,,,,,,941000000.0,1059000000.0,,,,,613000000.0,1059000000.0,,,,,1059000000.0,,,,1059000000.0,,1059000000.0,1059000000.0,1059000000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,1756000000.0,1756000000.0,1749000000.0,2179000000.0,,,,,,,,,1756000000.0,2179000000.0,,,,,1756000000.0,2179000000.0,,,,,2179000000.0,,,,2179000000.0,,2179000000.0,2179000000.0,2179000000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,4207000000.0,5572000000.0,,,,,,,,,,5572000000.0,,,,,,5572000000.0,,,,,5572000000.0,,,,5572000000.0,,5572000000.0,5572000000.0,5572000000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,48730000000.0,55075000000.0,70202000000.0,85040000000.0,,,,,,,,,55075000000.0,85040000000.0,,,,,48730000000.0,85040000000.0,,,,,85040000000.0,,,,85040000000.0,,85040000000.0,85040000000.0,85040000000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,29962000000.0,35772000000.0,45755000000.0,52248000000.0,,,,,,,,,35772000000.0,52248000000.0,,,,,29962000000.0,52248000000.0,,,,,52248000000.0,,,,52248000000.0,,52248000000.0,52248000000.0,52248000000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,977000000.0,1114000000.0,1754000000.0,2171000000.0,,,,,,,,,1114000000.0,2171000000.0,,,,,977000000.0,2171000000.0,,,,,2171000000.0,,,,2171000000.0,,2171000000.0,2171000000.0,2171000000.0,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,1297000000.0,1273000000.0,2011000000.0,2219000000.0,,,,,,,,,1273000000.0,2219000000.0,,,,,1297000000.0,2219000000.0,,,,,2219000000.0,,,,2219000000.0,,2219000000.0,2219000000.0,2219000000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,44245000000.0,53259000000.0,67099000000.0,80964000000.0,,,,,,,,,53259000000.0,80964000000.0,,,,,44245000000.0,80964000000.0,,,,,80964000000.0,,,,80964000000.0,,80964000000.0,80964000000.0,80964000000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,,5034000000.0,2405000000.0,3103000000.0,4076000000.0,,,,,,,,,2405000000.0,4076000000.0,,,,,5034000000.0,4076000000.0,,,,,4076000000.0,,,,4076000000.0,,4076000000.0,4076000000.0,4076000000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,1871000000.0,3171000000.0,5834000000.0,5999000000.0,,,,,,,,,1871000000.0,5834000000.0,,,,,,3171000000.0,,,,,1871000000.0,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,33000000.0,32000000.0,27000000.0,24000000.0,,,,,,,,,33000000.0,27000000.0,,,,,,32000000.0,,,,,33000000.0,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,-6862000000.0,-9370000000.0,-8918000000.0,-7953000000.0,,,,,,,,,-6862000000.0,-8918000000.0,,,,,,-9370000000.0,,,,,-6862000000.0,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,0.0,101000000.0,135000000.0,,,,,,,,,,101000000.0,,,,,,0.0,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,5635000000.0,5626000000.0,3687000000.0,2655000000.0,,,,,,,,,5635000000.0,3687000000.0,,,,,,5626000000.0,,,,,5635000000.0,,,,,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,,,0.31001509813789635,0.33759046402724563,-0.0077777777777777776,0.1354456824512535,,,,,,,,,0.31001509813789635,-0.0077777777777777776,,,,,,0.33759046402724563,,,,,0.31001509813789635,,,,,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,0.02353896103896104,0.03656998738965952,-2.7714285714285714,0.16966580976863754,,,,,,,,,0.02353896103896104,-2.7714285714285714,,,,,,0.03656998738965952,,,,,0.02353896103896104,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,,,,,,,,,,,,0.2597402597402597,0.19924337957124844,-0.6571428571428571,0.17480719794344474,,,,,,,,,0.2597402597402597,-0.6571428571428571,,,,,,0.19924337957124844,,,,,0.2597402597402597,,,,,,,,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,,,,,,0.27032779906343124,-0.012888888888888889,0.11176880222841226,,,,,,,,,,-0.012888888888888889,,,,,,0.27032779906343124,,,,,,,,,,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CurrentAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PropertyPlantEquipmentPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GoodwillPercentOfTotaltAssets,,,,,,,,,,,,,,,,,0.036035296531910524,0.03188379482523831,0.024913820119084926,0.025623236124176857,,,,,,,,,0.03188379482523831,0.025623236124176857,,,,,0.036035296531910524,0.025623236124176857,,,,,0.025623236124176857,,,,0.025623236124176857,,0.025623236124176857,0.025623236124176857,0.025623236124176857,CommonMetricCalculated
IntangibleAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,0.05992706760491154,0.06552210724365004,,,,,,,,,,0.06552210724365004,,,,,,0.06552210724365004,,,,,0.06552210724365004,,,,0.06552210724365004,,0.06552210724365004,0.06552210724365004,0.06552210724365004,CommonMetricCalculated
ShorttermDebtPercentOfCurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PayablesAndAccruedExpensesPercentOfCurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CurrentLiabilityPercentOfTotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
LongtermDebtPercentOfTotalLiability,,,,,,,,,,,,,,,,,0.022081591140241837,0.020916652584539702,0.02614047899372569,0.026814386640976236,,,,,,,,,0.020916652584539702,0.026814386640976236,,,,,0.022081591140241837,0.026814386640976236,,,,,0.026814386640976236,,,,0.026814386640976236,,0.026814386640976236,0.026814386640976236,0.026814386640976236,CommonMetricCalculated
LongtermLiabilityPercentOfTotalLiability,,,,,,,,,,,,,,,,,0.02931404678494745,0.023902063501004524,0.02997064039702529,0.0274072427251618,,,,,,,,,0.023902063501004524,0.0274072427251618,,,,,0.02931404678494745,0.0274072427251618,,,,,0.0274072427251618,,,,0.0274072427251618,,0.0274072427251618,0.0274072427251618,0.0274072427251618,CommonMetricCalculated
TotalLiabilitiesPercentOfTotalAssets,,,,,,,,,,,,,,,,,0.0266160476092756,0.023113935542442125,0.028645907524002166,0.026093603010348073,,,,,,,,,0.023113935542442125,0.026093603010348073,,,,,0.0266160476092756,0.026093603010348073,,,,,0.026093603010348073,,,,0.026093603010348073,,0.026093603010348073,0.026093603010348073,0.026093603010348073,CommonMetricCalculated
EquityPercentOfTotalAssets,,,,,,,,,,,,,,,,,0.10330391955674123,0.0436677258284158,0.044201019913962566,0.04793038570084666,,,,,,,,,0.0436677258284158,0.04793038570084666,,,,,0.10330391955674123,0.04793038570084666,,,,,0.04793038570084666,,,,0.04793038570084666,,0.04793038570084666,0.04793038570084666,0.04793038570084666,CommonMetricCalculated
NetCashFlow,,,,,,,,,,,,,,,,,644000000.0,-573000000.0,603000000.0,701000000.0,,,,,,,,,644000000.0,603000000.0,,,,,,-573000000.0,,,,,644000000.0,,,,,,,,,CommonMetricCalculated
OperatingCashFlowPercentOfNetCashFlow,,,,,,,,,,,,,,,,,2.9052795031055902,-5.534031413612565,9.674958540630183,8.557774607703282,,,,,,,,,2.9052795031055902,9.674958540630183,,,,,,-5.534031413612565,,,,,2.9052795031055902,,,,,,,,,CommonMetricCalculated
