,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,1977918000.0,2209289000.0,2407522000.0,2270626000.0,2848488000.0,2685183000.0,2623520000.0,,,,,,,,2209289000.0,2270626000.0,2685183000.0,,,,,2209289000.0,2848488000.0,,,,,2270626000.0,,,,2407522000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,936927000.0,1005692000.0,1437341000.0,1442340000.0,1453742000.0,1532412000.0,1540254000.0,1483727000.0,1116881000.0,1466600000.0,1625815000.0,1766096000.0,1629513000.0,1911602000.0,1736362000.0,1603585000.0,,,936927000.0,1437341000.0,1453742000.0,1540254000.0,1116881000.0,1625815000.0,1629513000.0,1736362000.0,,1005692000.0,1453742000.0,1483727000.0,1625815000.0,1911602000.0,,936927000.0,1453742000.0,1116881000.0,1629513000.0,,1005692000.0,1540254000.0,1766096000.0,,1540254000.0,1005692000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,230736000.0,261403000.0,330369000.0,341696000.0,340469000.0,375099000.0,374761000.0,364027000.0,341092000.0,436380000.0,460004000.0,486398000.0,470530000.0,608926000.0,642734000.0,621638000.0,,,230736000.0,330369000.0,340469000.0,374761000.0,341092000.0,460004000.0,470530000.0,642734000.0,,261403000.0,340469000.0,364027000.0,460004000.0,608926000.0,,230736000.0,340469000.0,341092000.0,470530000.0,,261403000.0,374761000.0,486398000.0,,374761000.0,261403000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,25147000.0,22721000.0,55549000.0,72420000.0,63854000.0,78164000.0,101017000.0,103507000.0,69027000.0,96450000.0,136311000.0,155028000.0,170583000.0,-189067000.0,196887000.0,398297000.0,,,25147000.0,55549000.0,63854000.0,101017000.0,69027000.0,136311000.0,170583000.0,196887000.0,,22721000.0,63854000.0,103507000.0,136311000.0,-189067000.0,,25147000.0,63854000.0,69027000.0,170583000.0,,22721000.0,101017000.0,155028000.0,,101017000.0,22721000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,84379000.0,101445000.0,104086000.0,,,,,,,,,,101445000.0,,,,,,84379000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,-32737000.0,5176000.0,19987000.0,-26902000.0,-26835000.0,39957000.0,35672000.0,152047000.0,5483000.0,47253000.0,105326000.0,-228319000.0,90345000.0,221883000.0,,,,-32737000.0,19987000.0,-26835000.0,35672000.0,5483000.0,105326000.0,90345000.0,,,19987000.0,39957000.0,5483000.0,-228319000.0,,,19987000.0,35672000.0,105326000.0,,,-26835000.0,47253000.0,,-26835000.0,,,CommonMetricExtracted
NetIncome,,,,,18708000.0,9592000.0,-7431000.0,17011000.0,3767000.0,-177000.0,34289000.0,30010000.0,14912000.0,125678000.0,37287000.0,53429000.0,79211000.0,-191558000.0,77617000.0,209897000.0,,,18708000.0,-7431000.0,3767000.0,34289000.0,14912000.0,37287000.0,79211000.0,77617000.0,,9592000.0,3767000.0,30010000.0,37287000.0,-191558000.0,,18708000.0,3767000.0,14912000.0,79211000.0,,9592000.0,34289000.0,53429000.0,,34289000.0,9592000.0,,CommonMetricExtracted
Cash,,,,311921000.0,320833000.0,169802000.0,243029000.0,209654000.0,178130000.0,92405000.0,52001000.0,72553000.0,47681000.0,69758000.0,72377000.0,218089000.0,248653000.0,120184000.0,102889000.0,114438000.0,,311921000.0,169802000.0,209654000.0,92405000.0,72553000.0,69758000.0,218089000.0,120184000.0,114438000.0,320833000.0,209654000.0,52001000.0,69758000.0,248653000.0,114438000.0,311921000.0,209654000.0,72553000.0,218089000.0,114438000.0,320833000.0,92405000.0,72377000.0,114438000.0,92405000.0,114438000.0,114438000.0,114438000.0,CommonMetricExtracted
CurrentReceivables,,,,,,252852000.0,268026000.0,239857000.0,256215000.0,258436000.0,218755000.0,233751000.0,208229000.0,280509000.0,264450000.0,348124000.0,294804000.0,361653000.0,312432000.0,312765000.0,,,252852000.0,239857000.0,258436000.0,233751000.0,280509000.0,348124000.0,361653000.0,312765000.0,,239857000.0,218755000.0,280509000.0,294804000.0,312765000.0,,239857000.0,233751000.0,348124000.0,312765000.0,,258436000.0,264450000.0,312765000.0,258436000.0,312765000.0,312765000.0,312765000.0,CommonMetricExtracted
